year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,indicated_abuse_neglect,indicated_sexual_abuse,reported_abuse_neglect,reported_sexual_abuse,indicated_abuse_neglect_rate,indicated_sexual_abuse_rate,reported_abuse_neglect_rate,reported_sexual_abuse_rate
1995,34,67.0,Hancock,9,Central,Mostly Rural,71.0,5355,134.0,8.0,287.0,17.0,2502.3,149.4,5359.5,317.5
1995,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1123,17.0,4.0,59.0,9.0,1513.8,356.2,5253.8,801.4
1995,36,71.0,Henderson,9,Central,Mostly Rural,99.7,2027,50.0,7.0,91.0,19.0,2466.7,345.3,4489.4,937.3
1995,37,73.0,Henry,14,Central,Mostly Rural,50.3,13510,188.0,15.0,576.0,45.0,1391.6,111.0,4263.5,333.1
1995,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,8178,89.0,18.0,286.0,35.0,1088.3,220.1,3497.2,428.0
1995,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,12036,169.0,14.0,627.0,46.0,1404.1,116.3,5209.4,382.2
1995,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2891,60.0,4.0,133.0,13.0,2075.4,138.4,4600.5,449.7
1995,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,9961,215.0,23.0,599.0,62.0,2158.4,230.9,6013.5,622.4
1995,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,5569,57.0,3.0,173.0,13.0,1023.5,53.9,3106.5,233.4
1995,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5572,113.0,9.0,227.0,17.0,2028.0,161.5,4073.9,305.1
1995,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2372,32.0,6.0,129.0,20.0,1349.1,253.0,5438.4,843.2
1995,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,108098,1495.0,178.0,4057.0,409.0,1383.0,164.7,3753.1,378.4
1995,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,28524,542.0,39.0,1561.0,109.0,1900.2,136.7,5472.6,382.1
1995,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,13370,118.0,16.0,289.0,43.0,882.6,119.7,2161.6,321.6
1995,48,95.0,Knox,9,Central,Mostly Urban,24.3,12974,379.0,37.0,861.0,59.0,2921.2,285.2,6636.3,454.8
1995,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,167632,1757.0,176.0,4609.0,344.0,1048.1,105.0,2749.5,205.2
1995,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,28215,673.0,77.0,1546.0,138.0,2385.3,272.9,5479.4,489.1
1995,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,3807,84.0,13.0,186.0,22.0,2206.5,341.5,4885.7,577.9
1995,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,9143,162.0,26.0,428.0,47.0,1771.8,284.4,4681.2,514.1
1995,53,105.0,Livingston,11,Central,Mostly Urban,40.8,10150,185.0,27.0,509.0,65.0,1822.7,266.0,5014.8,640.4
1995,54,107.0,Logan,11,Central,Mostly Urban,39.9,7239,89.0,20.0,386.0,45.0,1229.5,276.3,5332.2,621.6
1995,55,109.0,McDonough,9,Central,Mostly Urban,29.5,6337,137.0,19.0,341.0,40.0,2161.9,299.8,5381.1,631.2
1995,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,68592,787.0,79.0,1665.0,173.0,1147.4,115.2,2427.4,252.2
1995,57,113.0,McLean,11,Central,Mostly Urban,16.5,33645,749.0,79.0,1956.0,191.0,2226.2,234.8,5813.6,567.7
1995,58,115.0,Macon,6,Central,Mostly Urban,15.3,30121,590.0,79.0,1838.0,183.0,1958.8,262.3,6102.1,607.5
1995,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,12411,226.0,37.0,594.0,73.0,1821.0,298.1,4786.1,588.2
1995,60,119.0,Madison,3,Southern,Mostly Urban,13.3,65671,1363.0,150.0,3575.0,359.0,2075.5,228.4,5443.8,546.7
1995,61,121.0,Marion,4,Southern,Mostly Urban,45.1,11064,360.0,61.0,810.0,111.0,3253.8,551.3,7321.0,1003.3
1995,62,123.0,Marshall,10,Central,Completely Rural,100.0,3161,32.0,8.0,96.0,12.0,1012.3,253.1,3037.0,379.6
1995,63,125.0,Mason,8,Central,Mostly Rural,77.5,4176,70.0,1.0,253.0,16.0,1676.2,23.9,6058.4,383.1
1995,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3600,57.0,6.0,253.0,31.0,1583.3,166.7,7027.8,861.1
1995,65,129.0,Menard,8,Central,Mostly Rural,75.7,3270,30.0,7.0,114.0,9.0,917.4,214.1,3486.2,275.2
1995,66,131.0,Mercer,14,Central,Mostly Rural,77.8,4429,63.0,5.0,188.0,15.0,1422.4,112.9,4244.8,338.7
1995,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,6664,41.0,7.0,89.0,11.0,615.2,105.0,1335.5,165.1
1995,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,7626,106.0,19.0,378.0,48.0,1390.0,249.1,4956.7,629.4
1995,69,137.0,Morgan,7,Central,Mostly Urban,36.2,8773,224.0,19.0,534.0,51.0,2553.3,216.6,6086.9,581.3
1995,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3683,49.0,9.0,131.0,14.0,1330.4,244.4,3556.9,380.1
1995,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,13594,267.0,30.0,563.0,63.0,1964.1,220.7,4141.5,463.4
1995,72,143.0,Peoria,10,Central,Mostly Urban,14.6,47880,1088.0,116.0,3374.0,264.0,2272.3,242.3,7046.8,551.4
1995,73,145.0,Perry,20,Southern,Mostly Urban,43.6,5396,73.0,12.0,250.0,31.0,1352.9,222.4,4633.1,574.5
1995,74,147.0,Piatt,6,Central,Mostly Rural,67.7,4104,46.0,5.0,164.0,17.0,1120.9,121.8,3996.1,414.2
1995,75,149.0,Pike,8,Central,Mostly Rural,72.3,4322,92.0,11.0,226.0,21.0,2128.6,254.5,5229.1,485.9
1995,76,151.0,Pope,1,Southern,Completely Rural,100.0,1011,3.0,1.0,29.0,6.0,296.7,98.9,2868.4,593.5
1995,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,2134,46.0,7.0,170.0,18.0,2155.6,328.0,7966.3,843.5
1995,78,155.0,Putnam,10,Central,Completely Rural,100.0,1496,4.0,1.0,42.0,4.0,267.4,66.8,2807.5,267.4
1995,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,8107,123.0,22.0,332.0,44.0,1517.2,271.4,4095.2,542.7
1995,80,159.0,Richland,2,Southern,Mostly Urban,43.5,4213,152.0,16.0,349.0,23.0,3607.9,379.8,8283.9,545.9
1995,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,37427,1065.0,90.0,2750.0,220.0,2845.5,240.5,7347.6,587.8
1995,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,74902,1759.0,128.0,4485.0,351.0,2348.4,170.9,5987.8,468.6
1995,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6568,196.0,13.0,456.0,51.0,2984.2,197.9,6942.8,776.5
1995,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,48549,1037.0,108.0,3087.0,244.0,2136.0,222.5,6358.5,502.6
1995,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1814,27.0,7.0,70.0,15.0,1488.4,385.9,3858.9,826.9
1995,86,171.0,Scott,7,Central,Completely Rural,100.0,1457,29.0,6.0,53.0,8.0,1990.4,411.8,3637.6,549.1
1995,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5872,81.0,4.0,280.0,35.0,1379.4,68.1,4768.4,596.0
1995,88,175.0,Stark,10,Central,Completely Rural,100.0,1644,19.0,3.0,48.0,5.0,1155.7,182.5,2919.7,304.1
1995,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,12651,353.0,22.0,782.0,71.0,2790.3,173.9,6181.3,561.2
1995,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,32645,377.0,70.0,1192.0,149.0,1154.8,214.4,3651.4,456.4
1995,91,181.0,Union,1,Southern,Mostly Rural,65.9,4252,56.0,8.0,225.0,24.0,1317.0,188.1,5291.6,564.4
1995,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,22281,508.0,57.0,1532.0,111.0,2280.0,255.8,6875.8,498.2
1995,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,3336,73.0,8.0,179.0,21.0,2188.2,239.8,5365.7,629.5
1995,94,187.0,Warren,9,Central,Mostly Urban,45.5,4707,127.0,24.0,289.0,30.0,2698.1,509.9,6139.8,637.3
1995,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3921,51.0,1.0,101.0,5.0,1300.7,25.5,2575.9,127.5
1995,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,4176,48.0,4.0,136.0,9.0,1149.4,95.8,3256.7,215.5
1995,97,193.0,White,2,Southern,Mostly Rural,62.0,3606,100.0,14.0,206.0,24.0,2773.2,388.2,5712.7,665.6
1995,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,15923,307.0,35.0,718.0,80.0,1928.0,219.8,4509.2,502.4
1995,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,125951,745.0,103.0,3010.0,250.0,591.5,81.8,2389.8,198.5
1995,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,14271,244.0,34.0,787.0,74.0,1709.8,238.2,5514.7,518.5
1995,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,71542,1761.0,166.0,4751.0,403.0,2461.5,232.0,6640.9,563.3
1995,102,203.0,Woodford,11,Central,Mostly Rural,54.9,9646,99.0,15.0,274.0,30.0,1026.3,155.5,2840.6,311.0
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,17609,292.0,44.0,884.0,100.0,1658.2,249.9,5020.2,567.9
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2732,49.0,3.0,222.0,12.0,1793.6,109.8,8125.9,439.2
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3966,61.0,6.0,191.0,22.0,1538.1,151.3,4815.9,554.7
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,11192,120.0,20.0,344.0,35.0,1072.2,178.7,3073.6,312.7
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,1292,6.0,1.0,21.0,2.0,464.4,77.4,1625.4,154.8
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,9201,101.0,22.0,362.0,40.0,1097.7,239.1,3934.4,434.7
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1223,8.0,1.0,33.0,1.0,654.1,81.8,2698.3,81.8
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4242,94.0,17.0,209.0,23.0,2215.9,400.8,4926.9,542.2
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,3473,59.0,5.0,193.0,15.0,1698.8,144.0,5557.2,431.9
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,38502,753.0,60.0,1973.0,160.0,1955.7,155.8,5124.4,415.6
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,8820,152.0,18.0,425.0,33.0,1723.4,204.1,4818.6,374.1
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,4209,33.0,3.0,124.0,4.0,784.0,71.3,2946.1,95.0
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3596,64.0,11.0,134.0,14.0,1779.8,305.9,3726.4,389.3
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,9138,139.0,13.0,282.0,29.0,1521.1,142.3,3086.0,317.4
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,10953,256.0,46.0,703.0,97.0,2337.3,420.0,6418.3,885.6
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,1381371,18980.0,1485.0,52977.0,3599.0,1374.0,107.5,3835.1,260.5
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4932,110.0,15.0,196.0,25.0,2230.3,304.1,3974.0,506.9
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,3055,58.0,5.0,136.0,12.0,1898.5,163.7,4451.7,392.8
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,19435,266.0,26.0,699.0,61.0,1368.7,133.8,3596.6,313.9
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,4240,80.0,13.0,295.0,23.0,1886.8,306.6,6957.5,542.5
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,5511,47.0,8.0,159.0,13.0,852.8,145.2,2885.1,235.9
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,232826,936.0,95.0,3291.0,315.0,402.0,40.8,1413.5,135.3
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,5054,89.0,8.0,285.0,27.0,1761.0,158.3,5639.1,534.2
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1726,24.0,3.0,38.0,5.0,1390.5,173.8,2201.6,289.7
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,9894,200.0,31.0,453.0,51.0,2021.4,313.3,4578.5,515.5
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,5307,80.0,5.0,244.0,28.0,1507.4,94.2,4597.7,527.6
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,3748,62.0,2.0,203.0,18.0,1654.2,53.4,5416.2,480.3
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,9562,180.0,30.0,641.0,63.0,1882.5,313.7,6703.6,658.9
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,8981,233.0,18.0,560.0,48.0,2594.4,200.4,6235.4,534.5
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1541,26.0,3.0,91.0,5.0,1687.2,194.7,5905.3,324.5
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,3952,111.0,6.0,266.0,15.0,2808.7,151.8,6730.8,379.6
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,9758,53.0,8.0,284.0,35.0,543.1,82.0,2910.4,358.7
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,2086,38.0,3.0,86.0,9.0,1821.7,143.8,4122.7,431.4
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,5323,102.0,10.0,300.0,24.0,1916.2,187.9,5635.9,450.9
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1105,18.0,7.0,51.0,13.0,1629.0,633.5,4615.4,1176.5
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,2011,22.0,8.0,52.0,10.0,1094.0,397.8,2585.8,497.3
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,13466,216.0,16.0,531.0,41.0,1604.0,118.8,3943.3,304.5
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,8254,122.0,13.0,316.0,29.0,1478.1,157.5,3828.4,351.3
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,12054,233.0,29.0,601.0,50.0,1933.0,240.6,4985.9,414.8
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2865,36.0,3.0,97.0,15.0,1256.5,104.7,3385.7,523.6
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,9973,175.0,29.0,550.0,84.0,1754.7,290.8,5514.9,842.3
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,5601,105.0,14.0,231.0,22.0,1874.7,250.0,4124.3,392.8
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5524,85.0,10.0,188.0,18.0,1538.7,181.0,3403.3,325.9
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2402,19.0,4.0,85.0,6.0,791.0,166.5,3538.7,249.8
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,111647,1300.0,136.0,3545.0,297.0,1164.4,121.8,3175.2,266.0
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,28601,597.0,78.0,1660.0,155.0,2087.3,272.7,5804.0,541.9
1996,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,14108,129.0,9.0,283.0,29.0,914.4,63.8,2006.0,205.6
1996,48,95.0,Knox,9,Central,Mostly Urban,24.3,12910,334.0,29.0,810.0,56.0,2587.1,224.6,6274.2,433.8
1996,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,173632,1584.0,201.0,4351.0,408.0,912.3,115.8,2505.9,235.0
1996,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,28387,626.0,70.0,1512.0,139.0,2205.2,246.6,5326.4,489.7
1996,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,3775,61.0,10.0,167.0,19.0,1615.9,264.9,4423.8,503.3
1996,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,9121,171.0,23.0,437.0,47.0,1874.8,252.2,4791.1,515.3
1996,53,105.0,Livingston,11,Central,Mostly Urban,40.8,10171,214.0,27.0,626.0,60.0,2104.0,265.5,6154.8,589.9
1996,54,107.0,Logan,11,Central,Mostly Urban,39.9,7218,63.0,10.0,382.0,31.0,872.8,138.5,5292.3,429.5
1996,55,109.0,McDonough,9,Central,Mostly Urban,29.5,6310,132.0,7.0,351.0,23.0,2091.9,110.9,5562.6,364.5
1996,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,71222,839.0,93.0,1783.0,188.0,1178.0,130.6,2503.4,264.0
1996,57,113.0,McLean,11,Central,Mostly Urban,16.5,34061,754.0,70.0,1844.0,163.0,2213.7,205.5,5413.8,478.6
1996,58,115.0,Macon,6,Central,Mostly Urban,15.3,29832,524.0,60.0,1818.0,173.0,1756.5,201.1,6094.1,579.9
1996,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,12477,200.0,52.0,666.0,88.0,1602.9,416.8,5337.8,705.3
1996,60,119.0,Madison,3,Southern,Mostly Urban,13.3,65820,1443.0,149.0,3451.0,329.0,2192.3,226.4,5243.1,499.8
1996,61,121.0,Marion,4,Southern,Mostly Urban,45.1,11105,302.0,42.0,744.0,99.0,2719.5,378.2,6699.7,891.5
1996,62,123.0,Marshall,10,Central,Completely Rural,100.0,3152,25.0,3.0,93.0,5.0,793.1,95.2,2950.5,158.6
1996,63,125.0,Mason,8,Central,Mostly Rural,77.5,4140,37.0,9.0,221.0,21.0,893.7,217.4,5338.2,507.2
1996,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3626,55.0,11.0,215.0,23.0,1516.8,303.4,5929.4,634.3
1996,65,129.0,Menard,8,Central,Mostly Rural,75.7,3312,31.0,8.0,137.0,15.0,936.0,241.5,4136.5,452.9
1996,66,131.0,Mercer,14,Central,Mostly Rural,77.8,4405,58.0,7.0,159.0,10.0,1316.7,158.9,3609.5,227.0
1996,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,6835,39.0,2.0,93.0,6.0,570.6,29.3,1360.6,87.8
1996,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,7608,114.0,20.0,458.0,54.0,1498.4,262.9,6020.0,709.8
1996,69,137.0,Morgan,7,Central,Mostly Urban,36.2,8801,131.0,21.0,431.0,42.0,1488.5,238.6,4897.2,477.2
1996,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3700,61.0,4.0,132.0,8.0,1648.6,108.1,3567.6,216.2
1996,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,13839,242.0,22.0,506.0,40.0,1748.7,159.0,3656.3,289.0
1996,72,143.0,Peoria,10,Central,Mostly Urban,14.6,47853,962.0,101.0,2997.0,258.0,2010.3,211.1,6262.9,539.2
1996,73,145.0,Perry,20,Southern,Mostly Urban,43.6,5411,83.0,7.0,268.0,18.0,1533.9,129.4,4952.9,332.7
1996,74,147.0,Piatt,6,Central,Mostly Rural,67.7,4129,42.0,3.0,140.0,12.0,1017.2,72.7,3390.7,290.6
1996,75,149.0,Pike,8,Central,Mostly Rural,72.3,4338,92.0,7.0,274.0,17.0,2120.8,161.4,6316.3,391.9
1996,76,151.0,Pope,1,Southern,Completely Rural,100.0,1003,3.0,0.0,27.0,5.0,299.1,0.0,2691.9,498.5
1996,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,2116,35.0,8.0,134.0,16.0,1654.1,378.1,6332.7,756.1
1996,78,155.0,Putnam,10,Central,Completely Rural,100.0,1495,11.0,1.0,40.0,4.0,735.8,66.9,2675.6,267.6
1996,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,8055,177.0,32.0,380.0,52.0,2197.4,397.3,4717.6,645.6
1996,80,159.0,Richland,2,Southern,Mostly Urban,43.5,4180,109.0,20.0,276.0,35.0,2607.7,478.5,6602.9,837.3
1996,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,37102,925.0,75.0,2582.0,199.0,2493.1,202.1,6959.2,536.4
1996,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,74611,1620.0,160.0,4164.0,348.0,2171.3,214.4,5580.9,466.4
1996,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6618,128.0,21.0,404.0,49.0,1934.1,317.3,6104.6,740.4
1996,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,48703,891.0,96.0,2787.0,258.0,1829.5,197.1,5722.4,529.7
1996,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1782,19.0,3.0,60.0,6.0,1066.2,168.4,3367.0,336.7
1996,86,171.0,Scott,7,Central,Completely Rural,100.0,1440,10.0,0.0,50.0,0.0,694.4,0.0,3472.2,0.0
1996,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5954,75.0,9.0,198.0,20.0,1259.7,151.2,3325.5,335.9
1996,88,175.0,Stark,10,Central,Completely Rural,100.0,1650,10.0,2.0,44.0,6.0,606.1,121.2,2666.7,363.6
1996,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,12727,269.0,29.0,701.0,64.0,2113.6,227.9,5508.0,502.9
1996,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,32569,392.0,56.0,1229.0,160.0,1203.6,171.9,3773.5,491.3
1996,91,181.0,Union,1,Southern,Mostly Rural,65.9,4313,42.0,10.0,263.0,37.0,973.8,231.9,6097.8,857.9
1996,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,21915,499.0,47.0,1457.0,131.0,2277.0,214.5,6648.4,597.8
1996,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,3271,53.0,6.0,136.0,15.0,1620.3,183.4,4157.7,458.6
1996,94,187.0,Warren,9,Central,Mostly Urban,45.5,4625,82.0,12.0,192.0,25.0,1773.0,259.5,4151.4,540.5
1996,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3941,62.0,5.0,122.0,8.0,1573.2,126.9,3095.7,203.0
1996,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,4181,42.0,12.0,149.0,27.0,1004.5,287.0,3563.7,645.8
1996,97,193.0,White,2,Southern,Mostly Rural,62.0,3559,83.0,15.0,267.0,37.0,2332.1,421.5,7502.1,1039.6
