year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,intake_screening,other,social_history,supplemental_social_history,intake_screening_rate,other_rate,social_history_rate,supplemental_social_history_rate
2001,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,4170,59.0,13.0,10.0,0.0,1414.9,311.8,239.8,0.0
2001,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2041,97.0,12.0,4.0,0.0,4752.6,587.9,196.0,0.0
2001,35,69.0,Hardin,2,Southern,Completely Rural,100.0,390,0.0,0.0,5.0,0.0,0.0,0.0,1282.1,0.0
2001,36,71.0,Henderson,9,Central,Mostly Rural,99.7,774,19.0,5.0,1.0,0.0,2454.8,646.0,129.2,0.0
2001,37,73.0,Henry,14,Central,Mostly Rural,50.3,5475,204.0,5.0,7.0,3.0,3726.0,91.3,127.9,54.8
2001,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3358,103.0,0.0,17.0,0.0,3067.3,0.0,506.3,0.0
2001,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4487,1.0,0.0,8.0,0.0,22.3,0.0,178.3,0.0
2001,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1137,6.0,0.0,0.0,2.0,527.7,0.0,0.0,175.9
2001,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4021,0.0,0.0,8.0,0.0,0.0,0.0,199.0,0.0
2001,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2357,53.0,0.0,21.0,4.0,2248.6,0.0,891.0,169.7
2001,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2144,0.0,0.0,9.0,1.0,0.0,0.0,419.8,46.6
2001,44,87.0,Johnson,1,Southern,Completely Rural,100.0,923,0.0,0.0,10.0,0.0,0.0,0.0,1083.4,0.0
2001,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,47635,468.0,1710.0,411.0,225.0,982.5,3589.8,862.8,472.3
2001,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11466,220.0,318.0,44.0,39.0,1918.7,2773.4,383.7,340.1
2001,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,6651,136.0,0.0,1.0,3.0,2044.8,0.0,15.0,45.1
2001,48,95.0,Knox,9,Central,Mostly Urban,24.3,4990,85.0,38.0,12.0,4.0,1703.4,761.5,240.5,80.2
2001,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,74045,1852.0,0.0,413.0,256.0,2501.2,0.0,557.8,345.7
2001,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11671,345.0,5.0,27.0,0.0,2956.0,42.8,231.3,0.0
2001,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,1475,0.0,0.0,5.0,0.0,0.0,0.0,339.0,0.0
2001,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,3776,113.0,0.0,17.0,1.0,2992.6,0.0,450.2,26.5
2001,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4164,765.0,35.0,45.0,8.0,18371.8,840.5,1080.7,192.1
2001,54,107.0,Logan,11,Central,Mostly Urban,39.9,2776,14.0,1.0,14.0,0.0,504.3,36.0,504.3,0.0
2001,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2307,113.0,22.0,2.0,2.0,4898.1,953.6,86.7,86.7
2001,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,31758,214.0,47.0,141.0,0.0,673.8,148.0,444.0,0.0
2001,57,113.0,McLean,11,Central,Mostly Urban,16.5,13780,1019.0,111.0,164.0,39.0,7394.8,805.5,1190.1,283.0
2001,58,115.0,Macon,6,Central,Mostly Urban,15.3,11234,0.0,0.0,43.0,16.0,0.0,0.0,382.8,142.4
2001,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5081,0.0,0.0,36.0,2.0,0.0,0.0,708.5,39.4
2001,60,119.0,Madison,3,Southern,Mostly Urban,13.3,26676,271.0,275.0,49.0,2.0,1015.9,1030.9,183.7,7.5
2001,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4284,0.0,0.0,51.0,0.0,0.0,0.0,1190.5,0.0
2001,62,123.0,Marshall,10,Central,Completely Rural,100.0,1240,0.0,0.0,2.0,0.0,0.0,0.0,161.3,0.0
2001,63,125.0,Mason,8,Central,Mostly Rural,77.5,1667,0.0,0.0,2.0,0.0,0.0,0.0,120.0,0.0
2001,64,127.0,Massac,1,Southern,Mostly Rural,50.5,1365,0.0,1.0,4.0,0.0,0.0,73.3,293.0,0.0
2001,65,129.0,Menard,8,Central,Mostly Rural,75.7,1438,0.0,0.0,14.0,1.0,0.0,0.0,973.6,69.5
2001,66,131.0,Mercer,14,Central,Mostly Rural,77.8,1793,0.0,0.0,1.0,0.0,0.0,0.0,55.8,0.0
2001,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,3145,0.0,0.0,5.0,1.0,0.0,0.0,159.0,31.8
2001,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,2965,0.0,0.0,7.0,3.0,0.0,0.0,236.1,101.2
2001,69,137.0,Morgan,7,Central,Mostly Urban,36.2,3458,254.0,15.0,20.0,6.0,7345.3,433.8,578.4,173.5
2001,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,1504,0.0,0.0,8.0,0.0,0.0,0.0,531.9,0.0
2001,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,6152,0.0,15.0,10.0,1.0,0.0,243.8,162.5,16.3
2001,72,143.0,Peoria,10,Central,Mostly Urban,14.6,17692,0.0,7.0,132.0,98.0,0.0,39.6,746.1,553.9
2001,73,145.0,Perry,20,Southern,Mostly Urban,43.6,2143,0.0,0.0,5.0,1.0,0.0,0.0,233.3,46.7
2001,74,147.0,Piatt,6,Central,Mostly Rural,67.7,1677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,75,149.0,Pike,8,Central,Mostly Rural,72.3,1712,0.0,35.0,0.0,0.0,0.0,2044.4,0.0,0.0
2001,76,151.0,Pope,1,Southern,Completely Rural,100.0,365,0.0,0.0,2.0,1.0,0.0,0.0,547.9,274.0
2001,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,835,0.0,1.0,1.0,1.0,0.0,119.8,119.8,119.8
2001,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,3157,0.0,0.0,13.0,3.0,0.0,0.0,411.8,95.0
2001,80,159.0,Richland,2,Southern,Mostly Urban,43.5,1633,0.0,0.0,7.0,11.0,0.0,0.0,428.7,673.6
2001,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,13970,208.0,267.0,94.0,0.0,1488.9,1911.2,672.9,0.0
2001,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,29084,0.0,2.0,53.0,5.0,0.0,6.9,182.2,17.2
2001,83,165.0,Saline,1,Southern,Mostly Urban,43.7,2633,4.0,0.0,5.0,0.0,151.9,0.0,189.9,0.0
2001,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,19001,979.0,580.0,71.0,19.0,5152.4,3052.5,373.7,100.0
2001,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,644,0.0,0.0,5.0,1.0,0.0,0.0,776.4,155.3
2001,87,173.0,Shelby,4,Central,Mostly Rural,77.7,2354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,88,175.0,Stark,10,Central,Completely Rural,100.0,619,0.0,0.0,7.0,0.0,0.0,0.0,1130.9,0.0
2001,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,5048,56.0,0.0,34.0,1.0,1109.4,0.0,673.5,19.8
2001,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,12684,383.0,0.0,17.0,1.0,3019.6,0.0,134.0,7.9
2001,91,181.0,Union,1,Southern,Mostly Rural,65.9,1840,0.0,0.0,8.0,1.0,0.0,0.0,434.8,54.3
2001,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,8162,0.0,0.0,162.0,0.0,0.0,0.0,1984.8,0.0
2001,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,1294,0.0,0.0,4.0,0.0,0.0,0.0,309.1,0.0
2001,94,187.0,Warren,9,Central,Mostly Urban,45.5,1791,130.0,21.0,4.0,3.0,7258.5,1172.5,223.3,167.5
2001,95,189.0,Washington,20,Southern,Mostly Rural,73.6,1702,0.0,0.0,15.0,11.0,0.0,0.0,881.3,646.3
2001,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,1657,0.0,3.0,14.0,10.0,0.0,181.1,844.9,603.5
2001,97,193.0,White,2,Southern,Mostly Rural,62.0,1418,0.0,1.0,7.0,1.0,0.0,70.5,493.7,70.5
2001,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,6253,224.0,0.0,10.0,0.0,3582.3,0.0,159.9,0.0
2001,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,60605,586.0,104.0,51.0,4.0,966.9,171.6,84.2,6.6
2001,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,5662,184.0,0.0,11.0,0.0,3249.7,0.0,194.3,0.0
2001,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,29410,2749.0,0.0,340.0,241.0,9347.2,0.0,1156.1,819.4
2001,102,203.0,Woodford,11,Central,Mostly Rural,54.9,3933,42.0,3.0,45.0,4.0,1067.9,76.3,1144.2,101.7
2002,1,1.0,Adams,8,Central,Mostly Urban,32.6,6968,200.0,0.0,69.0,42.0,2870.3,0.0,990.2,602.8
2002,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1009,0.0,0.0,9.0,4.0,0.0,0.0,892.0,396.4
2002,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1494,0.0,0.0,3.0,0.0,0.0,0.0,200.8,0.0
2002,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,5372,147.0,0.0,25.0,3.0,2736.4,0.0,465.4,55.8
2002,5,9.0,Brown,8,Central,Mostly Urban,41.1,482,0.0,1.0,1.0,0.0,0.0,207.5,207.5,0.0
2002,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3540,79.0,0.0,6.0,1.0,2231.6,0.0,169.5,28.2
2002,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,479,0.0,0.0,4.0,4.0,0.0,0.0,835.1,835.1
2002,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1671,0.0,0.0,8.0,3.0,0.0,0.0,478.8,179.5
2002,9,17.0,Cass,8,Central,Mostly Rural,52.1,1344,0.0,1.0,30.0,0.0,0.0,74.4,2232.1,0.0
2002,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14566,0.0,481.0,122.0,55.0,0.0,3302.2,837.6,377.6
2002,11,21.0,Christian,4,Central,Mostly Urban,43.5,3608,0.0,9.0,12.0,0.0,0.0,249.4,332.6,0.0
2002,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1750,0.0,0.0,6.0,2.0,0.0,0.0,342.9,114.3
2002,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1400,30.0,0.0,7.0,0.0,2142.9,0.0,500.0,0.0
2002,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3665,4.0,0.0,6.0,0.0,109.1,0.0,163.7,0.0
2002,15,29.0,Coles,5,Central,Mostly Urban,24.3,3975,234.0,0.0,10.0,0.0,5886.8,0.0,251.6,0.0
2002,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,531589,0.0,0.0,2647.0,733.0,0.0,0.0,497.9,137.9
2002,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,1948,2.0,0.0,0.0,3.0,102.7,0.0,0.0,154.0
2002,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1194,5.0,0.0,0.0,0.0,418.8,0.0,0.0,0.0
2002,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,8267,101.0,467.0,128.0,3.0,1221.7,5649.0,1548.3,36.3
2002,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1597,0.0,1.0,6.0,0.0,0.0,62.6,375.7,0.0
2002,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,95941,789.0,421.0,273.0,12.0,822.4,438.8,284.5,12.5
2002,23,45.0,Edgar,5,Central,Mostly Rural,51.8,1882,0.0,0.0,7.0,1.0,0.0,0.0,371.9,53.1
2002,24,47.0,Edwards,2,Southern,Completely Rural,100.0,640,0.0,0.0,7.0,1.0,0.0,0.0,1093.8,156.2
2002,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,4027,0.0,0.0,8.0,0.0,0.0,0.0,198.7,0.0
2002,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2119,0.0,0.0,11.0,0.0,0.0,0.0,519.1,0.0
2002,27,53.0,Ford,11,Central,Mostly Urban,41.8,1549,0.0,0.0,13.0,2.0,0.0,0.0,839.3,129.1
2002,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,3729,0.0,0.0,4.0,1.0,0.0,0.0,107.3,26.8
2002,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3342,115.0,40.0,1.0,0.0,3441.1,1196.9,29.9,0.0
2002,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,556,0.0,0.0,4.0,0.0,0.0,0.0,719.4,0.0
2002,31,61.0,Greene,7,Central,Mostly Rural,70.8,1516,0.0,0.0,6.0,0.0,0.0,0.0,395.8,0.0
2002,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,4193,44.0,7.0,7.0,1.0,1049.4,166.9,166.9,23.8
2002,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,34,67.0,Hancock,9,Central,Mostly Rural,71.0,1978,91.0,25.0,1.0,0.0,4600.6,1263.9,50.6,0.0
2002,35,69.0,Hardin,2,Southern,Completely Rural,100.0,374,0.0,0.0,4.0,0.0,0.0,0.0,1069.5,0.0
2002,36,71.0,Henderson,9,Central,Mostly Rural,99.7,764,23.0,3.0,0.0,0.0,3010.5,392.7,0.0,0.0
2002,37,73.0,Henry,14,Central,Mostly Rural,50.3,5337,150.0,5.0,4.0,0.0,2810.6,93.7,74.9,0.0
2002,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3257,71.0,0.0,13.0,0.0,2179.9,0.0,399.1,0.0
2002,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4387,0.0,0.0,9.0,0.0,0.0,0.0,205.2,0.0
2002,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1107,9.0,0.0,2.0,1.0,813.0,0.0,180.7,90.3
2002,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4057,0.0,0.0,13.0,1.0,0.0,0.0,320.4,24.6
2002,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2339,76.0,0.0,25.0,19.0,3249.3,0.0,1068.8,812.3
2002,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2087,0.0,0.0,6.0,0.0,0.0,0.0,287.5,0.0
2002,44,87.0,Johnson,1,Southern,Completely Rural,100.0,963,0.0,0.0,3.0,0.0,0.0,0.0,311.5,0.0
2002,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,49428,400.0,1362.0,380.0,673.0,809.3,2755.5,768.8,1361.6
2002,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11494,249.0,326.0,54.0,43.0,2166.3,2836.3,469.8,374.1
2002,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,7050,172.0,0.0,4.0,2.0,2439.7,0.0,56.7,28.4
2002,48,95.0,Knox,9,Central,Mostly Urban,24.3,4907,99.0,29.0,19.0,6.0,2017.5,591.0,387.2,122.3
2002,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,75634,1918.0,0.0,431.0,261.0,2535.9,0.0,569.8,345.1
2002,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11566,400.0,3.0,38.0,0.0,3458.4,25.9,328.5,0.0
2002,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,1480,0.0,0.0,8.0,0.0,0.0,0.0,540.5,0.0
2002,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,3779,98.0,3.0,11.0,0.0,2593.3,79.4,291.1,0.0
2002,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4163,452.0,34.0,54.0,9.0,10857.6,816.7,1297.1,216.2
2002,54,107.0,Logan,11,Central,Mostly Urban,39.9,2765,46.0,22.0,27.0,0.0,1663.7,795.7,976.5,0.0
2002,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2287,89.0,24.0,1.0,0.0,3891.6,1049.4,43.7,0.0
2002,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,32718,212.0,26.0,197.0,0.0,648.0,79.5,602.1,0.0
2002,57,113.0,McLean,11,Central,Mostly Urban,16.5,13885,891.0,106.0,148.0,46.0,6417.0,763.4,1065.9,331.3
2002,58,115.0,Macon,6,Central,Mostly Urban,15.3,10946,0.0,0.0,62.0,31.0,0.0,0.0,566.4,283.2
2002,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5031,0.0,0.0,23.0,7.0,0.0,0.0,457.2,139.1
2002,60,119.0,Madison,3,Southern,Mostly Urban,13.3,26306,439.0,254.0,51.0,0.0,1668.8,965.6,193.9,0.0
2002,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4271,0.0,9.0,33.0,0.0,0.0,210.7,772.7,0.0
2002,62,123.0,Marshall,10,Central,Completely Rural,100.0,1264,0.0,1.0,1.0,1.0,0.0,79.1,79.1,79.1
2002,63,125.0,Mason,8,Central,Mostly Rural,77.5,1648,1.0,0.0,4.0,0.0,60.7,0.0,242.7,0.0
2002,64,127.0,Massac,1,Southern,Mostly Rural,50.5,1346,0.0,0.0,7.0,0.0,0.0,0.0,520.1,0.0
2002,65,129.0,Menard,8,Central,Mostly Rural,75.7,1379,0.0,0.0,14.0,0.0,0.0,0.0,1015.2,0.0
2002,66,131.0,Mercer,14,Central,Mostly Rural,77.8,1812,0.0,0.0,4.0,0.0,0.0,0.0,220.8,0.0
2002,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,3218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,2958,0.0,0.0,5.0,0.0,0.0,0.0,169.0,0.0
2002,69,137.0,Morgan,7,Central,Mostly Urban,36.2,3380,255.0,3.0,8.0,16.0,7544.4,88.8,236.7,473.4
2002,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,1515,0.0,0.0,7.0,0.0,0.0,0.0,462.0,0.0
2002,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,6200,0.0,16.0,10.0,1.0,0.0,258.1,161.3,16.1
2002,72,143.0,Peoria,10,Central,Mostly Urban,14.6,17576,1.0,21.0,174.0,71.0,5.7,119.5,990.0,404.0
2002,73,145.0,Perry,20,Southern,Mostly Urban,43.6,2099,0.0,0.0,7.0,0.0,0.0,0.0,333.5,0.0
2002,74,147.0,Piatt,6,Central,Mostly Rural,67.7,1632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,75,149.0,Pike,8,Central,Mostly Rural,72.3,1680,0.0,20.0,0.0,0.0,0.0,1190.5,0.0,0.0
2002,76,151.0,Pope,1,Southern,Completely Rural,100.0,362,0.0,0.0,3.0,3.0,0.0,0.0,828.7,828.7
2002,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,774,0.0,0.0,6.0,0.0,0.0,0.0,775.2,0.0
2002,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,3082,0.0,0.0,17.0,8.0,0.0,0.0,551.6,259.6
2002,80,159.0,Richland,2,Southern,Mostly Urban,43.5,1592,4.0,0.0,8.0,0.0,251.3,0.0,502.5,0.0
2002,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,13895,294.0,247.0,132.0,0.0,2115.9,1777.6,950.0,0.0
2002,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,28970,0.0,3.0,72.0,0.0,0.0,10.4,248.5,0.0
2002,83,165.0,Saline,1,Southern,Mostly Urban,43.7,2660,0.0,0.0,3.0,0.0,0.0,0.0,112.8,0.0
2002,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,18980,923.0,939.0,92.0,21.0,4863.0,4947.3,484.7,110.6
2002,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,646,0.0,5.0,5.0,0.0,0.0,774.0,774.0,0.0
2002,87,173.0,Shelby,4,Central,Mostly Rural,77.7,2398,0.0,0.0,5.0,0.0,0.0,0.0,208.5,0.0
2002,88,175.0,Stark,10,Central,Completely Rural,100.0,590,0.0,0.0,1.0,0.0,0.0,0.0,169.5,0.0
2002,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,5008,50.0,0.0,22.0,0.0,998.4,0.0,439.3,0.0
2002,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,12577,305.0,0.0,15.0,4.0,2425.1,0.0,119.3,31.8
2002,91,181.0,Union,1,Southern,Mostly Rural,65.9,1850,0.0,0.0,6.0,1.0,0.0,0.0,324.3,54.1
2002,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,8147,0.0,1.0,198.0,0.0,0.0,12.3,2430.3,0.0
2002,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,1289,0.0,0.0,4.0,4.0,0.0,0.0,310.3,310.3
2002,94,187.0,Warren,9,Central,Mostly Urban,45.5,1763,90.0,30.0,5.0,4.0,5104.9,1701.6,283.6,226.9
2002,95,189.0,Washington,20,Southern,Mostly Rural,73.6,1660,0.0,0.0,4.0,1.0,0.0,0.0,241.0,60.2
2002,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,1646,0.0,1.0,3.0,0.0,0.0,60.8,182.3,0.0
2002,97,193.0,White,2,Southern,Mostly Rural,62.0,1407,0.0,0.0,10.0,7.0,0.0,0.0,710.7,497.5
2002,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,6138,233.0,0.0,11.0,0.0,3796.0,0.0,179.2,0.0
2002,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,63881,1061.0,54.0,47.0,18.0,1660.9,84.5,73.6,28.2
2002,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,5676,187.0,0.0,17.0,0.0,3294.6,0.0,299.5,0.0
2002,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,29778,1947.0,0.0,358.0,220.0,6538.4,0.0,1202.2,738.8
2002,102,203.0,Woodford,11,Central,Mostly Rural,54.9,3957,37.0,7.0,53.0,1.0,935.1,176.9,1339.4,25.3
2002,78,155.0,Putnam,10,Central,Completely Rural,100.0,634,0.0,0.0,6.0,0.0,0.0,0.0,946.4,0.0
2003,1,1.0,Adams,8,Central,Mostly Urban,32.6,6815,126.0,0.0,33.0,36.0,1848.9,0.0,484.2,528.2
2003,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,996,0.0,0.0,13.0,0.0,0.0,0.0,1305.2,0.0
2003,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1511,0.0,0.0,1.0,0.0,0.0,0.0,66.2,0.0
2003,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,5560,114.0,1.0,22.0,5.0,2050.4,18.0,395.7,89.9
