year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,minor_in_poverty,minor_in_poverty_rate
1989,75,149.0,Pike,8,Central,Mostly Rural,72.3,,873.0,
1989,76,151.0,Pope,1,Southern,Completely Rural,100.0,,299.0,
1989,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,,990.0,
1989,78,155.0,Putnam,10,Central,Completely Rural,100.0,,94.0,
1989,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,,936.0,
1989,80,159.0,Richland,2,Southern,Mostly Urban,43.5,,700.0,
1989,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,,6383.0,
1989,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,22420.0,
1989,83,165.0,Saline,1,Southern,Mostly Urban,43.7,,1682.0,
1989,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,6296.0,
1989,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,,339.0,
1989,86,171.0,Scott,7,Central,Completely Rural,100.0,,218.0,
1989,87,173.0,Shelby,4,Central,Mostly Rural,77.7,,667.0,
1989,88,175.0,Stark,10,Central,Completely Rural,100.0,,177.0,
1989,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,,1262.0,
1989,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,3361.0,
1989,91,181.0,Union,1,Southern,Mostly Rural,65.9,,881.0,
1989,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,,4705.0,
1989,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,,478.0,
1989,94,187.0,Warren,9,Central,Mostly Urban,45.5,,880.0,
1989,95,189.0,Washington,20,Southern,Mostly Rural,73.6,,364.0,
1989,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,812.0,
1989,97,193.0,White,2,Southern,Mostly Rural,62.0,,803.0,
1989,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,,1812.0,
1989,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,,11146.0,
1989,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,,2678.0,
1989,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,8649.0,
1989,102,203.0,Woodford,11,Central,Mostly Rural,54.9,,692.0,
1993,1,1.0,Adams,8,Central,Mostly Urban,32.6,17257.0,3466.0,20084.6
1993,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2932.0,1337.0,45600.3
1993,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3740.0,562.0,15026.7
1993,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,9686.0,1061.0,10954.0
1993,5,9.0,Brown,8,Central,Mostly Urban,41.1,1286.0,180.0,13996.9
1993,6,11.0,Bureau,13,Central,Mostly Rural,57.4,9300.0,1223.0,13150.5
1993,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1261.0,212.0,16812.1
1993,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4156.0,649.0,15616.0
1993,9,17.0,Cass,8,Central,Mostly Rural,52.1,3406.0,559.0,16412.2
1993,10,19.0,Champaign,6,Central,Mostly Urban,12.7,38181.0,6338.0,16599.9
1993,11,21.0,Christian,4,Central,Mostly Urban,43.5,8702.0,1392.0,15996.3
1993,12,23.0,Clark,5,Southern,Mostly Rural,59.5,4035.0,583.0,14448.6
1993,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3604.0,680.0,18867.9
1993,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,9127.0,1065.0,11668.7
1993,15,29.0,Coles,5,Central,Mostly Urban,24.3,10833.0,1782.0,16449.7
1993,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,1332823.0,396445.0,29744.8
1993,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4875.0,692.0,14194.9
1993,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2994.0,473.0,15798.3
1993,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,17823.0,1647.0,9240.9
1993,20,39.0,De Witt,6,Central,Mostly Urban,48.8,4267.0,595.0,13944.2
1993,21,41.0,Douglas,6,Central,Mostly Rural,61.6,5445.0,735.0,13498.6
1993,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,220632.0,10697.0,4848.3
1993,23,45.0,Edgar,5,Central,Mostly Rural,51.8,4957.0,1027.0,20718.2
1993,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1761.0,248.0,14082.9
1993,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,9615.0,1191.0,12386.9
1993,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,5194.0,996.0,19176.0
1993,27,53.0,Ford,11,Central,Mostly Urban,41.8,3613.0,464.0,12842.5
1993,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,9465.0,2675.0,28262.0
1993,29,57.0,Fulton,9,Central,Mostly Rural,60.0,9070.0,1941.0,21400.2
1993,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1578.0,401.0,25411.9
1993,31,61.0,Greene,7,Central,Mostly Rural,70.8,3962.0,803.0,20267.5
1993,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,9396.0,685.0,7290.3
1993,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,2032.0,404.0,19881.9
1993,34,67.0,Hancock,9,Central,Mostly Rural,71.0,5437.0,882.0,16222.2
1993,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1186.0,340.0,28667.8
1993,36,71.0,Henderson,9,Central,Mostly Rural,99.7,2042.0,330.0,16160.6
1993,37,73.0,Henry,14,Central,Mostly Rural,50.3,13461.0,2043.0,15177.2
1993,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,8122.0,1079.0,13284.9
1993,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,11856.0,3184.0,26855.6
1993,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2929.0,439.0,14988.1
1993,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,9909.0,2243.0,22636.0
1993,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,5585.0,844.0,15111.9
1993,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5651.0,596.0,10546.8
1993,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2308.0,449.0,19454.1
1993,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,101703.0,12959.0,12742.0
1993,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,28153.0,5663.0,20115.1
1993,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,12473.0,634.0,5083.0
1993,48,95.0,Knox,9,Central,Mostly Urban,24.3,13189.0,2556.0,19379.8
1993,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,157305.0,14392.0,9149.1
1993,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,27771.0,4044.0,14562.0
1993,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,3760.0,827.0,21994.7
1993,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,9032.0,1036.0,11470.3
1993,53,105.0,Livingston,11,Central,Mostly Urban,40.8,9983.0,1322.0,13242.5
1993,54,107.0,Logan,11,Central,Mostly Urban,39.9,7218.0,1022.0,14159.0
1993,55,109.0,McDonough,9,Central,Mostly Urban,29.5,6348.0,1134.0,17863.9
1993,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,62077.0,2990.0,4816.6
1993,57,113.0,McLean,11,Central,Mostly Urban,16.5,32028.0,3488.0,10890.5
1993,58,115.0,Macon,6,Central,Mostly Urban,15.3,30351.0,6486.0,21370.0
1993,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,12303.0,2176.0,17686.7
1993,60,119.0,Madison,3,Southern,Mostly Urban,13.3,64830.0,11946.0,18426.7
1993,61,121.0,Marion,4,Southern,Mostly Urban,45.1,11040.0,2507.0,22708.3
1993,62,123.0,Marshall,10,Central,Completely Rural,100.0,3153.0,377.0,11956.9
1993,63,125.0,Mason,8,Central,Mostly Rural,77.5,4223.0,799.0,18920.2
1993,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3549.0,805.0,22682.4
1993,65,129.0,Menard,8,Central,Mostly Rural,75.7,3133.0,375.0,11969.4
1993,66,131.0,Mercer,14,Central,Mostly Rural,77.8,4455.0,656.0,14725.0
1993,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,6411.0,394.0,6145.7
1993,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,7623.0,1404.0,18417.9
1993,69,137.0,Morgan,7,Central,Mostly Urban,36.2,8825.0,1300.0,14730.9
1993,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3623.0,465.0,12834.7
1993,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,13217.0,1307.0,9888.8
1993,72,143.0,Peoria,10,Central,Mostly Urban,14.6,47628.0,11095.0,23295.1
1993,73,145.0,Perry,20,Southern,Mostly Urban,43.6,5503.0,1116.0,20279.8
1993,74,147.0,Piatt,6,Central,Mostly Rural,67.7,4075.0,360.0,8834.4
1993,75,149.0,Pike,8,Central,Mostly Rural,72.3,4329.0,974.0,22499.4
1993,76,151.0,Pope,1,Southern,Completely Rural,100.0,996.0,250.0,25100.4
1993,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,2114.0,768.0,36329.2
1993,78,155.0,Putnam,10,Central,Completely Rural,100.0,1491.0,135.0,9054.3
1993,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,8133.0,1335.0,16414.6
1993,80,159.0,Richland,2,Southern,Mostly Urban,43.5,4208.0,796.0,18916.3
1993,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,37779.0,7765.0,20553.7
1993,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,75098.0,21967.0,29251.1
1993,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6573.0,1699.0,25848.2
1993,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,47692.0,7925.0,16617.0
1993,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1812.0,331.0,18267.1
1993,86,171.0,Scott,7,Central,Completely Rural,100.0,1443.0,194.0,13444.2
1993,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5769.0,734.0,12723.2
1993,88,175.0,Stark,10,Central,Completely Rural,100.0,1640.0,236.0,14390.2
1993,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,12537.0,1800.0,14357.5
1993,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,32434.0,4591.0,14154.9
1993,91,181.0,Union,1,Southern,Mostly Rural,65.9,4184.0,1086.0,25956.0
1993,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,22544.0,5304.0,23527.3
1993,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,3368.0,553.0,16419.2
1993,94,187.0,Warren,9,Central,Mostly Urban,45.5,4822.0,886.0,18374.1
1993,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3884.0,407.0,10478.9
1993,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,4132.0,714.0,17279.8
1993,97,193.0,White,2,Southern,Mostly Rural,62.0,3660.0,833.0,22759.6
1993,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,15973.0,2273.0,14230.3
1993,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,116214.0,12398.0,10668.2
1993,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,14081.0,3074.0,21830.8
1993,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,69672.0,12334.0,17703.0
1993,102,203.0,Woodford,11,Central,Mostly Rural,54.9,9483.0,894.0,9427.4
1995,1,1.0,Adams,8,Central,Mostly Urban,32.6,17594.0,3098.0,17608.3
1995,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2796.0,1337.0,47818.3
1995,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3924.0,606.0,15443.4
1995,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,10702.0,1003.0,9372.1
1995,5,9.0,Brown,8,Central,Mostly Urban,41.1,1290.0,186.0,14418.6
1995,6,11.0,Bureau,13,Central,Mostly Rural,57.4,9256.0,1215.0,13126.6
1995,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1214.0,185.0,15238.9
1995,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4230.0,661.0,15626.5
1995,9,17.0,Cass,8,Central,Mostly Rural,52.1,3455.0,564.0,16324.2
1995,10,19.0,Champaign,6,Central,Mostly Urban,12.7,38089.0,6113.0,16049.3
1995,11,21.0,Christian,4,Central,Mostly Urban,43.5,8808.0,1413.0,16042.2
1995,12,23.0,Clark,5,Southern,Mostly Rural,59.5,4150.0,641.0,15445.8
1995,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3614.0,683.0,18898.7
1995,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,9158.0,1147.0,12524.6
1995,15,29.0,Coles,5,Central,Mostly Urban,24.3,10990.0,1899.0,17279.3
1995,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,1365841.0,348721.0,25531.6
1995,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4929.0,764.0,15500.1
1995,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,3027.0,472.0,15593.0
1995,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,18950.0,1674.0,8833.8
1995,20,39.0,De Witt,6,Central,Mostly Urban,48.8,4266.0,613.0,14369.4
1995,21,41.0,Douglas,6,Central,Mostly Rural,61.6,5520.0,777.0,14076.1
1995,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,229514.0,10107.0,4403.7
1995,23,45.0,Edgar,5,Central,Mostly Rural,51.8,5018.0,1006.0,20047.8
1995,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1754.0,270.0,15393.4
1995,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,9803.0,1162.0,11853.5
1995,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,5290.0,986.0,18638.9
1995,27,53.0,Ford,11,Central,Mostly Urban,41.8,3714.0,487.0,13112.5
1995,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,9517.0,2831.0,29746.8
1995,29,57.0,Fulton,9,Central,Mostly Rural,60.0,9014.0,1944.0,21566.5
1995,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1552.0,473.0,30476.8
1995,31,61.0,Greene,7,Central,Mostly Rural,70.8,3965.0,834.0,21034.0
1995,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,9590.0,721.0,7518.2
1995,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,2083.0,446.0,21411.4
1995,34,67.0,Hancock,9,Central,Mostly Rural,71.0,5355.0,802.0,14976.7
1995,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1123.0,369.0,32858.4
1995,36,71.0,Henderson,9,Central,Mostly Rural,99.7,2027.0,321.0,15836.2
1995,37,73.0,Henry,14,Central,Mostly Rural,50.3,13510.0,1955.0,14470.8
1995,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,8178.0,1138.0,13915.4
1995,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,12036.0,3288.0,27318.0
1995,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2891.0,456.0,15773.1
1995,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,9961.0,2403.0,24124.1
1995,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,5569.0,730.0,13108.3
1995,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5572.0,572.0,10265.6
1995,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2372.0,481.0,20278.2
1995,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,108098.0,11878.0,10988.2
1995,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,28524.0,5703.0,19993.7
1995,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,13370.0,686.0,5130.9
1995,48,95.0,Knox,9,Central,Mostly Urban,24.3,12974.0,2581.0,19893.6
1995,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,167632.0,13225.0,7889.3
1995,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,28215.0,4159.0,14740.4
1995,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,3807.0,881.0,23141.6
1995,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,9143.0,1017.0,11123.3
1995,53,105.0,Livingston,11,Central,Mostly Urban,40.8,10150.0,1344.0,13241.4
1995,54,107.0,Logan,11,Central,Mostly Urban,39.9,7239.0,1072.0,14808.7
1995,55,109.0,McDonough,9,Central,Mostly Urban,29.5,6337.0,1180.0,18620.8
1995,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,68592.0,3080.0,4490.3
1995,57,113.0,McLean,11,Central,Mostly Urban,16.5,33645.0,3633.0,10798.0
1995,58,115.0,Macon,6,Central,Mostly Urban,15.3,30121.0,6562.0,21785.5
1995,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,12411.0,2369.0,19087.9
1995,60,119.0,Madison,3,Southern,Mostly Urban,13.3,65671.0,12021.0,18304.9
1995,61,121.0,Marion,4,Southern,Mostly Urban,45.1,11064.0,2542.0,22975.4
1995,62,123.0,Marshall,10,Central,Completely Rural,100.0,3161.0,372.0,11768.4
1995,63,125.0,Mason,8,Central,Mostly Rural,77.5,4176.0,823.0,19707.9
1995,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3600.0,850.0,23611.1
1995,65,129.0,Menard,8,Central,Mostly Rural,75.7,3270.0,422.0,12905.2
1995,66,131.0,Mercer,14,Central,Mostly Rural,77.8,4429.0,617.0,13930.9
1995,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,6664.0,363.0,5447.2
1995,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,7626.0,1464.0,19197.5
1995,69,137.0,Morgan,7,Central,Mostly Urban,36.2,8773.0,1327.0,15126.0
1995,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3683.0,479.0,13005.7
1995,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,13594.0,1279.0,9408.6
1995,72,143.0,Peoria,10,Central,Mostly Urban,14.6,47880.0,11117.0,23218.5
1995,73,145.0,Perry,20,Southern,Mostly Urban,43.6,5396.0,1173.0,21738.3
1995,74,147.0,Piatt,6,Central,Mostly Rural,67.7,4104.0,372.0,9064.3
1995,75,149.0,Pike,8,Central,Mostly Rural,72.3,4322.0,941.0,21772.3
1995,76,151.0,Pope,1,Southern,Completely Rural,100.0,1011.0,285.0,28189.9
1995,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,2134.0,846.0,39643.9
1995,78,155.0,Putnam,10,Central,Completely Rural,100.0,1496.0,142.0,9492.0
1995,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,8107.0,1371.0,16911.3
1995,80,159.0,Richland,2,Southern,Mostly Urban,43.5,4213.0,804.0,19083.8
1995,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,37427.0,7529.0,20116.5
1995,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,74902.0,21385.0,28550.6
1995,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6568.0,1876.0,28562.7
1995,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,48549.0,7642.0,15740.8
1995,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1814.0,332.0,18302.1
1995,86,171.0,Scott,7,Central,Completely Rural,100.0,1457.0,214.0,14687.7
1995,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5872.0,778.0,13249.3
1995,88,175.0,Stark,10,Central,Completely Rural,100.0,1644.0,238.0,14476.9
1995,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,12651.0,1796.0,14196.5
1995,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,32645.0,4356.0,13343.5
1995,91,181.0,Union,1,Southern,Mostly Rural,65.9,4252.0,1062.0,24976.5
1995,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,22281.0,5295.0,23764.6
1995,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,3336.0,581.0,17416.1
1995,94,187.0,Warren,9,Central,Mostly Urban,45.5,4707.0,925.0,19651.6
1995,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3921.0,404.0,10303.5
1995,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,4176.0,790.0,18917.6
1995,97,193.0,White,2,Southern,Mostly Rural,62.0,3606.0,906.0,25124.8
1995,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,15923.0,2472.0,15524.7
1995,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,125951.0,12187.0,9676.0
1995,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,14271.0,3380.0,23684.4
1995,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,71542.0,11471.0,16033.9
1995,102,203.0,Woodford,11,Central,Mostly Rural,54.9,9646.0,901.0,9340.7
1997,1,1.0,Adams,8,Central,Mostly Urban,32.6,17574.0,3068.0,17457.6
1997,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2645.0,1300.0,49149.3
1997,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3961.0,665.0,16788.7
1997,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,11535.0,1047.0,9076.7
1997,5,9.0,Brown,8,Central,Mostly Urban,41.1,1266.0,232.0,18325.4
1997,6,11.0,Bureau,13,Central,Mostly Rural,57.4,9157.0,1171.0,12788.0
1997,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1212.0,198.0,16336.6
1997,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4234.0,667.0,15753.4
1997,9,17.0,Cass,8,Central,Mostly Rural,52.1,3473.0,576.0,16585.1
1997,10,19.0,Champaign,6,Central,Mostly Urban,12.7,38691.0,6413.0,16574.9
1997,11,21.0,Christian,4,Central,Mostly Urban,43.5,8787.0,1437.0,16353.7
