year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,average_daily_population,booking,average_daily_population_rate,booking_rate
1982,60,119.0,Madison,3,Southern,Mostly Urban,13.3,244437,2887.0,119.0,1181.1,48.7
1982,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44347,554.0,15.0,1249.2,33.8
1982,62,123.0,Marshall,10,Central,Completely Rural,100.0,14308,224.0,5.0,1565.6,34.9
1982,63,125.0,Mason,8,Central,Mostly Rural,77.5,18797,185.0,4.0,984.2,21.3
1982,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15069,457.0,7.0,3032.7,46.5
1982,65,129.0,Menard,8,Central,Mostly Rural,75.7,11682,72.0,2.0,616.3,17.1
1982,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19468,423.0,9.0,2172.8,46.2
1982,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,20341,198.0,4.0,973.4,19.7
1982,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32662,530.0,12.0,1622.7,36.7
1982,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37158,634.0,7.0,1706.2,18.8
1982,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14650,128.0,5.0,873.7,34.1
1982,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46059,1129.0,28.0,2451.2,60.8
1982,72,143.0,Peoria,10,Central,Mostly Urban,14.6,197990,7931.0,203.0,4005.8,102.5
1982,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21977,252.0,7.0,1146.7,31.9
1982,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16493,250.0,7.0,1515.8,42.4
1982,75,149.0,Pike,8,Central,Mostly Rural,72.3,18879,301.0,8.0,1594.4,42.4
1982,76,151.0,Pope,1,Southern,Completely Rural,100.0,4367,110.0,2.0,2518.9,45.8
1982,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8733,263.0,8.0,3011.6,91.6
1982,78,155.0,Putnam,10,Central,Completely Rural,100.0,6076,29.0,1.0,477.3,16.5
1982,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35825,690.0,7.0,1926.0,19.5
1982,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18515,652.0,7.0,3521.5,37.8
1982,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,166165,2401.0,72.0,1444.9,43.3
1982,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,266073,5831.0,234.0,2191.5,87.9
1982,83,165.0,Saline,1,Southern,Mostly Urban,43.7,28953,924.0,18.0,3191.4,62.2
1982,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,175162,6191.0,101.0,3534.4,57.7
1982,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8237,108.0,2.0,1311.2,24.3
1982,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23630,139.0,4.0,588.2,16.9
1982,88,175.0,Stark,10,Central,Completely Rural,100.0,7252,32.0,1.0,441.3,13.8
1982,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49842,814.0,34.0,1633.2,68.2
1982,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,130451,1843.0,35.0,1412.8,26.8
1982,91,181.0,Union,1,Southern,Mostly Rural,65.9,18043,216.0,5.0,1197.1,27.7
1982,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,92998,1961.0,57.0,2108.6,61.3
1982,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13913,360.0,9.0,2587.5,64.7
1982,94,187.0,Warren,9,Central,Mostly Urban,45.5,21638,282.0,17.0,1303.3,78.6
1982,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15517,87.0,2.0,560.7,12.9
1982,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,18613,196.0,10.0,1053.0,53.7
1982,97,193.0,White,2,Southern,Mostly Rural,62.0,18403,671.0,12.0,3646.1,65.2
1982,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,64356,725.0,44.0,1126.5,68.4
1982,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,325943,3871.0,90.0,1187.6,27.6
1982,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,57917,928.0,32.0,1602.3,55.3
1982,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,249698,10676.0,192.0,4275.6,76.9
1983,1,1.0,Adams,8,Central,Mostly Urban,32.6,70392,1948.0,52.0,2767.4,73.9
1983,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11948,431.0,8.0,3607.3,67.0
1983,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15932,263.0,3.0,1650.8,18.8
1983,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29133,850.0,17.0,2917.7,58.4
1983,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38399,1262.0,18.0,3286.5,46.9
1983,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5699,51.0,1.0,894.9,17.5
1983,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18342,128.0,13.0,697.9,70.9
1983,9,17.0,Cass,8,Central,Mostly Rural,52.1,14662,190.0,3.0,1295.9,20.5
1983,10,19.0,Champaign,6,Central,Mostly Urban,12.7,170311,3458.0,80.0,2030.4,47.0
1983,11,21.0,Christian,4,Central,Mostly Urban,43.5,36391,691.0,6.0,1898.8,16.5
1983,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16897,273.0,7.0,1615.7,41.4
1983,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15595,169.0,6.0,1083.7,38.5
1983,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33648,764.0,12.0,2270.6,35.7
1983,15,29.0,Coles,5,Central,Mostly Urban,24.3,52780,1234.0,22.0,2338.0,41.7
1983,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5213812,,5123.0,,98.3
1983,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21229,178.0,5.0,838.5,23.6
1983,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10955,104.0,2.0,949.3,18.3
1983,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,73711,1240.0,23.0,1682.2,31.2
1983,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17673,395.0,6.0,2235.0,34.0
1983,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19763,299.0,5.0,1512.9,25.3
1983,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,690201,8052.0,139.0,1166.6,20.1
1983,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21674,397.0,6.0,1831.7,27.7
1983,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31400,1060.0,8.0,3375.8,25.5
1983,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22397,1203.0,12.0,5371.3,53.6
1983,27,53.0,Ford,11,Central,Mostly Urban,41.8,15220,120.0,3.0,788.4,19.7
1983,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,43726,208.0,7.0,475.7,16.0
1983,29,57.0,Fulton,9,Central,Mostly Rural,60.0,42341,341.0,18.0,805.4,42.5
1983,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7718,353.0,3.0,4573.7,38.9
1983,31,61.0,Greene,7,Central,Mostly Rural,70.8,16262,325.0,5.0,1998.5,30.7
1983,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30619,539.0,6.0,1760.3,19.6
1983,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9280,138.0,3.0,1487.1,32.3
1983,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23562,442.0,6.0,1875.9,25.5
1983,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5400,77.0,2.0,1425.9,37.0
1983,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8961,159.0,7.0,1774.4,78.1
1983,37,73.0,Henry,14,Central,Mostly Rural,50.3,56329,831.0,30.0,1475.3,53.3
1983,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,32760,728.0,15.0,2222.2,45.8
1983,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,62538,1306.0,23.0,2088.3,36.8
1983,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11491,121.0,3.0,1053.0,26.1
1983,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,38252,705.0,18.0,1843.0,47.1
1983,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20551,325.0,4.0,1581.4,19.5
1983,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23185,218.0,9.0,940.3,38.8
1983,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,280933,4485.0,105.0,1596.5,37.4
1983,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,99560,2430.0,67.0,2440.7,67.3
1983,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37093,180.0,8.0,485.3,21.6
1983,48,95.0,Knox,9,Central,Mostly Urban,24.3,59365,1842.0,29.0,3102.8,48.9
1983,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,455347,7413.0,104.0,1628.0,22.8
1983,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,108926,1697.0,45.0,1557.9,41.3
1983,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18212,322.0,3.0,1768.1,16.5
1983,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,34656,1199.0,12.0,3459.7,34.6
1983,53,105.0,Livingston,11,Central,Mostly Urban,40.8,40481,572.0,22.0,1413.0,54.3
1983,54,107.0,Logan,11,Central,Mostly Urban,39.9,31110,859.0,17.0,2761.2,54.6
1983,55,109.0,McDonough,9,Central,Mostly Urban,29.5,37471,535.0,13.0,1427.8,34.7
1983,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,151784,3749.0,21.0,2470.0,13.8
1983,57,113.0,McLean,11,Central,Mostly Urban,16.5,121622,2067.0,87.0,1699.5,71.5
1983,58,115.0,Macon,6,Central,Mostly Urban,15.3,126932,3963.0,51.0,3122.1,40.2
1983,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,49410,553.0,14.0,1119.2,28.3
1983,60,119.0,Madison,3,Southern,Mostly Urban,13.3,244885,2773.0,117.0,1132.4,47.8
1983,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44419,554.0,22.0,1247.2,49.5
1983,62,123.0,Marshall,10,Central,Completely Rural,100.0,14177,304.0,5.0,2144.3,35.3
1983,63,125.0,Mason,8,Central,Mostly Rural,77.5,18448,250.0,5.0,1355.2,27.1
1983,64,127.0,Massac,1,Southern,Mostly Rural,50.5,14996,482.0,11.0,3214.2,73.4
1983,65,129.0,Menard,8,Central,Mostly Rural,75.7,11640,55.0,3.0,472.5,25.8
1983,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19254,368.0,8.0,1911.3,41.5
1983,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,20391,192.0,5.0,941.6,24.5
1983,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32537,450.0,7.0,1383.0,21.5
1983,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37307,704.0,9.0,1887.0,24.1
1983,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14669,142.0,4.0,968.0,27.3
1983,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46025,1112.0,27.0,2416.1,58.7
1983,72,143.0,Peoria,10,Central,Mostly Urban,14.6,194712,8543.0,187.0,4387.5,96.0
1983,73,145.0,Perry,20,Southern,Mostly Urban,43.6,22176,248.0,8.0,1118.3,36.1
1983,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16404,216.0,9.0,1316.8,54.9
1983,75,149.0,Pike,8,Central,Mostly Rural,72.3,18932,309.0,9.0,1632.2,47.5
1983,76,151.0,Pope,1,Southern,Completely Rural,100.0,4375,108.0,2.0,2468.6,45.7
