year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,attack_school_personnel,offense_against_children,attack_school_personnel_rate,offense_against_children_rate
1997,31,61.0,Greene,7,Central,Mostly Rural,70.8,3706,0.0,0.0,0.0,0.0
1997,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,9304,1.0,45.0,10.7,483.7
1997,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,1978,0.0,0.0,0.0,0.0
1997,34,67.0,Hancock,9,Central,Mostly Rural,71.0,4922,0.0,0.0,0.0,0.0
1997,35,69.0,Hardin,2,Southern,Completely Rural,100.0,979,0.0,0.0,0.0,0.0
1997,36,71.0,Henderson,9,Central,Mostly Rural,99.7,1892,0.0,1.0,0.0,52.9
1997,37,73.0,Henry,14,Central,Mostly Rural,50.3,12490,0.0,31.0,0.0,248.2
1997,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,7725,1.0,4.0,12.9,51.8
1997,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,11210,2.0,14.0,17.8,124.9
1997,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2647,0.0,6.0,0.0,226.7
1997,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,9386,1.0,185.0,10.7,1971.0
1997,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,5274,5.0,23.0,94.8,436.1
1997,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5108,0.0,9.0,0.0,176.2
1997,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2266,0.0,0.0,0.0,0.0
1997,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,109004,29.0,421.0,26.6,386.2
1997,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,27084,7.0,211.0,25.8,779.1
1997,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,13897,0.0,102.0,0.0,734.0
1997,48,95.0,Knox,9,Central,Mostly Urban,24.3,12082,1.0,28.0,8.3,231.7
1997,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,169573,27.0,540.0,15.9,318.4
1997,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,26771,6.0,115.0,22.4,429.6
1997,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,3472,0.0,0.0,0.0,0.0
1997,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,8544,32.0,25.0,374.5,292.6
1997,53,105.0,Livingston,11,Central,Mostly Urban,40.8,9561,1.0,128.0,10.5,1338.8
1997,54,107.0,Logan,11,Central,Mostly Urban,39.9,6702,0.0,194.0,0.0,2894.7
1997,55,109.0,McDonough,9,Central,Mostly Urban,29.5,5825,0.0,3.0,0.0,51.5
1997,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,69703,6.0,119.0,8.6,170.7
1997,57,113.0,McLean,11,Central,Mostly Urban,16.5,32642,0.0,33.0,0.0,101.1
1997,58,115.0,Macon,6,Central,Mostly Urban,15.3,27774,47.0,618.0,169.2,2225.1
1997,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,11591,1.0,39.0,8.6,336.5
1997,60,119.0,Madison,3,Southern,Mostly Urban,13.3,62150,51.0,1045.0,82.1,1681.4
1997,61,121.0,Marion,4,Southern,Mostly Urban,45.1,10350,0.0,104.0,0.0,1004.8
1997,62,123.0,Marshall,10,Central,Completely Rural,100.0,2958,0.0,1.0,0.0,33.8
1997,63,125.0,Mason,8,Central,Mostly Rural,77.5,3884,0.0,62.0,0.0,1596.3
1997,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3405,0.0,7.0,0.0,205.6
1997,65,129.0,Menard,8,Central,Mostly Rural,75.7,3132,0.0,3.0,0.0,95.8
1997,66,131.0,Mercer,14,Central,Mostly Rural,77.8,4084,0.0,3.0,0.0,73.5
1997,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,6574,0.0,0.0,0.0,0.0
1997,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,7126,0.0,17.0,0.0,238.6
1997,69,137.0,Morgan,7,Central,Mostly Urban,36.2,8136,28.0,74.0,344.1,909.5
1997,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3512,0.0,27.0,0.0,768.8
1997,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,13081,5.0,69.0,38.2,527.5
1997,72,143.0,Peoria,10,Central,Mostly Urban,14.6,44943,156.0,1529.0,347.1,3402.1
1997,73,145.0,Perry,20,Southern,Mostly Urban,43.6,5005,2.0,10.0,40.0,199.8
1997,74,147.0,Piatt,6,Central,Mostly Rural,67.7,3911,0.0,30.0,0.0,767.1
1997,75,149.0,Pike,8,Central,Mostly Rural,72.3,4080,0.0,0.0,0.0,0.0
1997,76,151.0,Pope,1,Southern,Completely Rural,100.0,881,0.0,3.0,0.0,340.5
1997,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,1964,1.0,1.0,50.9,50.9
1997,78,155.0,Putnam,10,Central,Completely Rural,100.0,1432,0.0,2.0,0.0,139.7
1997,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,7429,0.0,18.0,0.0,242.3
1997,80,159.0,Richland,2,Southern,Mostly Urban,43.5,3942,0.0,101.0,0.0,2562.2
1997,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,34692,14.0,452.0,40.4,1302.9
1997,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,69898,25.0,565.0,35.8,808.3
1997,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6064,0.0,76.0,0.0,1253.3
1997,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,45710,59.0,776.0,129.1,1697.7
1997,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1639,0.0,0.0,0.0,0.0
1997,86,171.0,Scott,7,Central,Completely Rural,100.0,1344,0.0,0.0,0.0,0.0
1997,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5601,0.0,11.0,0.0,196.4
1997,88,175.0,Stark,10,Central,Completely Rural,100.0,1544,0.0,5.0,0.0,323.8
1997,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,11982,2.0,128.0,16.7,1068.3
1997,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,30424,8.0,389.0,26.3,1278.6
1997,91,181.0,Union,1,Southern,Mostly Rural,65.9,4040,0.0,1.0,0.0,24.8
1997,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,20602,5.0,191.0,24.3,927.1
1997,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,3053,0.0,40.0,0.0,1310.2
1997,94,187.0,Warren,9,Central,Mostly Urban,45.5,4307,1.0,30.0,23.2,696.5
1997,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3725,16.0,6.0,429.5,161.1
1997,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,3911,0.0,31.0,0.0,792.6
1997,97,193.0,White,2,Southern,Mostly Rural,62.0,3289,2.0,51.0,60.8,1550.6
1997,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,14815,2.0,37.0,13.5,249.7
1997,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,129246,5.0,555.0,3.9,429.4
1997,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,13545,1.0,102.0,7.4,753.0
1997,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,69042,5.0,332.0,7.2,480.9
1997,102,203.0,Woodford,11,Central,Mostly Rural,54.9,9079,0.0,8.0,0.0,88.1
1998,1,1.0,Adams,8,Central,Mostly Urban,32.6,16332,4.0,291.0,24.5,1781.8
1998,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2420,0.0,9.0,0.0,371.9
1998,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3687,0.0,0.0,0.0,0.0
1998,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,11172,1.0,168.0,9.0,1503.8
1998,5,9.0,Brown,8,Central,Mostly Urban,41.1,1161,0.0,0.0,0.0,0.0
1998,6,11.0,Bureau,13,Central,Mostly Rural,57.4,8367,0.0,65.0,0.0,776.9
1998,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1104,0.0,0.0,0.0,0.0
1998,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,3910,0.0,49.0,0.0,1253.2
1998,9,17.0,Cass,8,Central,Mostly Rural,52.1,3211,0.0,2.0,0.0,62.3
1998,10,19.0,Champaign,6,Central,Mostly Urban,12.7,36123,42.0,769.0,116.3,2128.8
1998,11,21.0,Christian,4,Central,Mostly Urban,43.5,8168,0.0,15.0,0.0,183.6
1998,12,23.0,Clark,5,Southern,Mostly Rural,59.5,3992,0.0,0.0,0.0,0.0
1998,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3346,0.0,4.0,0.0,119.5
1998,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,8498,0.0,68.0,0.0,800.2
1998,15,29.0,Coles,5,Central,Mostly Urban,24.3,10108,0.0,19.0,0.0,188.0
1998,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,1317295,1403.0,26156.0,106.5,1985.6
1998,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4524,0.0,33.0,0.0,729.4
1998,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2826,0.0,3.0,0.0,106.2
1998,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,18855,2.0,207.0,10.6,1097.9
1998,20,39.0,De Witt,6,Central,Mostly Urban,48.8,3941,0.0,0.0,0.0,0.0
1998,21,41.0,Douglas,6,Central,Mostly Rural,61.6,5108,1.0,14.0,19.6,274.1
1998,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,225597,33.0,789.0,14.6,349.7
1998,23,45.0,Edgar,5,Central,Mostly Rural,51.8,4572,0.0,43.0,0.0,940.5
1998,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1550,0.0,0.0,0.0,0.0
1998,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,9301,6.0,126.0,64.5,1354.7
1998,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,4974,0.0,55.0,0.0,1105.7
1998,27,53.0,Ford,11,Central,Mostly Urban,41.8,3502,0.0,10.0,0.0,285.6
1998,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,8646,0.0,3.0,0.0,34.7
1998,29,57.0,Fulton,9,Central,Mostly Rural,60.0,8158,5.0,24.0,61.3,294.2
1998,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1367,0.0,0.0,0.0,0.0
1998,31,61.0,Greene,7,Central,Mostly Rural,70.8,3644,2.0,18.0,54.9,494.0
1998,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,9304,0.0,64.0,0.0,687.9
1998,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,1970,0.0,0.0,0.0,0.0
1998,34,67.0,Hancock,9,Central,Mostly Rural,71.0,4834,2.0,6.0,41.4,124.1
1998,35,69.0,Hardin,2,Southern,Completely Rural,100.0,940,0.0,0.0,0.0,0.0
1998,36,71.0,Henderson,9,Central,Mostly Rural,99.7,1840,0.0,7.0,0.0,380.4
1998,37,73.0,Henry,14,Central,Mostly Rural,50.3,12287,1.0,38.0,8.1,309.3
1998,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,7605,0.0,4.0,0.0,52.6
1998,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,11012,0.0,16.0,0.0,145.3
1998,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2584,0.0,10.0,0.0,387.0
1998,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,9270,0.0,228.0,0.0,2459.5
1998,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,5252,0.0,7.0,0.0,133.3
1998,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,4965,0.0,11.0,0.0,221.6
1998,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2252,0.0,0.0,0.0,0.0
1998,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,111161,15.0,312.0,13.5,280.7
1998,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,26835,15.0,346.0,55.9,1289.4
1998,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,14343,0.0,88.0,0.0,613.5
1998,48,95.0,Knox,9,Central,Mostly Urban,24.3,11918,2.0,13.0,16.8,109.1
1998,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,172727,19.0,531.0,11.0,307.4
1998,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,26643,17.0,102.0,63.8,382.8
1998,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,3392,0.0,2.0,0.0,59.0
1998,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,8429,17.0,8.0,201.7,94.9
1998,53,105.0,Livingston,11,Central,Mostly Urban,40.8,9459,0.0,116.0,0.0,1226.3
1998,54,107.0,Logan,11,Central,Mostly Urban,39.9,6609,0.0,188.0,0.0,2844.6
1998,55,109.0,McDonough,9,Central,Mostly Urban,29.5,5698,0.0,2.0,0.0,35.1
1998,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,71214,0.0,85.0,0.0,119.4
1998,57,113.0,McLean,11,Central,Mostly Urban,16.5,32890,1.0,320.0,3.0,972.9
1998,58,115.0,Macon,6,Central,Mostly Urban,15.3,27319,1.0,546.0,3.7,1998.6
1998,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,11397,1.0,56.0,8.8,491.4
1998,60,119.0,Madison,3,Southern,Mostly Urban,13.3,61511,53.0,1151.0,86.2,1871.2
1998,61,121.0,Marion,4,Southern,Mostly Urban,45.1,10155,0.0,52.0,0.0,512.1
1998,62,123.0,Marshall,10,Central,Completely Rural,100.0,2923,0.0,17.0,0.0,581.6
1998,63,125.0,Mason,8,Central,Mostly Rural,77.5,3795,0.0,28.0,0.0,737.8
1998,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3368,1.0,20.0,29.7,593.8
1998,65,129.0,Menard,8,Central,Mostly Rural,75.7,3083,0.0,5.0,0.0,162.2
1998,66,131.0,Mercer,14,Central,Mostly Rural,77.8,4018,0.0,3.0,0.0,74.7
1998,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,6710,0.0,9.0,0.0,134.1
