year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,death,imprisonment,other,probation,death_rate,imprisonment_rate,other_rate,probation_rate
1982,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19793,0.0,8.0,,7.0,0.0,40.4,,35.4
1982,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,682289,0.0,241.0,,428.0,0.0,35.3,,62.7
1982,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21729,0.0,22.0,,25.0,0.0,101.2,,115.1
1982,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8129,0.0,0.0,,6.0,0.0,0.0,,73.8
1982,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31167,0.0,7.0,,10.0,0.0,22.5,,32.1
1982,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22282,0.0,8.0,,14.0,0.0,35.9,,62.8
1982,27,53.0,Ford,11,Central,Mostly Urban,41.8,15311,0.0,13.0,,7.0,0.0,84.9,,45.7
1982,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,43561,0.0,37.0,,39.0,0.0,84.9,,89.5
1982,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43107,0.0,37.0,,60.0,0.0,85.8,,139.2
1982,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7719,0.0,12.0,,26.0,0.0,155.5,,336.8
1982,31,61.0,Greene,7,Central,Mostly Rural,70.8,16519,0.0,5.0,,15.0,0.0,30.3,,90.8
1982,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30677,0.0,11.0,,34.0,0.0,35.9,,110.8
1982,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9271,0.0,3.0,,17.0,0.0,32.4,,183.4
1982,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23781,0.0,16.0,,11.0,0.0,67.3,,46.3
1982,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5388,0.0,7.0,,7.0,0.0,129.9,,129.9
1982,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8976,0.0,5.0,,5.0,0.0,55.7,,55.7
1982,37,73.0,Henry,14,Central,Mostly Rural,50.3,56769,0.0,13.0,,71.0,0.0,22.9,,125.1
1982,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33081,0.0,29.0,,39.0,0.0,87.7,,117.9
1982,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,62399,0.0,59.0,,137.0,0.0,94.6,,219.6
1982,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11491,0.0,6.0,,3.0,0.0,52.2,,26.1
1982,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,38004,1.0,50.0,,92.0,2.6,131.6,,242.1
1982,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20611,0.0,24.0,,13.0,0.0,116.4,,63.1
1982,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23469,0.0,0.0,,4.0,0.0,0.0,,17.0
1982,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9964,0.0,11.0,,15.0,0.0,110.4,,150.5
1982,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,278859,0.0,151.0,,319.0,0.0,54.1,,114.4
1982,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,101218,0.0,89.0,,124.0,0.0,87.9,,122.5
1982,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37531,0.0,11.0,,23.0,0.0,29.3,,61.3
1982,48,95.0,Knox,9,Central,Mostly Urban,24.3,59943,0.0,31.0,,83.0,0.0,51.7,,138.5
1982,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,451470,1.0,239.0,,465.0,0.2,52.9,,103.0
1982,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,109687,0.0,76.0,,72.0,0.0,69.3,,65.6
1982,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18232,0.0,16.0,,13.0,0.0,87.8,,71.3
1982,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,35724,0.0,22.0,,76.0,0.0,61.6,,212.7
1982,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41003,0.0,54.0,,70.0,0.0,131.7,,170.7
1982,54,107.0,Logan,11,Central,Mostly Urban,39.9,31419,0.0,17.0,,25.0,0.0,54.1,,79.6
1982,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38348,0.0,25.0,,39.0,0.0,65.2,,101.7
1982,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,149834,0.0,78.0,,192.0,0.0,52.1,,128.1
1982,57,113.0,McLean,11,Central,Mostly Urban,16.5,120379,1.0,117.0,,149.0,0.8,97.2,,123.8
1982,58,115.0,Macon,6,Central,Mostly Urban,15.3,128485,0.0,211.0,,126.0,0.0,164.2,,98.1
1982,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,49412,0.0,37.0,,30.0,0.0,74.9,,60.7
1982,60,119.0,Madison,3,Southern,Mostly Urban,13.3,244437,1.0,330.0,,440.0,0.4,135.0,,180.0
1982,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44347,0.0,50.0,,61.0,0.0,112.7,,137.6
1982,62,123.0,Marshall,10,Central,Completely Rural,100.0,14308,0.0,1.0,,4.0,0.0,7.0,,28.0
1982,63,125.0,Mason,8,Central,Mostly Rural,77.5,18797,0.0,12.0,,35.0,0.0,63.8,,186.2
1982,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15069,0.0,9.0,,19.0,0.0,59.7,,126.1
1982,65,129.0,Menard,8,Central,Mostly Rural,75.7,11682,0.0,6.0,,4.0,0.0,51.4,,34.2
1982,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19468,0.0,4.0,,13.0,0.0,20.5,,66.8
1982,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,20341,0.0,4.0,,16.0,0.0,19.7,,78.7
1982,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32662,0.0,44.0,,35.0,0.0,134.7,,107.2
1982,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37158,0.0,24.0,,18.0,0.0,64.6,,48.4
1982,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14650,0.0,12.0,,25.0,0.0,81.9,,170.6
1982,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46059,0.0,14.0,,58.0,0.0,30.4,,125.9
1982,72,143.0,Peoria,10,Central,Mostly Urban,14.6,197990,0.0,268.0,,361.0,0.0,135.4,,182.3
1982,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21977,0.0,26.0,,41.0,0.0,118.3,,186.6
1982,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16493,0.0,8.0,,22.0,0.0,48.5,,133.4
1982,75,149.0,Pike,8,Central,Mostly Rural,72.3,18879,1.0,19.0,,8.0,5.3,100.6,,42.4
1982,76,151.0,Pope,1,Southern,Completely Rural,100.0,4367,0.0,8.0,,13.0,0.0,183.2,,297.7
1982,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8733,0.0,20.0,,36.0,0.0,229.0,,412.2
1982,78,155.0,Putnam,10,Central,Completely Rural,100.0,6076,0.0,0.0,,1.0,0.0,0.0,,16.5
1982,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35825,0.0,25.0,,62.0,0.0,69.8,,173.1
1982,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18515,0.0,11.0,,13.0,0.0,59.4,,70.2
1982,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,166165,0.0,120.0,,288.0,0.0,72.2,,173.3
1982,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,266073,1.0,233.0,,376.0,0.4,87.6,,141.3
1982,83,165.0,Saline,1,Southern,Mostly Urban,43.7,28953,0.0,63.0,,93.0,0.0,217.6,,321.2
1982,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,175162,1.0,151.0,,149.0,0.6,86.2,,85.1
1982,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8237,0.0,6.0,,5.0,0.0,72.8,,60.7
1982,86,171.0,Scott,7,Central,Completely Rural,100.0,6059,0.0,2.0,,2.0,0.0,33.0,,33.0
1982,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23630,0.0,14.0,,9.0,0.0,59.2,,38.1
1982,88,175.0,Stark,10,Central,Completely Rural,100.0,7252,0.0,6.0,,2.0,0.0,82.7,,27.6
1982,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49842,0.0,57.0,,56.0,0.0,114.4,,112.4
1982,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,130451,0.0,63.0,,96.0,0.0,48.3,,73.6
1982,91,181.0,Union,1,Southern,Mostly Rural,65.9,18043,0.0,9.0,,15.0,0.0,49.9,,83.1
1982,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,92998,0.0,48.0,,107.0,0.0,51.6,,115.1
1982,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13913,0.0,9.0,,14.0,0.0,64.7,,100.6
1982,94,187.0,Warren,9,Central,Mostly Urban,45.5,21638,0.0,18.0,,36.0,0.0,83.2,,166.4
1982,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15517,0.0,5.0,,11.0,0.0,32.2,,70.9
1982,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,18613,0.0,12.0,,9.0,0.0,64.5,,48.4
1982,97,193.0,White,2,Southern,Mostly Rural,62.0,18403,0.0,26.0,,49.0,0.0,141.3,,266.3
1982,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,64356,0.0,29.0,,70.0,0.0,45.1,,108.8
1982,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,325943,2.0,164.0,,367.0,0.6,50.3,,112.6
1982,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,57917,0.0,41.0,,85.0,0.0,70.8,,146.8
1982,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,249698,2.0,167.0,,332.0,0.8,66.9,,133.0
1982,102,203.0,Woodford,11,Central,Mostly Rural,54.9,33563,0.0,9.0,,18.0,0.0,26.8,,53.6
1983,1,1.0,Adams,8,Central,Mostly Urban,32.6,70392,0.0,41.0,,66.0,0.0,58.2,,93.8
1983,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11948,0.0,33.0,,37.0,0.0,276.2,,309.7
1983,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15932,0.0,15.0,,36.0,0.0,94.2,,226.0
1983,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29133,0.0,18.0,,41.0,0.0,61.8,,140.7
1983,5,9.0,Brown,8,Central,Mostly Urban,41.1,5726,0.0,7.0,,5.0,0.0,122.2,,87.3
1983,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38399,0.0,11.0,,36.0,0.0,28.6,,93.8
1983,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5699,0.0,3.0,,2.0,0.0,52.6,,35.1
1983,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18342,0.0,10.0,,17.0,0.0,54.5,,92.7
1983,9,17.0,Cass,8,Central,Mostly Rural,52.1,14662,0.0,11.0,,16.0,0.0,75.0,,109.1
1983,10,19.0,Champaign,6,Central,Mostly Urban,12.7,170311,0.0,196.0,,207.0,0.0,115.1,,121.5
1983,11,21.0,Christian,4,Central,Mostly Urban,43.5,36391,0.0,6.0,,23.0,0.0,16.5,,63.2
1983,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16897,0.0,7.0,,30.0,0.0,41.4,,177.5
1983,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15595,0.0,8.0,,34.0,0.0,51.3,,218.0
1983,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33648,0.0,19.0,,33.0,0.0,56.5,,98.1
1983,15,29.0,Coles,5,Central,Mostly Urban,24.3,52780,1.0,51.0,,79.0,1.9,96.6,,149.7
1983,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5213812,10.0,7983.0,,10218.0,0.2,153.1,,196.0
1983,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21229,0.0,16.0,,11.0,0.0,75.4,,51.8
1983,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10955,0.0,3.0,,10.0,0.0,27.4,,91.3
1983,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,73711,0.0,24.0,,100.0,0.0,32.6,,135.7
1983,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17673,0.0,7.0,,15.0,0.0,39.6,,84.9
1983,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19763,0.0,9.0,,14.0,0.0,45.5,,70.8
1983,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,690201,0.0,324.0,,517.0,0.0,46.9,,74.9
1983,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21674,0.0,19.0,,33.0,0.0,87.7,,152.3
1983,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8165,0.0,1.0,,4.0,0.0,12.2,,49.0
1983,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31400,0.0,14.0,,49.0,0.0,44.6,,156.1
1983,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22397,0.0,11.0,,18.0,0.0,49.1,,80.4
1983,27,53.0,Ford,11,Central,Mostly Urban,41.8,15220,0.0,2.0,,7.0,0.0,13.1,,46.0
1983,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,43726,0.0,23.0,,39.0,0.0,52.6,,89.2
1983,29,57.0,Fulton,9,Central,Mostly Rural,60.0,42341,0.0,57.0,,63.0,0.0,134.6,,148.8
1983,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7718,0.0,10.0,,29.0,0.0,129.6,,375.7
1983,31,61.0,Greene,7,Central,Mostly Rural,70.8,16262,0.0,2.0,,22.0,0.0,12.3,,135.3
1983,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30619,1.0,15.0,,25.0,3.3,49.0,,81.6
1983,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9280,0.0,7.0,,7.0,0.0,75.4,,75.4
1983,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23562,0.0,14.0,,23.0,0.0,59.4,,97.6
1983,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5400,0.0,5.0,,8.0,0.0,92.6,,148.1
1983,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8961,0.0,5.0,,9.0,0.0,55.8,,100.4
1983,37,73.0,Henry,14,Central,Mostly Rural,50.3,56329,0.0,27.0,,43.0,0.0,47.9,,76.3
1983,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,32760,0.0,25.0,,38.0,0.0,76.3,,116.0
1983,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,62538,0.0,63.0,,112.0,0.0,100.7,,179.1
1983,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11491,0.0,5.0,,16.0,0.0,43.5,,139.2
1983,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,38252,0.0,61.0,,128.0,0.0,159.5,,334.6
1983,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20551,0.0,23.0,,18.0,0.0,111.9,,87.6
1983,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23185,0.0,38.0,,6.0,0.0,163.9,,25.9
1983,44,87.0,Johnson,1,Southern,Completely Rural,100.0,10128,0.0,13.0,,23.0,0.0,128.4,,227.1
1983,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,280933,0.0,246.0,,349.0,0.0,87.6,,124.2
1983,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,99560,0.0,59.0,,157.0,0.0,59.3,,157.7
1983,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37093,0.0,6.0,,20.0,0.0,16.2,,53.9
1983,48,95.0,Knox,9,Central,Mostly Urban,24.3,59365,0.0,42.0,,85.0,0.0,70.7,,143.2
1983,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,455347,1.0,273.0,,542.0,0.2,60.0,,119.0
1983,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,108926,0.0,67.0,,74.0,0.0,61.5,,67.9
1983,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18212,0.0,11.0,,14.0,0.0,60.4,,76.9
1983,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,34656,0.0,52.0,,104.0,0.0,150.0,,300.1
1983,53,105.0,Livingston,11,Central,Mostly Urban,40.8,40481,0.0,44.0,,62.0,0.0,108.7,,153.2
1983,54,107.0,Logan,11,Central,Mostly Urban,39.9,31110,0.0,20.0,,24.0,0.0,64.3,,77.1
1983,55,109.0,McDonough,9,Central,Mostly Urban,29.5,37471,0.0,35.0,,47.0,0.0,93.4,,125.4
1983,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,151784,0.0,66.0,,153.0,0.0,43.5,,100.8
1983,57,113.0,McLean,11,Central,Mostly Urban,16.5,121622,0.0,124.0,,140.0,0.0,102.0,,115.1
1983,58,115.0,Macon,6,Central,Mostly Urban,15.3,126932,0.0,205.0,,152.0,0.0,161.5,,119.7
1983,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,49410,0.0,32.0,,27.0,0.0,64.8,,54.6
1983,60,119.0,Madison,3,Southern,Mostly Urban,13.3,244885,0.0,311.0,,373.0,0.0,127.0,,152.3
1983,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44419,0.0,66.0,,74.0,0.0,148.6,,166.6
1983,62,123.0,Marshall,10,Central,Completely Rural,100.0,14177,0.0,8.0,,6.0,0.0,56.4,,42.3
1983,63,125.0,Mason,8,Central,Mostly Rural,77.5,18448,0.0,16.0,,32.0,0.0,86.7,,173.5
1983,64,127.0,Massac,1,Southern,Mostly Rural,50.5,14996,0.0,2.0,,29.0,0.0,13.3,,193.4
1983,65,129.0,Menard,8,Central,Mostly Rural,75.7,11640,0.0,6.0,,11.0,0.0,51.5,,94.5
1983,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19254,0.0,17.0,,8.0,0.0,88.3,,41.5
1983,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,20391,0.0,12.0,,20.0,0.0,58.8,,98.1
1983,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32537,0.0,25.0,,30.0,0.0,76.8,,92.2
1983,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37307,0.0,23.0,,27.0,0.0,61.7,,72.4
1983,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14669,0.0,14.0,,27.0,0.0,95.4,,184.1
1983,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46025,0.0,16.0,,54.0,0.0,34.8,,117.3
1983,72,143.0,Peoria,10,Central,Mostly Urban,14.6,194712,1.0,286.0,,383.0,0.5,146.9,,196.7
1983,73,145.0,Perry,20,Southern,Mostly Urban,43.6,22176,0.0,16.0,,40.0,0.0,72.2,,180.4
1983,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16404,0.0,4.0,,12.0,0.0,24.4,,73.2
1983,75,149.0,Pike,8,Central,Mostly Rural,72.3,18932,0.0,24.0,,12.0,0.0,126.8,,63.4
1983,76,151.0,Pope,1,Southern,Completely Rural,100.0,4375,0.0,1.0,,8.0,0.0,22.9,,182.9
1983,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8456,0.0,19.0,,33.0,0.0,224.7,,390.3
1983,78,155.0,Putnam,10,Central,Completely Rural,100.0,6101,0.0,1.0,,2.0,0.0,16.4,,32.8
1983,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35810,0.0,29.0,,56.0,0.0,81.0,,156.4
1983,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18416,0.0,12.0,,11.0,0.0,65.2,,59.7
1983,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,164006,0.0,107.0,,227.0,0.0,65.2,,138.4
1983,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,265569,1.0,282.0,,333.0,0.4,106.2,,125.4
1983,83,165.0,Saline,1,Southern,Mostly Urban,43.7,29025,0.0,31.0,,72.0,0.0,106.8,,248.1
1983,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,175971,0.0,121.0,,150.0,0.0,68.8,,85.2
1983,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8149,0.0,2.0,,9.0,0.0,24.5,,110.4
1983,86,171.0,Scott,7,Central,Completely Rural,100.0,5984,0.0,3.0,,5.0,0.0,50.1,,83.6
1983,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23464,0.0,8.0,,12.0,0.0,34.1,,51.1
1983,88,175.0,Stark,10,Central,Completely Rural,100.0,7160,0.0,4.0,,12.0,0.0,55.9,,167.6
1983,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49532,0.0,72.0,,62.0,0.0,145.4,,125.2
1983,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,129168,0.0,65.0,,99.0,0.0,50.3,,76.6
1983,91,181.0,Union,1,Southern,Mostly Rural,65.9,18277,0.0,5.0,,23.0,0.0,27.4,,125.8
1983,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,92758,0.0,67.0,,141.0,0.0,72.2,,152.0
1983,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,14021,0.0,18.0,,27.0,0.0,128.4,,192.6
1983,94,187.0,Warren,9,Central,Mostly Urban,45.5,21482,0.0,11.0,,25.0,0.0,51.2,,116.4
1983,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15438,0.0,1.0,,12.0,0.0,6.5,,77.7
1983,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,18794,0.0,8.0,,12.0,0.0,42.6,,63.9
1983,97,193.0,White,2,Southern,Mostly Rural,62.0,18168,0.0,25.0,,43.0,0.0,137.6,,236.7
1983,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,63443,1.0,24.0,,108.0,1.6,37.8,,170.2
1983,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,326758,1.0,178.0,,330.0,0.3,54.5,,101.0
1983,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,58112,0.0,44.0,,86.0,0.0,75.7,,148.0
1983,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,248221,0.0,182.0,,264.0,0.0,73.3,,106.4
1983,102,203.0,Woodford,11,Central,Mostly Rural,54.9,33127,0.0,17.0,,17.0,0.0,51.3,,51.3
1984,1,1.0,Adams,8,Central,Mostly Urban,32.6,69501,0.0,52.0,,112.0,0.0,74.8,,161.1
1984,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11945,0.0,18.0,,28.0,0.0,150.7,,234.4
1984,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15748,0.0,10.0,,23.0,0.0,63.5,,146.1
1984,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29175,0.0,17.0,,19.0,0.0,58.3,,65.1
1984,5,9.0,Brown,8,Central,Mostly Urban,41.1,5821,0.0,1.0,,5.0,0.0,17.2,,85.9
1984,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38058,0.0,14.0,,36.0,0.0,36.8,,94.6
1984,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5704,0.0,8.0,,12.0,0.0,140.3,,210.4
1984,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18058,0.0,4.0,,20.0,0.0,22.2,,110.8
1984,9,17.0,Cass,8,Central,Mostly Rural,52.1,14434,0.0,13.0,,9.0,0.0,90.1,,62.4
1984,10,19.0,Champaign,6,Central,Mostly Urban,12.7,170839,0.0,142.0,,258.0,0.0,83.1,,151.0
1984,11,21.0,Christian,4,Central,Mostly Urban,43.5,36161,0.0,23.0,,23.0,0.0,63.6,,63.6
1984,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16713,0.0,8.0,,48.0,0.0,47.9,,287.2
1984,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15487,0.0,11.0,,25.0,0.0,71.0,,161.4
1984,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33935,0.0,17.0,,34.0,0.0,50.1,,100.2
1984,15,29.0,Coles,5,Central,Mostly Urban,24.3,52685,0.0,43.0,,71.0,0.0,81.6,,134.8
1984,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5220920,8.0,7857.0,,10036.0,0.2,150.5,,192.2
1984,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21079,0.0,11.0,,18.0,0.0,52.2,,85.4
1984,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10927,0.0,2.0,,5.0,0.0,18.3,,45.8
1984,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,72697,0.0,34.0,,73.0,0.0,46.8,,100.4
1984,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17584,0.0,12.0,,11.0,0.0,68.2,,62.6
1984,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19590,0.0,11.0,,16.0,0.0,56.2,,81.7
1984,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,701251,0.0,341.0,,625.0,0.0,48.6,,89.1
1984,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21251,0.0,21.0,,30.0,0.0,98.8,,141.2
