year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,admin,cus,informal,other,probation,supervision,admin_rate,cus_rate,informal_rate,other_rate,probation_rate,supervision_rate
1995,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2263,0.0,6.0,0.0,3.0,22.0,0.0,0.0,265.1,0.0,132.6,972.2,0.0
1995,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,86407,22.0,252.0,0.0,31.0,455.0,12.0,25.5,291.6,0.0,35.9,526.6,13.9
1995,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2133,0.0,0.0,0.0,10.0,43.0,2.0,0.0,0.0,0.0,468.8,2015.9,93.8
1995,24,47.0,Edwards,2,Southern,Completely Rural,100.0,726,0.0,10.0,1.0,5.0,3.0,8.0,0.0,1377.4,137.7,688.7,413.2,1101.9
1995,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3832,0.0,7.0,0.0,9.0,54.0,26.0,0.0,182.7,0.0,234.9,1409.2,678.5
1995,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2167,0.0,23.0,0.0,26.0,20.0,0.0,0.0,1061.4,0.0,1199.8,922.9,0.0
1995,27,53.0,Ford,11,Central,Mostly Urban,41.8,1560,0.0,0.0,8.0,10.0,21.0,9.0,0.0,0.0,512.8,641.0,1346.2,576.9
1995,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,3999,0.0,25.0,30.0,2.0,54.0,9.0,0.0,625.2,750.2,50.0,1350.3,225.1
1995,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3831,0.0,25.0,25.0,12.0,26.0,0.0,0.0,652.6,652.6,313.2,678.7,0.0
1995,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,625,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0
1995,31,61.0,Greene,7,Central,Mostly Rural,70.8,1643,0.0,6.0,0.0,0.0,8.0,1.0,0.0,365.2,0.0,0.0,486.9,60.9
1995,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,3906,1.0,8.0,15.0,1.0,15.0,0.0,25.6,204.8,384.0,25.6,384.0,0.0
1995,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,860,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,116.3,348.8,0.0
1995,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2269,0.0,13.0,17.0,1.0,12.0,0.0,0.0,572.9,749.2,44.1,528.9,0.0
1995,35,69.0,Hardin,2,Southern,Completely Rural,100.0,458,0.0,2.0,0.0,2.0,5.0,0.0,0.0,436.7,0.0,436.7,1091.7,0.0
1995,36,71.0,Henderson,9,Central,Mostly Rural,99.7,852,0.0,0.0,8.0,1.0,8.0,0.0,0.0,0.0,939.0,117.4,939.0,0.0
1995,37,73.0,Henry,14,Central,Mostly Rural,50.3,5723,0.0,12.0,9.0,12.0,41.0,0.0,0.0,209.7,157.3,209.7,716.4,0.0
1995,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3429,0.0,0.0,34.0,15.0,88.0,7.0,0.0,0.0,991.5,437.4,2566.3,204.1
1995,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4619,5.0,20.0,39.0,9.0,44.0,20.0,108.2,433.0,844.3,194.8,952.6,433.0
1995,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1237,0.0,14.0,0.0,10.0,14.0,0.0,0.0,1131.8,0.0,808.4,1131.8,0.0
1995,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4078,27.0,0.0,0.0,2.0,32.0,5.0,662.1,0.0,0.0,49.0,784.7,122.6
1995,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2305,0.0,41.0,0.0,0.0,15.0,0.0,0.0,1778.7,0.0,0.0,650.8,0.0
1995,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2323,0.0,7.0,5.0,8.0,2.0,0.0,0.0,301.3,215.2,344.4,86.1,0.0
1995,44,87.0,Johnson,1,Southern,Completely Rural,100.0,985,0.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,1116.8,1928.9,0.0
1995,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,40215,0.0,96.0,13.0,33.0,268.0,0.0,0.0,238.7,32.3,82.1,666.4,0.0
1995,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11219,0.0,28.0,46.0,7.0,160.0,10.0,0.0,249.6,410.0,62.4,1426.2,89.1
1995,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5235,0.0,20.0,3.0,2.0,39.0,5.0,0.0,382.0,57.3,38.2,745.0,95.5
1995,48,95.0,Knox,9,Central,Mostly Urban,24.3,5326,0.0,4.0,16.0,6.0,68.0,0.0,0.0,75.1,300.4,112.7,1276.8,0.0
1995,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,61596,4.0,39.0,0.0,4.0,340.0,8.0,6.5,63.3,0.0,6.5,552.0,13.0
1995,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11419,0.0,120.0,16.0,24.0,102.0,0.0,0.0,1050.9,140.1,210.2,893.2,0.0
1995,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,1555,0.0,5.0,0.0,3.0,13.0,6.0,0.0,321.5,0.0,192.9,836.0,385.9
1995,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,3810,0.0,36.0,27.0,3.0,31.0,0.0,0.0,944.9,708.7,78.7,813.6,0.0
1995,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4172,0.0,6.0,64.0,134.0,90.0,1.0,0.0,143.8,1534.0,3211.9,2157.2,24.0
1995,54,107.0,Logan,11,Central,Mostly Urban,39.9,2918,0.0,23.0,1.0,6.0,41.0,0.0,0.0,788.2,34.3,205.6,1405.1,0.0
1995,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2561,0.0,15.0,22.0,1.0,11.0,0.0,0.0,585.7,859.0,39.0,429.5,0.0
1995,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,25892,0.0,87.0,138.0,23.0,103.0,0.0,0.0,336.0,533.0,88.8,397.8,0.0
1995,57,113.0,McLean,11,Central,Mostly Urban,16.5,12730,0.0,33.0,13.0,9.0,145.0,2.0,0.0,259.2,102.1,70.7,1139.0,15.7
1995,58,115.0,Macon,6,Central,Mostly Urban,15.3,12154,0.0,89.0,32.0,14.0,135.0,0.0,0.0,732.3,263.3,115.2,1110.7,0.0
1995,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5230,0.0,56.0,0.0,6.0,34.0,4.0,0.0,1070.7,0.0,114.7,650.1,76.5
1995,60,119.0,Madison,3,Southern,Mostly Urban,13.3,25996,0.0,195.0,115.0,43.0,153.0,0.0,0.0,750.1,442.4,165.4,588.6,0.0
1995,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4418,1.0,27.0,27.0,28.0,113.0,0.0,22.6,611.1,611.1,633.8,2557.7,0.0
1995,62,123.0,Marshall,10,Central,Completely Rural,100.0,1313,0.0,10.0,2.0,0.0,12.0,9.0,0.0,761.6,152.3,0.0,913.9,685.5
1995,63,125.0,Mason,8,Central,Mostly Rural,77.5,1750,0.0,4.0,3.0,15.0,29.0,4.0,0.0,228.6,171.4,857.1,1657.1,228.6
1995,64,127.0,Massac,1,Southern,Mostly Rural,50.5,1437,0.0,5.0,0.0,12.0,19.0,0.0,0.0,347.9,0.0,835.1,1322.2,0.0
1995,65,129.0,Menard,8,Central,Mostly Rural,75.7,1371,7.0,0.0,6.0,8.0,21.0,0.0,510.6,0.0,437.6,583.5,1531.7,0.0
1995,66,131.0,Mercer,14,Central,Mostly Rural,77.8,1883,2.0,13.0,6.0,2.0,7.0,0.0,106.2,690.4,318.6,106.2,371.7,0.0
1995,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,2687,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,148.9,446.6,0.0
1995,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,3103,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,64.5,902.4,0.0
1995,69,137.0,Morgan,7,Central,Mostly Urban,36.2,3637,3.0,14.0,68.0,0.0,19.0,0.0,82.5,384.9,1869.7,0.0,522.4,0.0
1995,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,1526,0.0,12.0,0.0,9.0,20.0,0.0,0.0,786.4,0.0,589.8,1310.6,0.0
1995,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,5605,0.0,52.0,2.0,11.0,54.0,0.0,0.0,927.7,35.7,196.3,963.4,0.0
1995,72,143.0,Peoria,10,Central,Mostly Urban,14.6,18559,38.0,137.0,87.0,28.0,325.0,0.0,204.8,738.2,468.8,150.9,1751.2,0.0
1995,73,145.0,Perry,20,Southern,Mostly Urban,43.6,2257,0.0,11.0,0.0,4.0,20.0,0.0,0.0,487.4,0.0,177.2,886.1,0.0
1995,74,147.0,Piatt,6,Central,Mostly Rural,67.7,1695,0.0,7.0,3.0,0.0,17.0,1.0,0.0,413.0,177.0,0.0,1002.9,59.0
1995,75,149.0,Pike,8,Central,Mostly Rural,72.3,1801,0.0,8.0,5.0,0.0,47.0,6.0,0.0,444.2,277.6,0.0,2609.7,333.1
1995,76,151.0,Pope,1,Southern,Completely Rural,100.0,431,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,928.1,0.0
1995,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,891,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,336.7,2469.1,0.0
1995,78,155.0,Putnam,10,Central,Completely Rural,100.0,618,0.0,4.0,8.0,11.0,10.0,5.0,0.0,647.2,1294.5,1779.9,1618.1,809.1
1995,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,3385,0.0,0.0,0.0,7.0,35.0,2.0,0.0,0.0,0.0,206.8,1034.0,59.1
1995,80,159.0,Richland,2,Southern,Mostly Urban,43.5,1714,0.0,0.0,3.0,1.0,15.0,31.0,0.0,0.0,175.0,58.3,875.1,1808.6
1995,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,14911,0.0,9.0,66.0,5.0,112.0,1.0,0.0,60.4,442.6,33.5,751.1,6.7
1995,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,29476,0.0,99.0,1.0,56.0,196.0,0.0,0.0,335.9,3.4,190.0,664.9,0.0
1995,83,165.0,Saline,1,Southern,Mostly Urban,43.7,2749,0.0,15.0,12.0,5.0,18.0,1.0,0.0,545.7,436.5,181.9,654.8,36.4
1995,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,18981,0.0,28.0,38.0,4.0,135.0,0.0,0.0,147.5,200.2,21.1,711.2,0.0
1995,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,767,0.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,260.8,521.5,912.6
1995,86,171.0,Scott,7,Central,Completely Rural,100.0,592,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,337.8,0.0
1995,87,173.0,Shelby,4,Central,Mostly Rural,77.7,2463,0.0,0.0,0.0,4.0,15.0,8.0,0.0,0.0,0.0,162.4,609.0,324.8
1995,88,175.0,Stark,10,Central,Completely Rural,100.0,685,0.0,22.0,4.0,31.0,3.0,2.0,0.0,3211.7,583.9,4525.5,438.0,292.0
1995,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,5097,1.0,52.0,0.0,61.0,67.0,0.0,19.6,1020.2,0.0,1196.8,1314.5,0.0
1995,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,13322,2.0,97.0,1.0,1.0,81.0,0.0,15.0,728.1,7.5,7.5,608.0,0.0
1995,91,181.0,Union,1,Southern,Mostly Rural,65.9,1796,0.0,3.0,0.0,21.0,7.0,0.0,0.0,167.0,0.0,1169.3,389.8,0.0
1995,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,8895,0.0,79.0,0.0,36.0,175.0,0.0,0.0,888.1,0.0,404.7,1967.4,0.0
1995,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,1391,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,503.2,790.8,0.0
1995,94,187.0,Warren,9,Central,Mostly Urban,45.5,1991,0.0,25.0,6.0,5.0,46.0,0.0,0.0,1255.7,301.4,251.1,2310.4,0.0
1995,95,189.0,Washington,20,Southern,Mostly Rural,73.6,1674,0.0,7.0,0.0,2.0,8.0,3.0,0.0,418.2,0.0,119.5,477.9,179.2
1995,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,1726,0.0,13.0,0.0,13.0,17.0,0.0,0.0,753.2,0.0,753.2,984.9,0.0
1995,97,193.0,White,2,Southern,Mostly Rural,62.0,1536,0.0,0.0,1.0,4.0,25.0,1.0,0.0,0.0,65.1,260.4,1627.6,65.1
1995,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,6510,0.0,5.0,2.0,27.0,126.0,0.0,0.0,76.8,30.7,414.7,1935.5,0.0
1995,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,47934,0.0,146.0,24.0,32.0,315.0,0.0,0.0,304.6,50.1,66.8,657.2,0.0
1995,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,5747,0.0,26.0,35.0,18.0,27.0,1.0,0.0,452.4,609.0,313.2,469.8,17.4
1995,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,27574,0.0,58.0,0.0,38.0,397.0,0.0,0.0,210.3,0.0,137.8,1439.8,0.0
1995,102,203.0,Woodford,11,Central,Mostly Rural,54.9,4023,0.0,4.0,5.0,25.0,50.0,1.0,0.0,99.4,124.3,621.4,1242.9,24.9
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,7129,0.0,21.0,40.0,7.0,79.0,2.0,0.0,294.6,561.1,98.2,1108.1,28.1
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1093,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,914.9,1006.4,0.0
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1611,0.0,0.0,8.0,2.0,14.0,10.0,0.0,0.0,496.6,124.1,869.0,620.7
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4428,0.0,12.0,4.0,2.0,132.0,0.0,0.0,271.0,90.3,45.2,2981.0,0.0
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,527,0.0,1.0,0.0,1.0,1.0,4.0,0.0,189.8,0.0,189.8,189.8,759.0
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3839,0.0,20.0,0.0,8.0,26.0,0.0,0.0,521.0,0.0,208.4,677.3,0.0
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,511,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,195.7,195.7,391.4
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1817,1.0,13.0,0.0,7.0,14.0,0.0,55.0,715.5,0.0,385.3,770.5,0.0
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,1408,0.0,0.0,0.0,2.0,24.0,12.0,0.0,0.0,0.0,142.0,1704.5,852.3
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14392,29.0,16.0,68.0,16.0,157.0,0.0,201.5,111.2,472.5,111.2,1090.9,0.0
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,3589,0.0,77.0,0.0,4.0,67.0,0.0,0.0,2145.4,0.0,111.5,1866.8,0.0
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1704,0.0,3.0,0.0,7.0,11.0,0.0,0.0,176.1,0.0,410.8,645.5,0.0
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1463,0.0,9.0,0.0,8.0,21.0,0.0,0.0,615.2,0.0,546.8,1435.4,0.0
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3773,0.0,23.0,0.0,83.0,23.0,0.0,0.0,609.6,0.0,2199.8,609.6,0.0
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,4360,0.0,51.0,0.0,21.0,65.0,0.0,0.0,1169.7,0.0,481.7,1490.8,0.0
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,513911,1484.0,18.0,0.0,61.0,5089.0,810.0,288.8,3.5,0.0,11.9,990.2,157.6
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2097,0.0,16.0,0.0,1.0,36.0,0.0,0.0,763.0,0.0,47.7,1716.7,0.0
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1256,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,238.9,557.3,0.0
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7453,0.0,74.0,0.0,39.0,67.0,0.0,0.0,992.9,0.0,523.3,899.0,0.0
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1698,0.0,0.0,0.0,1.0,34.0,21.0,0.0,0.0,0.0,58.9,2002.4,1236.7
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2278,0.0,8.0,0.0,5.0,13.0,0.0,0.0,351.2,0.0,219.5,570.7,0.0
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,88366,0.0,197.0,0.0,120.0,495.0,9.0,0.0,222.9,0.0,135.8,560.2,10.2
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2147,0.0,0.0,0.0,7.0,45.0,2.0,0.0,0.0,0.0,326.0,2095.9,93.2
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,712,0.0,2.0,0.0,9.0,5.0,9.0,0.0,280.9,0.0,1264.0,702.2,1264.0
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3917,0.0,39.0,0.0,13.0,79.0,3.0,0.0,995.7,0.0,331.9,2016.8,76.6
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2183,0.0,16.0,0.0,30.0,17.0,0.0,0.0,732.9,0.0,1374.3,778.7,0.0
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,1587,0.0,0.0,2.0,14.0,25.0,12.0,0.0,0.0,126.0,882.2,1575.3,756.1
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,4022,0.0,30.0,20.0,8.0,52.0,14.0,0.0,745.9,497.3,198.9,1292.9,348.1
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3808,0.0,26.0,25.0,4.0,23.0,0.0,0.0,682.8,656.5,105.0,604.0,0.0
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,621,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,322.1,0.0
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,1646,0.0,6.0,0.0,0.0,3.0,1.0,0.0,364.5,0.0,0.0,182.3,60.8
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,3992,0.0,26.0,6.0,6.0,25.0,0.0,0.0,651.3,150.3,150.3,626.3,0.0
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,862,0.0,2.0,1.0,0.0,5.0,0.0,0.0,232.0,116.0,0.0,580.0,0.0
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2263,0.0,11.0,22.0,1.0,6.0,0.0,0.0,486.1,972.2,44.2,265.1,0.0
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,446,0.0,3.0,0.0,0.0,5.0,0.0,0.0,672.6,0.0,0.0,1121.1,0.0
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,850,0.0,0.0,9.0,3.0,8.0,0.0,0.0,0.0,1058.8,352.9,941.2,0.0
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,5727,0.0,9.0,5.0,12.0,47.0,1.0,0.0,157.2,87.3,209.5,820.7,17.5
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3483,0.0,1.0,18.0,13.0,102.0,2.0,0.0,28.7,516.8,373.2,2928.5,57.4
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4683,11.0,44.0,16.0,10.0,47.0,0.0,234.9,939.6,341.7,213.5,1003.6,0.0
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1242,0.0,2.0,0.0,8.0,10.0,2.0,0.0,161.0,0.0,644.1,805.2,161.0
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4123,10.0,0.0,1.0,3.0,27.0,2.0,242.5,0.0,24.3,72.8,654.9,48.5
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2342,0.0,21.0,0.0,1.0,14.0,0.0,0.0,896.7,0.0,42.7,597.8,0.0
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2310,0.0,4.0,13.0,17.0,3.0,0.0,0.0,173.2,562.8,735.9,129.9,0.0
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,992,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1008.1,1008.1,0.0
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,41573,0.0,67.0,21.0,49.0,282.0,0.0,0.0,161.2,50.5,117.9,678.3,0.0
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11262,0.0,36.0,50.0,8.0,171.0,5.0,0.0,319.7,444.0,71.0,1518.4,44.4
1996,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5517,0.0,9.0,19.0,9.0,34.0,0.0,0.0,163.1,344.4,163.1,616.3,0.0
1996,48,95.0,Knox,9,Central,Mostly Urban,24.3,5298,1.0,2.0,21.0,13.0,65.0,0.0,18.9,37.8,396.4,245.4,1226.9,0.0
1996,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,64093,3.0,59.0,0.0,4.0,356.0,1.0,4.7,92.1,0.0,6.2,555.4,1.6
1996,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11562,1.0,126.0,25.0,24.0,105.0,0.0,8.6,1089.8,216.2,207.6,908.1,0.0
1996,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,1550,0.0,1.0,0.0,6.0,12.0,16.0,0.0,64.5,0.0,387.1,774.2,1032.3
1996,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,3843,10.0,30.0,9.0,2.0,36.0,0.0,260.2,780.6,234.2,52.0,936.8,0.0
1996,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4229,0.0,8.0,56.0,127.0,107.0,5.0,0.0,189.2,1324.2,3003.1,2530.1,118.2
1996,54,107.0,Logan,11,Central,Mostly Urban,39.9,2938,0.0,17.0,4.0,12.0,39.0,0.0,0.0,578.6,136.1,408.4,1327.4,0.0
1996,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2568,0.0,15.0,18.0,4.0,5.0,0.0,0.0,584.1,700.9,155.8,194.7,0.0
1996,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,27043,0.0,86.0,121.0,35.0,99.0,0.0,0.0,318.0,447.4,129.4,366.1,0.0
1996,57,113.0,McLean,11,Central,Mostly Urban,16.5,12937,0.0,15.0,15.0,10.0,147.0,3.0,0.0,115.9,115.9,77.3,1136.3,23.2
1996,58,115.0,Macon,6,Central,Mostly Urban,15.3,12035,0.0,92.0,17.0,6.0,186.0,0.0,0.0,764.4,141.3,49.9,1545.5,0.0
1996,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5288,0.0,69.0,0.0,15.0,48.0,1.0,0.0,1304.8,0.0,283.7,907.7,18.9
1996,60,119.0,Madison,3,Southern,Mostly Urban,13.3,26261,0.0,187.0,124.0,56.0,146.0,1.0,0.0,712.1,472.2,213.2,556.0,3.8
1996,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4458,1.0,39.0,10.0,40.0,119.0,2.0,22.4,874.8,224.3,897.3,2669.4,44.9
1996,62,123.0,Marshall,10,Central,Completely Rural,100.0,1309,0.0,3.0,2.0,0.0,10.0,15.0,0.0,229.2,152.8,0.0,763.9,1145.9
1996,63,125.0,Mason,8,Central,Mostly Rural,77.5,1738,0.0,2.0,13.0,9.0,29.0,10.0,0.0,115.1,748.0,517.8,1668.6,575.4
