year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,admin,dui,felony,misdemeanor,total,traffic,admin_rate,dui_rate,felony_rate,misdemeanor_rate,total_rate,traffic_rate
1986,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,,,,36.0,,57.0,,,,,,,
1986,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,,,,109.0,,199.0,,,,,,,
1986,53,105.0,Livingston,11,Central,Mostly Urban,40.8,,,,70.0,,112.0,,,,,,,
1986,54,107.0,Logan,11,Central,Mostly Urban,39.9,,,,43.0,,220.0,,,,,,,
1986,55,109.0,McDonough,9,Central,Mostly Urban,29.5,,,,92.0,,121.0,,,,,,,
1986,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,,,259.0,,595.0,,,,,,,
1986,57,113.0,McLean,11,Central,Mostly Urban,16.5,,,,256.0,,392.0,,,,,,,
1986,58,115.0,Macon,6,Central,Mostly Urban,15.3,,,,211.0,,415.0,,,,,,,
1986,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,,,86.0,,493.0,,,,,,,
1986,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,,,477.0,,715.0,,,,,,,
1986,61,121.0,Marion,4,Southern,Mostly Urban,45.1,,,,172.0,,593.0,,,,,,,
1986,62,123.0,Marshall,10,Central,Completely Rural,100.0,,,,52.0,,194.0,,,,,,,
1986,63,125.0,Mason,8,Central,Mostly Rural,77.5,,,,35.0,,67.0,,,,,,,
1986,64,127.0,Massac,1,Southern,Mostly Rural,50.5,,,,49.0,,114.0,,,,,,,
1986,65,129.0,Menard,8,Central,Mostly Rural,75.7,,,,20.0,,59.0,,,,,,,
1986,66,131.0,Mercer,14,Central,Mostly Rural,77.8,,,,14.0,,42.0,,,,,,,
1986,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,,,28.0,,42.0,,,,,,,
1986,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,,,,62.0,,111.0,,,,,,,
1986,69,137.0,Morgan,7,Central,Mostly Urban,36.2,,,,60.0,,274.0,,,,,,,
1986,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,,,,35.0,,74.0,,,,,,,
1986,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,,,76.0,,182.0,,,,,,,
1986,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,,,562.0,,1496.0,,,,,,,
1986,73,145.0,Perry,20,Southern,Mostly Urban,43.6,,,,44.0,,53.0,,,,,,,
1986,74,147.0,Piatt,6,Central,Mostly Rural,67.7,,,,38.0,,105.0,,,,,,,
1986,75,149.0,Pike,8,Central,Mostly Rural,72.3,,,,30.0,,69.0,,,,,,,
1986,76,151.0,Pope,1,Southern,Completely Rural,100.0,,,,15.0,,28.0,,,,,,,
1986,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,,,,35.0,,53.0,,,,,,,
1986,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,,,,50.0,,88.0,,,,,,,
1986,80,159.0,Richland,2,Southern,Mostly Urban,43.5,,,,45.0,,90.0,,,,,,,
1986,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,,,,440.0,,774.0,,,,,,,
1986,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,,,694.0,,805.0,,,,,,,
1986,83,165.0,Saline,1,Southern,Mostly Urban,43.7,,,,122.0,,235.0,,,,,,,
1986,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,,,372.0,,618.0,,,,,,,
1986,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,,,,5.0,,44.0,,,,,,,
1986,86,171.0,Scott,7,Central,Completely Rural,100.0,,,,0.0,,0.0,,,,,,,
1986,87,173.0,Shelby,4,Central,Mostly Rural,77.7,,,,35.0,,62.0,,,,,,,
1986,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,,,,132.0,,317.0,,,,,,,
1986,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,,,214.0,,442.0,,,,,,,
1986,91,181.0,Union,1,Southern,Mostly Rural,65.9,,,,44.0,,128.0,,,,,,,
1986,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,,,,235.0,,563.0,,,,,,,
1986,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,,,,27.0,,64.0,,,,,,,
1986,94,187.0,Warren,9,Central,Mostly Urban,45.5,,,,41.0,,52.0,,,,,,,
1986,95,189.0,Washington,20,Southern,Mostly Rural,73.6,,,,11.0,,21.0,,,,,,,
1986,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,,,43.0,,89.0,,,,,,,
1986,97,193.0,White,2,Southern,Mostly Rural,62.0,,,,64.0,,109.0,,,,,,,
1986,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,,,,171.0,,326.0,,,,,,,
1986,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,,,,564.0,,629.0,,,,,,,
1986,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,,,,207.0,,656.0,,,,,,,
1986,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,,,512.0,,2016.0,,,,,,,
1986,102,203.0,Woodford,11,Central,Mostly Rural,54.9,,,,54.0,,176.0,,,,,,,
1987,1,1.0,Adams,8,Central,Mostly Urban,32.6,,,,177.0,,309.0,,,,,,,
1987,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,,,110.0,,222.0,,,,,,,
1987,3,5.0,Bond,3,Southern,Mostly Rural,60.7,,,,32.0,,64.0,,,,,,,
1987,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,,,77.0,,136.0,,,,,,,
1987,6,11.0,Bureau,13,Central,Mostly Rural,57.4,,,,47.0,,96.0,,,,,,,
1987,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,,,,17.0,,49.0,,,,,,,
1987,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,,,24.0,,57.0,,,,,,,
1987,9,17.0,Cass,8,Central,Mostly Rural,52.1,,,,25.0,,157.0,,,,,,,
1987,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,,,383.0,,565.0,,,,,,,
1987,11,21.0,Christian,4,Central,Mostly Urban,43.5,,,,133.0,,348.0,,,,,,,
1987,12,23.0,Clark,5,Southern,Mostly Rural,59.5,,,,42.0,,48.0,,,,,,,
1987,13,25.0,Clay,4,Southern,Mostly Rural,64.7,,,,49.0,,109.0,,,,,,,
1987,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,,,,55.0,,156.0,,,,,,,
1987,15,29.0,Coles,5,Central,Mostly Urban,24.3,,,,154.0,,239.0,,,,,,,
1987,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,,,,16826.0,,32392.0,,,,,,,
1987,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,,,,53.0,,132.0,,,,,,,
1987,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,,,,91.0,,250.0,,,,,,,
1987,20,39.0,De Witt,6,Central,Mostly Urban,48.8,,,,23.0,,154.0,,,,,,,
1987,21,41.0,Douglas,6,Central,Mostly Rural,61.6,,,,35.0,,136.0,,,,,,,
1987,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,,,,1490.0,,2762.0,,,,,,,
1987,23,45.0,Edgar,5,Central,Mostly Rural,51.8,,,,39.0,,63.0,,,,,,,
1987,24,47.0,Edwards,2,Southern,Completely Rural,100.0,,,,9.0,,49.0,,,,,,,
1987,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,,,,45.0,,149.0,,,,,,,
1987,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,,,,56.0,,112.0,,,,,,,
1987,27,53.0,Ford,11,Central,Mostly Urban,41.8,,,,55.0,,137.0,,,,,,,
1987,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,,,,130.0,,353.0,,,,,,,
1987,29,57.0,Fulton,9,Central,Mostly Rural,60.0,,,,120.0,,200.0,,,,,,,
1987,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,,,,33.0,,60.0,,,,,,,
1987,31,61.0,Greene,7,Central,Mostly Rural,70.8,,,,20.0,,101.0,,,,,,,
1987,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,,,,31.0,,50.0,,,,,,,
1987,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,,,,15.0,,35.0,,,,,,,
1987,34,67.0,Hancock,9,Central,Mostly Rural,71.0,,,,44.0,,53.0,,,,,,,
1987,35,69.0,Hardin,2,Southern,Completely Rural,100.0,,,,9.0,,33.0,,,,,,,
1987,36,71.0,Henderson,9,Central,Mostly Rural,99.7,,,,11.0,,15.0,,,,,,,
1987,37,73.0,Henry,14,Central,Mostly Rural,50.3,,,,89.0,,219.0,,,,,,,
1987,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,,,,251.0,,911.0,,,,,,,
1987,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,,,,19.0,,79.0,,,,,,,
1987,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,,,,158.0,,287.0,,,,,,,
1987,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,,,,42.0,,86.0,,,,,,,
1987,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,,,,18.0,,120.0,,,,,,,
1987,44,87.0,Johnson,1,Southern,Completely Rural,100.0,,,,20.0,,51.0,,,,,,,
1987,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,,,,515.0,,1006.0,,,,,,,
1987,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,,,315.0,,334.0,,,,,,,
1987,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,,,,50.0,,112.0,,,,,,,
1987,48,95.0,Knox,9,Central,Mostly Urban,24.3,,,,145.0,,184.0,,,,,,,
1987,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,,,1104.0,,1460.0,,,,,,,
1987,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,,,182.0,,431.0,,,,,,,
1987,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,,,,43.0,,63.0,,,,,,,
1987,53,105.0,Livingston,11,Central,Mostly Urban,40.8,,,,80.0,,144.0,,,,,,,
1987,54,107.0,Logan,11,Central,Mostly Urban,39.9,,,,54.0,,224.0,,,,,,,
1987,55,109.0,McDonough,9,Central,Mostly Urban,29.5,,,,84.0,,126.0,,,,,,,
1987,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,,,359.0,,622.0,,,,,,,
1987,57,113.0,McLean,11,Central,Mostly Urban,16.5,,,,316.0,,477.0,,,,,,,
1987,58,115.0,Macon,6,Central,Mostly Urban,15.3,,,,241.0,,340.0,,,,,,,
1987,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,,,80.0,,303.0,,,,,,,
1987,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,,,468.0,,786.0,,,,,,,
1987,61,121.0,Marion,4,Southern,Mostly Urban,45.1,,,,193.0,,527.0,,,,,,,
1987,62,123.0,Marshall,10,Central,Completely Rural,100.0,,,,95.0,,499.0,,,,,,,
1987,63,125.0,Mason,8,Central,Mostly Rural,77.5,,,,33.0,,74.0,,,,,,,
1987,64,127.0,Massac,1,Southern,Mostly Rural,50.5,,,,64.0,,130.0,,,,,,,
1987,65,129.0,Menard,8,Central,Mostly Rural,75.7,,,,0.0,,0.0,,,,,,,
1987,66,131.0,Mercer,14,Central,Mostly Rural,77.8,,,,18.0,,37.0,,,,,,,
1987,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,,,24.0,,40.0,,,,,,,
1987,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,,,,69.0,,135.0,,,,,,,
1987,69,137.0,Morgan,7,Central,Mostly Urban,36.2,,,,62.0,,237.0,,,,,,,
1987,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,,,,36.0,,117.0,,,,,,,
1987,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,,,81.0,,174.0,,,,,,,
1987,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,,,550.0,,1233.0,,,,,,,
1987,73,145.0,Perry,20,Southern,Mostly Urban,43.6,,,,41.0,,57.0,,,,,,,
1987,74,147.0,Piatt,6,Central,Mostly Rural,67.7,,,,48.0,,117.0,,,,,,,
1987,75,149.0,Pike,8,Central,Mostly Rural,72.3,,,,25.0,,49.0,,,,,,,
1987,76,151.0,Pope,1,Southern,Completely Rural,100.0,,,,16.0,,35.0,,,,,,,
1987,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,,,,43.0,,49.0,,,,,,,
1987,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,,,,41.0,,67.0,,,,,,,
1987,80,159.0,Richland,2,Southern,Mostly Urban,43.5,,,,24.0,,50.0,,,,,,,
1987,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,,,,445.0,,792.0,,,,,,,
1987,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,,,709.0,,975.0,,,,,,,
1987,83,165.0,Saline,1,Southern,Mostly Urban,43.7,,,,99.0,,212.0,,,,,,,
1987,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,,,379.0,,748.0,,,,,,,
1987,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,,,,13.0,,76.0,,,,,,,
1987,86,171.0,Scott,7,Central,Completely Rural,100.0,,,,3.0,,12.0,,,,,,,
1987,87,173.0,Shelby,4,Central,Mostly Rural,77.7,,,,39.0,,83.0,,,,,,,
1987,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,,,,145.0,,334.0,,,,,,,
1987,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,,,300.0,,425.0,,,,,,,
1987,91,181.0,Union,1,Southern,Mostly Rural,65.9,,,,26.0,,62.0,,,,,,,
1987,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,,,,257.0,,591.0,,,,,,,
1987,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,,,,38.0,,92.0,,,,,,,
1987,94,187.0,Warren,9,Central,Mostly Urban,45.5,,,,40.0,,60.0,,,,,,,
1987,95,189.0,Washington,20,Southern,Mostly Rural,73.6,,,,15.0,,26.0,,,,,,,
1987,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,,,36.0,,108.0,,,,,,,
1987,97,193.0,White,2,Southern,Mostly Rural,62.0,,,,69.0,,105.0,,,,,,,
1987,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,,,,239.0,,397.0,,,,,,,
1987,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,,,,607.0,,676.0,,,,,,,
1987,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,,,,172.0,,603.0,,,,,,,
1987,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,,,587.0,,2474.0,,,,,,,
1987,102,203.0,Woodford,11,Central,Mostly Rural,54.9,,,,61.0,,162.0,,,,,,,
1988,1,1.0,Adams,8,Central,Mostly Urban,32.6,,,,210.0,,308.0,,,,,,,
1988,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,,,115.0,,210.0,,,,,,,
1988,3,5.0,Bond,3,Southern,Mostly Rural,60.7,,,,32.0,,68.0,,,,,,,
1988,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,,,90.0,,314.0,,,,,,,
1988,5,9.0,Brown,8,Central,Mostly Urban,41.1,,,,6.0,,27.0,,,,,,,
1988,6,11.0,Bureau,13,Central,Mostly Rural,57.4,,,,35.0,,81.0,,,,,,,
1988,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,,,,15.0,,64.0,,,,,,,
1988,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,,,35.0,,57.0,,,,,,,
1988,9,17.0,Cass,8,Central,Mostly Rural,52.1,,,,24.0,,187.0,,,,,,,
1988,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,,,417.0,,639.0,,,,,,,
1988,11,21.0,Christian,4,Central,Mostly Urban,43.5,,,,147.0,,411.0,,,,,,,
1988,12,23.0,Clark,5,Southern,Mostly Rural,59.5,,,,25.0,,37.0,,,,,,,
1988,13,25.0,Clay,4,Southern,Mostly Rural,64.7,,,,40.0,,101.0,,,,,,,
1988,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,,,,67.0,,157.0,,,,,,,
1988,15,29.0,Coles,5,Central,Mostly Urban,24.3,,,,191.0,,272.0,,,,,,,
1988,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,,,,16723.0,,31049.0,,,,,,,
1988,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,,,,56.0,,183.0,,,,,,,
1988,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,,,,0.0,,,,,,,,,
1988,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,,,,98.0,,200.0,,,,,,,
1988,20,39.0,De Witt,6,Central,Mostly Urban,48.8,,,,49.0,,185.0,,,,,,,
1988,21,41.0,Douglas,6,Central,Mostly Rural,61.6,,,,30.0,,92.0,,,,,,,
1988,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,,,,1409.0,,2915.0,,,,,,,
1988,23,45.0,Edgar,5,Central,Mostly Rural,51.8,,,,54.0,,90.0,,,,,,,
1988,24,47.0,Edwards,2,Southern,Completely Rural,100.0,,,,14.0,,38.0,,,,,,,
1988,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,,,,61.0,,187.0,,,,,,,
1988,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,,,,74.0,,125.0,,,,,,,
1988,27,53.0,Ford,11,Central,Mostly Urban,41.8,,,,41.0,,113.0,,,,,,,
1988,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,,,,152.0,,356.0,,,,,,,
1988,29,57.0,Fulton,9,Central,Mostly Rural,60.0,,,,136.0,,217.0,,,,,,,
1988,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,,,,40.0,,63.0,,,,,,,
1988,31,61.0,Greene,7,Central,Mostly Rural,70.8,,,,23.0,,46.0,,,,,,,
1988,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,,,,23.0,,41.0,,,,,,,
1988,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,,,,12.0,,37.0,,,,,,,
1988,34,67.0,Hancock,9,Central,Mostly Rural,71.0,,,,32.0,,36.0,,,,,,,
1988,35,69.0,Hardin,2,Southern,Completely Rural,100.0,,,,8.0,,45.0,,,,,,,
1988,36,71.0,Henderson,9,Central,Mostly Rural,99.7,,,,13.0,,20.0,,,,,,,
1988,37,73.0,Henry,14,Central,Mostly Rural,50.3,,,,87.0,,150.0,,,,,,,
1988,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,,,,112.0,,133.0,,,,,,,
1988,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,,,,258.0,,636.0,,,,,,,
1988,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,,,,25.0,,66.0,,,,,,,
1988,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,,,,177.0,,312.0,,,,,,,
1988,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,,,,53.0,,93.0,,,,,,,
1988,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,,,,17.0,,169.0,,,,,,,
1988,44,87.0,Johnson,1,Southern,Completely Rural,100.0,,,,26.0,,56.0,,,,,,,
1988,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,,,,637.0,,1216.0,,,,,,,
1988,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,,,202.0,,216.0,,,,,,,
1988,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,,,,53.0,,132.0,,,,,,,
1988,48,95.0,Knox,9,Central,Mostly Urban,24.3,,,,170.0,,207.0,,,,,,,
1988,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,,,1166.0,,1860.0,,,,,,,
1988,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,,,202.0,,370.0,,,,,,,
1988,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,,,,40.0,,79.0,,,,,,,
1988,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,,,,161.0,,333.0,,,,,,,
1988,53,105.0,Livingston,11,Central,Mostly Urban,40.8,,,,76.0,,125.0,,,,,,,
1988,54,107.0,Logan,11,Central,Mostly Urban,39.9,,,,60.0,,245.0,,,,,,,
1988,55,109.0,McDonough,9,Central,Mostly Urban,29.5,,,,81.0,,115.0,,,,,,,
1988,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,,,339.0,,622.0,,,,,,,
1988,57,113.0,McLean,11,Central,Mostly Urban,16.5,,,,351.0,,476.0,,,,,,,
1988,58,115.0,Macon,6,Central,Mostly Urban,15.3,,,,306.0,,412.0,,,,,,,
1988,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,,,78.0,,482.0,,,,,,,
1988,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,,,435.0,,689.0,,,,,,,
1988,61,121.0,Marion,4,Southern,Mostly Urban,45.1,,,,192.0,,517.0,,,,,,,
1988,62,123.0,Marshall,10,Central,Completely Rural,100.0,,,,0.0,,,,,,,,,
1988,63,125.0,Mason,8,Central,Mostly Rural,77.5,,,,38.0,,65.0,,,,,,,
1988,64,127.0,Massac,1,Southern,Mostly Rural,50.5,,,,68.0,,152.0,,,,,,,
1988,65,129.0,Menard,8,Central,Mostly Rural,75.7,,,,15.0,,54.0,,,,,,,
1988,66,131.0,Mercer,14,Central,Mostly Rural,77.8,,,,28.0,,59.0,,,,,,,
1988,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,,,27.0,,33.0,,,,,,,
1988,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,,,,96.0,,166.0,,,,,,,
1988,69,137.0,Morgan,7,Central,Mostly Urban,36.2,,,,78.0,,223.0,,,,,,,
1988,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,,,,29.0,,121.0,,,,,,,
1988,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,,,91.0,,216.0,,,,,,,
1988,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,,,547.0,,1192.0,,,,,,,
1988,73,145.0,Perry,20,Southern,Mostly Urban,43.6,,,,68.0,,90.0,,,,,,,
1988,74,147.0,Piatt,6,Central,Mostly Rural,67.7,,,,60.0,,200.0,,,,,,,
1988,75,149.0,Pike,8,Central,Mostly Rural,72.3,,,,42.0,,67.0,,,,,,,
1988,76,151.0,Pope,1,Southern,Completely Rural,100.0,,,,17.0,,37.0,,,,,,,
1988,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,,,,61.0,,73.0,,,,,,,
