year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,total,total_rate
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,20303,33.0,162.5
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7177,1.0,13.9
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,33498,162.0,483.6
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21408,71.0,331.7
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,14239,23.0,161.5
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,40095,94.0,234.4
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,38840,114.0,293.5
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6654,5.0,75.1
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,15075,0.0,0.0
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,35651,85.0,238.4
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8633,0.0,0.0
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,20844,10.0,48.0
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4978,1.0,20.1
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8260,1.0,12.1
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,51075,119.0,233.0
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,31649,39.0,123.2
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,60875,385.0,632.4
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,10465,17.0,162.4
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,39557,168.0,424.7
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21288,46.0,216.1
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22252,67.0,301.1
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,12594,3.0,23.8
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,366912,1359.0,370.4
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,102296,534.0,522.0
1996,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,47218,135.0,285.9
1996,48,95.0,Knox,9,Central,Mostly Urban,24.3,56114,222.0,395.6
1996,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,596182,1980.0,332.1
1996,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110660,502.0,453.6
1996,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,16025,43.0,268.3
1996,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36029,109.0,302.5
1996,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39601,170.0,429.3
1996,54,107.0,Logan,11,Central,Mostly Urban,39.9,31014,224.0,722.3
1996,55,109.0,McDonough,9,Central,Mostly Urban,29.5,33508,8.0,23.9
1996,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,235954,644.0,272.9
1996,57,113.0,McLean,11,Central,Mostly Urban,16.5,142363,305.0,214.2
1996,58,115.0,Macon,6,Central,Mostly Urban,15.3,116573,3165.0,2715.0
1996,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48930,90.0,183.9
1996,60,119.0,Madison,3,Southern,Mostly Urban,13.3,257218,2278.0,885.6
1996,61,121.0,Marion,4,Southern,Mostly Urban,45.1,42123,198.0,470.1
1996,62,123.0,Marshall,10,Central,Completely Rural,100.0,12949,19.0,146.7
1996,63,125.0,Mason,8,Central,Mostly Rural,77.5,16262,78.0,479.6
1996,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15208,74.0,486.6
1996,65,129.0,Menard,8,Central,Mostly Rural,75.7,12154,32.0,263.3
1996,66,131.0,Mercer,14,Central,Mostly Rural,77.8,17026,87.0,511.0
1996,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,25408,53.0,208.6
1996,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,30690,63.0,205.3
1996,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37104,203.0,547.1
1996,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14128,24.0,169.9
1996,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,49810,234.0,469.8
1996,72,143.0,Peoria,10,Central,Mostly Urban,14.6,184720,3103.0,1679.8
1996,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21457,36.0,167.8
1996,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16144,42.0,260.2
1996,75,149.0,Pike,8,Central,Mostly Rural,72.3,17253,0.0,0.0
1996,76,151.0,Pope,1,Southern,Completely Rural,100.0,4407,10.0,226.9
1996,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7421,15.0,202.1
1996,78,155.0,Putnam,10,Central,Completely Rural,100.0,5871,4.0,68.1
1996,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,34032,37.0,108.7
1996,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16420,298.0,1814.9
1996,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,149856,1425.0,950.9
1996,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,261907,796.0,303.9
1996,83,165.0,Saline,1,Southern,Mostly Urban,43.7,27076,211.0,779.3
1996,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,189969,2652.0,1396.0
1996,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7490,7.0,93.5
1996,86,171.0,Scott,7,Central,Completely Rural,100.0,5539,16.0,288.9
1996,87,173.0,Shelby,4,Central,Mostly Rural,77.7,22948,34.0,148.2
1996,88,175.0,Stark,10,Central,Completely Rural,100.0,6444,16.0,248.3
1996,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49233,860.0,1746.8
1996,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,127753,518.0,405.5
1996,91,181.0,Union,1,Southern,Mostly Rural,65.9,18281,29.0,158.6
1996,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,85298,578.0,677.6
1996,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,12971,21.0,161.9
1996,94,187.0,Warren,9,Central,Mostly Urban,45.5,18905,116.0,613.6
1996,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15155,17.0,112.2
1996,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17141,17.0,99.2
1996,97,193.0,White,2,Southern,Mostly Rural,62.0,15674,48.0,306.2
1996,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60957,258.0,423.2
1996,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,434620,1561.0,359.2
1996,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,60628,305.0,503.1
1996,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,271688,167.0,61.5
1996,102,203.0,Woodford,11,Central,Mostly Rural,54.9,34656,59.0,170.2
1997,1,1.0,Adams,8,Central,Mostly Urban,32.6,68715,962.0,1400.0
1997,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9659,74.0,766.1
1997,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17378,2.0,11.5
1997,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,38853,275.0,707.8
1997,5,9.0,Brown,8,Central,Mostly Urban,41.1,6815,0.0,0.0
1997,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35884,141.0,392.9
1997,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5155,0.0,0.0
1997,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16946,119.0,702.2
1997,9,17.0,Cass,8,Central,Mostly Rural,52.1,13652,24.0,175.8
1997,10,19.0,Champaign,6,Central,Mostly Urban,12.7,176626,3410.0,1930.6
1997,11,21.0,Christian,4,Central,Mostly Urban,43.5,35600,115.0,323.0
1997,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16768,43.0,256.4
1997,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14607,31.0,212.2
1997,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35264,142.0,402.7
1997,15,29.0,Coles,5,Central,Mostly Urban,24.3,53371,247.0,462.8
1997,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5322117,82813.0,1556.0
1997,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20782,80.0,384.9
1997,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11186,8.0,71.5
1997,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,85078,321.0,377.3
1997,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16757,43.0,256.6
1997,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19909,62.0,311.4
1997,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,874404,3363.0,384.6
1997,23,45.0,Edgar,5,Central,Mostly Rural,51.8,20090,129.0,642.1
1997,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7076,3.0,42.4
1997,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,33704,183.0,543.0
1997,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21929,119.0,542.7
1997,27,53.0,Ford,11,Central,Mostly Urban,41.8,14274,43.0,301.2
1997,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,39624,156.0,393.7
1997,29,57.0,Fulton,9,Central,Mostly Rural,60.0,38616,186.0,481.7
1997,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6544,5.0,76.4
1997,31,61.0,Greene,7,Central,Mostly Rural,70.8,15066,0.0,0.0
1997,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,36263,185.0,510.2
1997,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8674,0.0,0.0
1997,34,67.0,Hancock,9,Central,Mostly Rural,71.0,20594,16.0,77.7
1997,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4914,0.0,0.0
1997,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8353,4.0,47.9
1997,37,73.0,Henry,14,Central,Mostly Rural,50.3,50830,129.0,253.8
1997,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,31603,37.0,117.1
1997,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,60607,171.0,282.1
1997,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,10412,30.0,288.1
1997,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,39654,515.0,1298.7
1997,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21448,139.0,648.1
1997,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22249,49.0,220.2
1997,44,87.0,Johnson,1,Southern,Completely Rural,100.0,12637,0.0,0.0
1997,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,376725,1629.0,432.4
1997,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,102951,648.0,629.4
1997,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,49153,193.0,392.7
1997,48,95.0,Knox,9,Central,Mostly Urban,24.3,56081,214.0,381.6
1997,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,609714,3042.0,498.9
1997,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110956,756.0,681.4
1997,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,15831,27.0,170.6
1997,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36222,133.0,367.2
1997,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39774,233.0,585.8
1997,54,107.0,Logan,11,Central,Mostly Urban,39.9,31043,374.0,1204.8
1997,55,109.0,McDonough,9,Central,Mostly Urban,29.5,33382,32.0,95.9
1997,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,242449,716.0,295.3
1997,57,113.0,McLean,11,Central,Mostly Urban,16.5,144342,311.0,215.5
1997,58,115.0,Macon,6,Central,Mostly Urban,15.3,115706,3802.0,3285.9
1997,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48866,153.0,313.1
1997,60,119.0,Madison,3,Southern,Mostly Urban,13.3,258533,3408.0,1318.2
1997,61,121.0,Marion,4,Southern,Mostly Urban,45.1,42062,291.0,691.8
1997,62,123.0,Marshall,10,Central,Completely Rural,100.0,13033,27.0,207.2
1997,63,125.0,Mason,8,Central,Mostly Rural,77.5,16297,93.0,570.7
1997,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15364,85.0,553.2
1997,65,129.0,Menard,8,Central,Mostly Rural,75.7,12246,43.0,351.1
1997,66,131.0,Mercer,14,Central,Mostly Rural,77.8,17011,55.0,323.3
1997,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,25889,42.0,162.2
1997,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31072,74.0,238.2
1997,69,137.0,Morgan,7,Central,Mostly Urban,36.2,36793,293.0,796.3
1997,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14221,69.0,485.2
1997,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,50074,265.0,529.2
1997,72,143.0,Peoria,10,Central,Mostly Urban,14.6,184384,3686.0,1999.1
1997,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21374,41.0,191.8
1997,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16311,51.0,312.7
1997,75,149.0,Pike,8,Central,Mostly Rural,72.3,17594,0.0,0.0
1997,76,151.0,Pope,1,Southern,Completely Rural,100.0,4391,8.0,182.2
1997,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7334,8.0,109.1
1997,78,155.0,Putnam,10,Central,Completely Rural,100.0,5965,7.0,117.4
1997,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33795,61.0,180.5
1997,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16513,273.0,1653.2
1997,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,149937,1778.0,1185.8
1997,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,260631,1169.0,448.5
1997,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26897,272.0,1011.3
1997,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,189638,2908.0,1533.4
1997,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7442,1.0,13.4
1997,86,171.0,Scott,7,Central,Completely Rural,100.0,5543,0.0,0.0
1997,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23022,74.0,321.4
1997,88,175.0,Stark,10,Central,Completely Rural,100.0,6405,36.0,562.1
1997,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49308,1056.0,2141.6
1997,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128021,997.0,778.8
1997,91,181.0,Union,1,Southern,Mostly Rural,65.9,18307,38.0,207.6
1997,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,85274,659.0,772.8
1997,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13030,91.0,698.4
1997,94,187.0,Warren,9,Central,Mostly Urban,45.5,18971,153.0,806.5
1997,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15283,21.0,137.4
1997,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17152,77.0,448.9
1997,97,193.0,White,2,Southern,Mostly Rural,62.0,15580,41.0,263.2
1997,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60859,337.0,553.7
1997,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,450816,2170.0,481.3
1997,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,61194,495.0,808.9
1997,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,273489,437.0,159.8
1997,102,203.0,Woodford,11,Central,Mostly Rural,54.9,34781,80.0,230.0
1998,1,1.0,Adams,8,Central,Mostly Urban,32.6,68681,997.0,1451.6
1998,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9632,51.0,529.5
1998,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17588,2.0,11.4
1998,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,39864,269.0,674.8
1998,5,9.0,Brown,8,Central,Mostly Urban,41.1,6922,0.0,0.0
1998,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35621,105.0,294.8
1998,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5092,0.0,0.0
1998,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16959,111.0,654.5
1998,9,17.0,Cass,8,Central,Mostly Rural,52.1,13735,16.0,116.5
1998,10,19.0,Champaign,6,Central,Mostly Urban,12.7,177004,3244.0,1832.7
1998,11,21.0,Christian,4,Central,Mostly Urban,43.5,35523,130.0,366.0
1998,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16949,32.0,188.8
1998,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14723,37.0,251.3
1998,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35589,118.0,331.6
1998,15,29.0,Coles,5,Central,Mostly Urban,24.3,53455,271.0,507.0
1998,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5345537,88235.0,1650.6
1998,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20717,99.0,477.9
1998,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11170,16.0,143.2
1998,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,86402,543.0,628.5
1998,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16781,0.0,0.0
1998,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19918,70.0,351.4
1998,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,886168,3018.0,340.6
1998,23,45.0,Edgar,5,Central,Mostly Rural,51.8,20020,122.0,609.4
1998,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7020,0.0,0.0
1998,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,33910,221.0,651.7
1998,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21894,153.0,698.8
1998,27,53.0,Ford,11,Central,Mostly Urban,41.8,14223,36.0,253.1
1998,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,39334,89.0,226.3
1998,29,57.0,Fulton,9,Central,Mostly Rural,60.0,38454,109.0,283.5
1998,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6512,3.0,46.1
1998,31,61.0,Greene,7,Central,Mostly Rural,70.8,14982,29.0,193.6
1998,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,36732,197.0,536.3
1998,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8695,0.0,0.0
1998,34,67.0,Hancock,9,Central,Mostly Rural,71.0,20523,24.0,116.9
1998,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4863,0.0,0.0
1998,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8292,17.0,205.0
1998,37,73.0,Henry,14,Central,Mostly Rural,50.3,50789,133.0,261.9
1998,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,31494,26.0,82.6
1998,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,60304,180.0,298.5
1998,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,10387,26.0,250.3
1998,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,39695,548.0,1380.5
1998,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21662,39.0,180.0
1998,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22132,52.0,235.0
1998,44,87.0,Johnson,1,Southern,Completely Rural,100.0,12931,0.0,0.0
1998,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,386103,1534.0,397.3
1998,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,103222,888.0,860.3
1998,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,51025,212.0,415.5
1998,48,95.0,Knox,9,Central,Mostly Urban,24.3,56114,244.0,434.8
1998,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,621618,3027.0,487.0
1998,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,111422,724.0,649.8
1998,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,15683,68.0,433.6
1998,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36214,111.0,306.5
1998,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39610,266.0,671.5
1998,54,107.0,Logan,11,Central,Mostly Urban,39.9,31465,377.0,1198.2
1998,55,109.0,McDonough,9,Central,Mostly Urban,29.5,33341,24.0,72.0
1998,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,248529,576.0,231.8
1998,57,113.0,McLean,11,Central,Mostly Urban,16.5,146526,532.0,363.1
1998,58,115.0,Macon,6,Central,Mostly Urban,15.3,115453,3318.0,2873.9
1998,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48732,231.0,474.0
1998,60,119.0,Madison,3,Southern,Mostly Urban,13.3,258700,3293.0,1272.9
1998,61,121.0,Marion,4,Southern,Mostly Urban,45.1,41896,156.0,372.4
1998,62,123.0,Marshall,10,Central,Completely Rural,100.0,13105,63.0,480.7
1998,63,125.0,Mason,8,Central,Mostly Rural,77.5,16194,74.0,457.0
1998,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15378,125.0,812.8
1998,65,129.0,Menard,8,Central,Mostly Rural,75.7,12281,37.0,301.3
1998,66,131.0,Mercer,14,Central,Mostly Rural,77.8,16979,31.0,182.6
1998,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,26664,62.0,232.5
1998,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31053,42.0,135.3
1998,69,137.0,Morgan,7,Central,Mostly Urban,36.2,36617,218.0,595.4
1998,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14179,32.0,225.7
1998,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,50368,298.0,591.6
1998,72,143.0,Peoria,10,Central,Mostly Urban,14.6,184006,3585.0,1948.3
1998,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21273,31.0,145.7
1998,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16231,75.0,462.1
1998,75,149.0,Pike,8,Central,Mostly Rural,72.3,17590,0.0,0.0
1998,76,151.0,Pope,1,Southern,Completely Rural,100.0,4370,9.0,205.9
1998,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7426,19.0,255.9
1998,78,155.0,Putnam,10,Central,Completely Rural,100.0,5992,3.0,50.1
1998,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33687,51.0,151.4
1998,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16387,180.0,1098.4
1998,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,150027,1387.0,924.5
1998,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,258286,1218.0,471.6
1998,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26946,153.0,567.8
1998,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,189441,1835.0,968.6
1998,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7333,3.0,40.9
1998,86,171.0,Scott,7,Central,Completely Rural,100.0,5541,0.0,0.0
1998,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23072,61.0,264.4
1998,88,175.0,Stark,10,Central,Completely Rural,100.0,6415,25.0,389.7
1998,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49195,861.0,1750.2
1998,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128327,1397.0,1088.6
1998,91,181.0,Union,1,Southern,Mostly Rural,65.9,18272,26.0,142.3
1998,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,84996,853.0,1003.6
1998,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,12966,85.0,655.6
1998,94,187.0,Warren,9,Central,Mostly Urban,45.5,18958,155.0,817.6
1998,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15240,11.0,72.2
1998,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17108,61.0,356.6
1998,97,193.0,White,2,Southern,Mostly Rural,62.0,15469,43.0,278.0
1998,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60719,351.0,578.1
1998,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,467549,2232.0,477.4
1998,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,61372,432.0,703.9
1998,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,275161,331.0,120.3
1998,102,203.0,Woodford,11,Central,Mostly Rural,54.9,35144,89.0,253.2
1999,1,1.0,Adams,8,Central,Mostly Urban,32.6,68430,960.0,1402.9
1999,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9621,49.0,509.3
1999,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17532,7.0,39.9
1999,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,40844,161.0,394.2
1999,5,9.0,Brown,8,Central,Mostly Urban,41.1,6948,0.0,0.0
1999,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35527,111.0,312.4
1999,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5093,0.0,0.0
1999,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16813,93.0,553.1
1999,9,17.0,Cass,8,Central,Mostly Rural,52.1,13795,18.0,130.5
1999,10,19.0,Champaign,6,Central,Mostly Urban,12.7,178652,3413.0,1910.4
1999,11,21.0,Christian,4,Central,Mostly Urban,43.5,35398,107.0,302.3
1999,12,23.0,Clark,5,Southern,Mostly Rural,59.5,17011,24.0,141.1
1999,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14575,22.0,150.9
1999,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35533,103.0,289.9
1999,15,29.0,Coles,5,Central,Mostly Urban,24.3,53447,230.0,430.3
1999,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5365344,85139.0,1586.8
1999,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20623,177.0,858.3
