year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,count,count_rate
2001,48,95.0,Knox,9,Central,Mostly Urban,24.3,66560,261.0,392.1
2001,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,844341,1707.0,202.2
2001,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,138230,313.0,226.4
2001,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18492,73.0,394.8
2001,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,43985,175.0,397.9
2001,53,105.0,Livingston,11,Central,Mostly Urban,40.8,48838,65.0,133.1
2001,54,107.0,Logan,11,Central,Mostly Urban,39.9,37064,177.0,477.6
2001,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38025,92.0,241.9
2001,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,346407,423.0,122.1
2001,57,113.0,McLean,11,Central,Mostly Urban,16.5,186062,180.0,96.7
2001,58,115.0,Macon,6,Central,Mostly Urban,15.3,139333,1000.0,717.7
2001,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,59875,122.0,203.8
2001,60,119.0,Madison,3,Southern,Mostly Urban,13.3,320796,1218.0,379.7
2001,61,121.0,Marion,4,Southern,Mostly Urban,45.1,51147,213.0,416.4
2001,62,123.0,Marshall,10,Central,Completely Rural,100.0,15738,27.0,171.6
2001,63,125.0,Mason,8,Central,Mostly Rural,77.5,19667,56.0,284.7
2001,64,127.0,Massac,1,Southern,Mostly Rural,50.5,18271,82.0,448.8
2001,65,129.0,Menard,8,Central,Mostly Rural,75.7,15545,26.0,167.3
2001,66,131.0,Mercer,14,Central,Mostly Rural,77.8,20769,77.0,370.7
2001,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,35383,76.0,214.8
2001,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,37123,192.0,517.2
2001,69,137.0,Morgan,7,Central,Mostly Urban,36.2,43821,192.0,438.1
2001,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,17668,65.0,367.9
2001,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,64771,145.0,223.9
2001,72,143.0,Peoria,10,Central,Mostly Urban,14.6,225165,1081.0,480.1
2001,73,145.0,Perry,20,Southern,Mostly Urban,43.6,27696,44.0,158.9
2001,74,147.0,Piatt,6,Central,Mostly Rural,67.7,20101,83.0,412.9
2001,75,149.0,Pike,8,Central,Mostly Rural,72.3,21010,74.0,352.2
2001,76,151.0,Pope,1,Southern,Completely Rural,100.0,5104,10.0,195.9
2001,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8975,38.0,423.4
2001,78,155.0,Putnam,10,Central,Completely Rural,100.0,7446,19.0,255.2
2001,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,40947,88.0,214.9
2001,80,159.0,Richland,2,Southern,Mostly Urban,43.5,19676,138.0,701.4
2001,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,181560,773.0,425.8
2001,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,321987,946.0,293.8
2001,83,165.0,Saline,1,Southern,Mostly Urban,43.7,32119,177.0,551.1
2001,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,234679,1253.0,533.9
2001,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8510,20.0,235.0
2001,86,171.0,Scott,7,Central,Completely Rural,100.0,6794,22.0,323.8
2001,87,173.0,Shelby,4,Central,Mostly Rural,77.7,27806,154.0,553.8
2001,88,175.0,Stark,10,Central,Completely Rural,100.0,7784,5.0,64.2
2001,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,59763,232.0,388.2
2001,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,157326,682.0,433.5
2001,91,181.0,Union,1,Southern,Mostly Rural,65.9,21997,70.0,318.2
2001,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,103000,280.0,271.8
2001,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,15596,46.0,294.9
2001,94,187.0,Warren,9,Central,Mostly Urban,45.5,22344,63.0,282.0
2001,95,189.0,Washington,20,Southern,Mostly Rural,73.6,18812,13.0,69.1
2001,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,20732,87.0,419.6
2001,97,193.0,White,2,Southern,Mostly Rural,62.0,18283,66.0,361.0
2001,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,74768,313.0,418.6
2001,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,681852,2566.0,376.3
2001,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,74905,348.0,464.6
2001,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,350527,1552.0,442.8
2001,102,203.0,Woodford,11,Central,Mostly Rural,54.9,44382,157.0,353.7
2002,1,1.0,Adams,8,Central,Mostly Urban,32.6,83274,258.0,309.8
2002,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11628,51.0,438.6
2002,3,5.0,Bond,3,Southern,Mostly Rural,60.7,21345,123.0,576.2
2002,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,56968,183.0,321.2
2002,5,9.0,Brown,8,Central,Mostly Urban,41.1,7885,13.0,164.9
2002,6,11.0,Bureau,13,Central,Mostly Rural,57.4,42902,25.0,58.3
2002,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5993,9.0,150.2
2002,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19895,62.0,311.6
2002,9,17.0,Cass,8,Central,Mostly Rural,52.1,16709,45.0,269.3
2002,10,19.0,Champaign,6,Central,Mostly Urban,12.7,218374,597.0,273.4
2002,11,21.0,Christian,4,Central,Mostly Urban,43.5,42947,378.0,880.2
2002,12,23.0,Clark,5,Southern,Mostly Rural,59.5,20775,40.0,192.5
2002,13,25.0,Clay,4,Southern,Mostly Rural,64.7,17307,106.0,612.5
2002,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,43880,102.0,232.5
2002,15,29.0,Coles,5,Central,Mostly Urban,24.3,61421,170.0,276.8
2002,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,6660196,24530.0,368.3
2002,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,24260,148.0,610.1
2002,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,13647,31.0,227.2
2002,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,112199,77.0,68.6
2002,20,39.0,De Witt,6,Central,Mostly Urban,48.8,20302,77.0,379.3
2002,21,41.0,Douglas,6,Central,Mostly Rural,61.6,24797,46.0,185.5
2002,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,1147721,1209.0,105.3
2002,23,45.0,Edgar,5,Central,Mostly Rural,51.8,23546,82.0,348.3
2002,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8238,26.0,315.6
2002,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,43241,220.0,508.8
2002,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,26219,121.0,461.5
2002,27,53.0,Ford,11,Central,Mostly Urban,41.8,17458,22.0,126.0
2002,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,47256,287.0,607.3
2002,29,57.0,Fulton,9,Central,Mostly Rural,60.0,45108,197.0,436.7
2002,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7420,40.0,539.1
2002,31,61.0,Greene,7,Central,Mostly Rural,70.8,17964,105.0,584.5
2002,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,48171,137.0,284.4
2002,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,10161,47.0,462.6
2002,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23882,50.0,209.4
2002,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5575,42.0,753.4
2002,36,71.0,Henderson,9,Central,Mostly Rural,99.7,9802,18.0,183.6
2002,37,73.0,Henry,14,Central,Mostly Rural,50.3,61672,177.0,287.0
2002,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,37842,125.0,330.3
2002,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,68761,140.0,203.6
2002,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,12276,39.0,317.7
2002,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,48975,156.0,318.5
2002,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,26908,128.0,475.7
2002,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,26957,74.0,274.5
2002,44,87.0,Johnson,1,Southern,Completely Rural,100.0,14934,30.0,200.9
2002,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,567040,933.0,164.5
2002,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,131992,369.0,279.6
2002,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,79087,34.0,43.0
2002,48,95.0,Knox,9,Central,Mostly Urban,24.3,65891,251.0,380.9
2002,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,857443,1721.0,200.7
2002,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,137418,370.0,269.3
2002,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,19223,86.0,447.4
2002,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,43445,167.0,384.4
2002,53,105.0,Livingston,11,Central,Mostly Urban,40.8,48239,72.0,149.3
2002,54,107.0,Logan,11,Central,Mostly Urban,39.9,36792,194.0,527.3
2002,55,109.0,McDonough,9,Central,Mostly Urban,29.5,37958,77.0,202.9
2002,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,356174,483.0,135.6
2002,57,113.0,McLean,11,Central,Mostly Urban,16.5,189435,177.0,93.4
2002,58,115.0,Macon,6,Central,Mostly Urban,15.3,137284,1013.0,737.9
2002,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,59648,117.0,196.2
2002,60,119.0,Madison,3,Southern,Mostly Urban,13.3,321287,1177.0,366.3
2002,61,121.0,Marion,4,Southern,Mostly Urban,45.1,50499,146.0,289.1
2002,62,123.0,Marshall,10,Central,Completely Rural,100.0,15750,23.0,146.0
2002,63,125.0,Mason,8,Central,Mostly Rural,77.5,19455,57.0,293.0
2002,64,127.0,Massac,1,Southern,Mostly Rural,50.5,18367,98.0,533.6
2002,65,129.0,Menard,8,Central,Mostly Rural,75.7,15429,34.0,220.4
2002,66,131.0,Mercer,14,Central,Mostly Rural,77.8,20714,79.0,381.4
2002,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,36395,98.0,269.3
2002,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,36962,242.0,654.7
2002,69,137.0,Morgan,7,Central,Mostly Urban,36.2,43569,201.0,461.3
2002,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,17669,66.0,373.5
2002,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,65224,159.0,243.8
2002,72,143.0,Peoria,10,Central,Mostly Urban,14.6,225137,1032.0,458.4
2002,73,145.0,Perry,20,Southern,Mostly Urban,43.6,27293,39.0,142.9
2002,74,147.0,Piatt,6,Central,Mostly Rural,67.7,19796,89.0,449.6
2002,75,149.0,Pike,8,Central,Mostly Rural,72.3,20717,73.0,352.4
2002,76,151.0,Pope,1,Southern,Completely Rural,100.0,5045,14.0,277.5
2002,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8799,29.0,329.6
2002,78,155.0,Putnam,10,Central,Completely Rural,100.0,7439,19.0,255.4
2002,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,40100,94.0,234.4
2002,80,159.0,Richland,2,Southern,Mostly Urban,43.5,19695,142.0,721.0
2002,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,180684,800.0,442.8
2002,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,322875,841.0,260.5
2002,83,165.0,Saline,1,Southern,Mostly Urban,43.7,32012,166.0,518.6
2002,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,235756,1565.0,663.8
2002,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8459,10.0,118.2
2002,86,171.0,Scott,7,Central,Completely Rural,100.0,6677,28.0,419.4
2002,87,173.0,Shelby,4,Central,Mostly Rural,77.7,27648,137.0,495.5
2002,88,175.0,Stark,10,Central,Completely Rural,100.0,7705,9.0,116.8
2002,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,59124,247.0,417.8
2002,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,156973,675.0,430.0
2002,91,181.0,Union,1,Southern,Mostly Rural,65.9,22009,61.0,277.2
2002,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,102170,223.0,218.3
2002,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,15407,40.0,259.6
2002,94,187.0,Warren,9,Central,Mostly Urban,45.5,22202,66.0,297.3
2002,95,189.0,Washington,20,Southern,Mostly Rural,73.6,18591,18.0,96.8
2002,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,20545,82.0,399.1
2002,97,193.0,White,2,Southern,Mostly Rural,62.0,18077,80.0,442.6
2002,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,74069,280.0,378.0
2002,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,713259,2644.0,370.7
2002,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,75235,376.0,499.8
2002,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,352449,1627.0,461.6
2002,102,203.0,Woodford,11,Central,Mostly Rural,54.9,44508,131.0,294.3
2003,1,1.0,Adams,8,Central,Mostly Urban,32.6,82434,252.0,305.7
2003,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11230,50.0,445.2
2003,3,5.0,Bond,3,Southern,Mostly Rural,60.7,21608,113.0,523.0
2003,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,58986,193.0,327.2
2003,5,9.0,Brown,8,Central,Mostly Urban,41.1,7923,10.0,126.2
2003,6,11.0,Bureau,13,Central,Mostly Rural,57.4,42831,26.0,60.7
2003,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,6134,14.0,228.2
2003,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19802,41.0,207.0
2003,9,17.0,Cass,8,Central,Mostly Rural,52.1,16853,61.0,362.0
2003,10,19.0,Champaign,6,Central,Mostly Urban,12.7,220694,612.0,277.3
2003,11,21.0,Christian,4,Central,Mostly Urban,43.5,42783,338.0,790.0
2003,12,23.0,Clark,5,Southern,Mostly Rural,59.5,20673,41.0,198.3
2003,13,25.0,Clay,4,Southern,Mostly Rural,64.7,17181,157.0,913.8
2003,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,43939,75.0,170.7
2003,15,29.0,Coles,5,Central,Mostly Urban,24.3,61667,157.0,254.6
2003,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,6620453,29662.0,448.0
2003,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,23963,151.0,630.1
2003,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,13400,43.0,320.9
2003,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,114784,80.0,69.7
2003,20,39.0,De Witt,6,Central,Mostly Urban,48.8,20233,72.0,355.9
2003,21,41.0,Douglas,6,Central,Mostly Rural,61.6,24662,49.0,198.7
2003,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,1148234,1273.0,110.9
2003,23,45.0,Edgar,5,Central,Mostly Rural,51.8,23211,84.0,361.9
2003,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8212,25.0,304.4
2003,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,43239,212.0,490.3
2003,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,25723,100.0,388.8
2003,27,53.0,Ford,11,Central,Mostly Urban,41.8,17340,22.0,126.9
2003,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,47367,289.0,610.1
2003,29,57.0,Fulton,9,Central,Mostly Rural,60.0,45087,233.0,516.8
2003,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7383,22.0,298.0
2003,31,61.0,Greene,7,Central,Mostly Rural,70.8,17655,142.0,804.3
2003,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,49103,142.0,289.2
2003,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,10076,29.0,287.8
2003,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23608,51.0,216.0
2003,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5600,40.0,714.3
2003,36,71.0,Henderson,9,Central,Mostly Rural,99.7,9565,28.0,292.7
2003,37,73.0,Henry,14,Central,Mostly Rural,50.3,61748,181.0,293.1
2003,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,37568,112.0,298.1
2003,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,68831,127.0,184.5
2003,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,12117,43.0,354.9
2003,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,48825,156.0,319.5
2003,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,26882,120.0,446.4
2003,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,27097,54.0,199.3
2003,44,87.0,Johnson,1,Southern,Completely Rural,100.0,15715,36.0,229.1
2003,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,584244,828.0,141.7
2003,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,132604,344.0,259.4
2003,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,85815,38.0,44.3
2003,48,95.0,Knox,9,Central,Mostly Urban,24.3,64942,278.0,428.1
2003,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,863883,1758.0,203.5
2003,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,136130,329.0,241.7
2003,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,19591,68.0,347.1
2003,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,42913,137.0,319.3
2003,53,105.0,Livingston,11,Central,Mostly Urban,40.8,47571,62.0,130.3
2003,54,107.0,Logan,11,Central,Mostly Urban,39.9,36528,208.0,569.4
2003,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38009,77.0,202.6
2003,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,366395,442.0,120.6
2003,57,113.0,McLean,11,Central,Mostly Urban,16.5,191377,163.0,85.2
2003,58,115.0,Macon,6,Central,Mostly Urban,15.3,135435,753.0,556.0
2003,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,59483,144.0,242.1
2003,60,119.0,Madison,3,Southern,Mostly Urban,13.3,322623,1212.0,375.7
2003,61,121.0,Marion,4,Southern,Mostly Urban,45.1,49780,181.0,363.6
2003,62,123.0,Marshall,10,Central,Completely Rural,100.0,15739,17.0,108.0
2003,63,125.0,Mason,8,Central,Mostly Rural,77.5,19253,72.0,374.0
2003,64,127.0,Massac,1,Southern,Mostly Rural,50.5,18283,133.0,727.5
2003,65,129.0,Menard,8,Central,Mostly Rural,75.7,15409,40.0,259.6
2003,66,131.0,Mercer,14,Central,Mostly Rural,77.8,20529,79.0,384.8
2003,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,37186,73.0,196.3
2003,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,36581,264.0,721.7
2003,69,137.0,Morgan,7,Central,Mostly Urban,36.2,43306,211.0,487.2
2003,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,17646,64.0,362.7
2003,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,65934,146.0,221.4
2003,72,143.0,Peoria,10,Central,Mostly Urban,14.6,224203,1239.0,552.6
2003,73,145.0,Perry,20,Southern,Mostly Urban,43.6,27122,36.0,132.7
2003,74,147.0,Piatt,6,Central,Mostly Rural,67.7,19953,74.0,370.9
2003,75,149.0,Pike,8,Central,Mostly Rural,72.3,20420,80.0,391.8
2003,76,151.0,Pope,1,Southern,Completely Rural,100.0,5313,7.0,131.8
2003,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8634,26.0,301.1
2003,78,155.0,Putnam,10,Central,Completely Rural,100.0,7411,12.0,161.9
2003,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,39854,104.0,261.0
2003,80,159.0,Richland,2,Southern,Mostly Urban,43.5,19513,128.0,656.0
2003,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,179027,753.0,420.6
2003,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,323194,846.0,261.8
2003,83,165.0,Saline,1,Southern,Mostly Urban,43.7,31845,172.0,540.1
2003,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,235880,1449.0,614.3
2003,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8415,18.0,213.9
2003,86,171.0,Scott,7,Central,Completely Rural,100.0,6641,27.0,406.6
2003,87,173.0,Shelby,4,Central,Mostly Rural,77.7,27387,145.0,529.4
2003,88,175.0,Stark,10,Central,Completely Rural,100.0,7603,9.0,118.4
2003,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,58894,242.0,410.9
2003,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,156299,668.0,427.4
2003,91,181.0,Union,1,Southern,Mostly Rural,65.9,21957,55.0,250.5
2003,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,101400,243.0,239.6
2003,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,15207,48.0,315.6
2003,94,187.0,Warren,9,Central,Mostly Urban,45.5,21870,78.0,356.7
2003,95,189.0,Washington,20,Southern,Mostly Rural,73.6,18537,24.0,129.5
2003,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,20376,84.0,412.2
2003,97,193.0,White,2,Southern,Mostly Rural,62.0,17837,55.0,308.3
2003,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,73286,290.0,395.7
2003,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,744557,2516.0,337.9
2003,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,75366,378.0,501.6
2003,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,355049,1688.0,475.4
2003,102,203.0,Woodford,11,Central,Mostly Rural,54.9,44755,135.0,301.6
2004,1,1.0,Adams,8,Central,Mostly Urban,32.6,81601,243.0,297.8
2004,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11067,60.0,542.2
2004,3,5.0,Bond,3,Southern,Mostly Rural,60.7,21823,136.0,623.2
2004,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,60996,171.0,280.3
2004,5,9.0,Brown,8,Central,Mostly Urban,41.1,7829,21.0,268.2
2004,6,11.0,Bureau,13,Central,Mostly Rural,57.4,42589,36.0,84.5
2004,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,6145,10.0,162.7
2004,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19587,57.0,291.0
2004,9,17.0,Cass,8,Central,Mostly Rural,52.1,16804,64.0,380.9
2004,10,19.0,Champaign,6,Central,Mostly Urban,12.7,221594,659.0,297.4
2004,11,21.0,Christian,4,Central,Mostly Urban,43.5,42894,292.0,680.7
2004,12,23.0,Clark,5,Southern,Mostly Rural,59.5,20654,43.0,208.2
2004,13,25.0,Clay,4,Southern,Mostly Rural,64.7,17027,118.0,693.0
2004,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,44001,96.0,218.2
2004,15,29.0,Coles,5,Central,Mostly Urban,24.3,61579,179.0,290.7
2004,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,6576448,29629.0,450.5
2004,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,23762,117.0,492.4
2004,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,13334,40.0,300.0
