year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,reported_case,reported_case_rate
1993,58,115.0,Macon,6,Central,Mostly Urban,15.3,22756,60.0,263.7
1993,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,10954,12.0,109.5
1993,60,119.0,Madison,3,Southern,Mostly Urban,13.3,47370,125.0,263.9
1993,61,121.0,Marion,4,Southern,Mostly Urban,45.1,8919,26.0,291.5
1993,62,123.0,Marshall,10,Central,Completely Rural,100.0,3108,3.0,96.5
1993,63,125.0,Mason,8,Central,Mostly Rural,77.5,3625,5.0,137.9
1993,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3639,15.0,412.2
1993,65,129.0,Menard,8,Central,Mostly Rural,75.7,2178,3.0,137.7
1993,66,131.0,Mercer,14,Central,Mostly Rural,77.8,3524,11.0,312.1
1993,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,4225,5.0,118.3
1993,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,6949,4.0,57.6
1993,69,137.0,Morgan,7,Central,Mostly Urban,36.2,7474,30.0,401.4
1993,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3294,11.0,333.9
1993,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,8725,8.0,91.7
1993,72,143.0,Peoria,10,Central,Mostly Urban,14.6,34062,183.0,537.3
1993,73,145.0,Perry,20,Southern,Mostly Urban,43.6,4672,12.0,256.8
1993,74,147.0,Piatt,6,Central,Mostly Rural,67.7,3235,4.0,123.6
1993,75,149.0,Pike,8,Central,Mostly Rural,72.3,4404,11.0,249.8
1993,76,151.0,Pope,1,Southern,Completely Rural,100.0,1002,4.0,399.2
1993,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,1757,13.0,739.9
1993,78,155.0,Putnam,10,Central,Completely Rural,100.0,1183,3.0,253.6
1993,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,6798,15.0,220.7
1993,80,159.0,Richland,2,Southern,Mostly Urban,43.5,3716,7.0,188.4
1993,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,29647,154.0,519.4
1993,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,44684,25.0,55.9
1993,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6633,35.0,527.7
1993,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,33277,48.0,144.2
1993,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1834,4.0,218.1
1993,86,171.0,Scott,7,Central,Completely Rural,100.0,1247,4.0,320.8
1993,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5179,4.0,77.2
1993,88,175.0,Stark,10,Central,Completely Rural,100.0,1588,0.0,0.0
1993,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,10087,128.0,1269.0
1993,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,23310,90.0,386.1
1993,91,181.0,Union,1,Southern,Mostly Rural,65.9,4203,15.0,356.9
1993,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,18164,56.0,308.3
1993,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,2794,11.0,393.7
1993,94,187.0,Warren,9,Central,Mostly Urban,45.5,4147,4.0,96.5
1993,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3470,9.0,259.4
1993,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,4258,8.0,187.9
1993,97,193.0,White,2,Southern,Mostly Rural,62.0,4211,8.0,190.0
1993,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,12215,13.0,106.4
1993,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,45995,74.0,160.9
1993,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,12676,53.0,418.1
1993,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,45065,195.0,432.7
1993,102,203.0,Woodford,11,Central,Mostly Rural,54.9,6219,19.0,305.5
1994,1,1.0,Adams,8,Central,Mostly Urban,32.6,15140,55.0,363.3
1994,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2308,20.0,866.6
1994,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3298,54.0,1637.4
1994,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,5297,8.0,151.0
1994,5,9.0,Brown,8,Central,Mostly Urban,41.1,1183,1.0,84.5
1994,6,11.0,Bureau,13,Central,Mostly Rural,57.4,8229,18.0,218.7
1994,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1309,5.0,382.0
1994,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4049,5.0,123.5
1994,9,17.0,Cass,8,Central,Mostly Rural,52.1,2972,5.0,168.2
1994,10,19.0,Champaign,6,Central,Mostly Urban,12.7,21158,51.0,241.0
1994,11,21.0,Christian,4,Central,Mostly Urban,43.5,7822,16.0,204.6
1994,12,23.0,Clark,5,Southern,Mostly Rural,59.5,3870,4.0,103.4
1994,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3491,2.0,57.3
1994,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,6433,53.0,823.9
1994,15,29.0,Coles,5,Central,Mostly Urban,24.3,9220,44.0,477.2
1994,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,846639,1508.0,178.1
1994,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4517,6.0,132.8
1994,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2281,10.0,438.4
1994,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,10829,16.0,147.8
1994,20,39.0,De Witt,6,Central,Mostly Urban,48.8,3490,2.0,57.3
1994,21,41.0,Douglas,6,Central,Mostly Rural,61.6,4006,14.0,349.5
1994,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,106932,101.0,94.5
1994,23,45.0,Edgar,5,Central,Mostly Rural,51.8,4670,14.0,299.8
1994,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1739,1.0,57.5
1994,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,5913,7.0,118.4
1994,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,4537,10.0,220.4
1994,27,53.0,Ford,11,Central,Mostly Urban,41.8,3433,0.0,0.0
1994,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,9724,46.0,473.1
1994,29,57.0,Fulton,9,Central,Mostly Rural,60.0,8984,61.0,679.0
1994,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1614,10.0,619.6
1994,31,61.0,Greene,7,Central,Mostly Rural,70.8,3491,42.0,1203.1
1994,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,5707,9.0,157.7
1994,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,2239,5.0,223.3
1994,34,67.0,Hancock,9,Central,Mostly Rural,71.0,4920,6.0,122.0
1994,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1212,2.0,165.0
1994,36,71.0,Henderson,9,Central,Mostly Rural,99.7,1789,7.0,391.3
1994,37,73.0,Henry,14,Central,Mostly Rural,50.3,10591,26.0,245.5
1994,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,7281,16.0,219.8
1994,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,8538,50.0,585.6
1994,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2188,2.0,91.4
1994,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,7896,57.0,721.9
1994,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,3951,18.0,455.6
1994,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5062,16.0,316.1
1994,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2294,11.0,479.5
1994,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,42299,87.0,205.7
1994,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,17777,85.0,478.1
1994,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5262,3.0,57.0
1994,48,95.0,Knox,9,Central,Mostly Urban,24.3,12526,43.0,343.3
1994,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,67660,123.0,181.8
1994,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,23640,68.0,287.6
1994,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,4140,7.0,169.1
1994,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,6752,11.0,162.9
1994,53,105.0,Livingston,11,Central,Mostly Urban,40.8,7925,8.0,100.9
1994,54,107.0,Logan,11,Central,Mostly Urban,39.9,6112,2.0,32.7
1994,55,109.0,McDonough,9,Central,Mostly Urban,29.5,6037,9.0,149.1
1994,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,25849,42.0,162.5
1994,57,113.0,McLean,11,Central,Mostly Urban,16.5,18435,70.0,379.7
1994,58,115.0,Macon,6,Central,Mostly Urban,15.3,22695,68.0,299.6
1994,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,10912,15.0,137.5
1994,60,119.0,Madison,3,Southern,Mostly Urban,13.3,47216,112.0,237.2
1994,61,121.0,Marion,4,Southern,Mostly Urban,45.1,8936,38.0,425.2
1994,62,123.0,Marshall,10,Central,Completely Rural,100.0,3072,1.0,32.6
1994,63,125.0,Mason,8,Central,Mostly Rural,77.5,3586,3.0,83.7
1994,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3594,8.0,222.6
1994,65,129.0,Menard,8,Central,Mostly Rural,75.7,2172,1.0,46.0
1994,66,131.0,Mercer,14,Central,Mostly Rural,77.8,3519,13.0,369.4
1994,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,4300,8.0,186.0
1994,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,6899,5.0,72.5
1994,69,137.0,Morgan,7,Central,Mostly Urban,36.2,7432,54.0,726.6
1994,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3281,7.0,213.3
1994,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,8850,9.0,101.7
1994,72,143.0,Peoria,10,Central,Mostly Urban,14.6,33865,317.0,936.1
1994,73,145.0,Perry,20,Southern,Mostly Urban,43.6,4611,13.0,281.9
1994,74,147.0,Piatt,6,Central,Mostly Rural,67.7,3234,3.0,92.8
1994,75,149.0,Pike,8,Central,Mostly Rural,72.3,4347,14.0,322.1
1994,76,151.0,Pope,1,Southern,Completely Rural,100.0,995,4.0,402.0
1994,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,1744,9.0,516.1
1994,78,155.0,Putnam,10,Central,Completely Rural,100.0,1197,0.0,0.0
1994,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,6779,11.0,162.3
1994,80,159.0,Richland,2,Southern,Mostly Urban,43.5,3691,4.0,108.4
1994,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,29536,208.0,704.2
1994,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,44412,168.0,378.3
1994,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6566,28.0,426.4
1994,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,33409,52.0,155.6
1994,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1836,1.0,54.5
1994,86,171.0,Scott,7,Central,Completely Rural,100.0,1227,5.0,407.5
1994,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5138,16.0,311.4
1994,88,175.0,Stark,10,Central,Completely Rural,100.0,1588,3.0,188.9
1994,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,10059,34.0,338.0
1994,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,23479,100.0,425.9
1994,91,181.0,Union,1,Southern,Mostly Rural,65.9,4182,18.0,430.4
1994,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,18015,70.0,388.6
1994,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,2781,6.0,215.7
1994,94,187.0,Warren,9,Central,Mostly Urban,45.5,4089,11.0,269.0
1994,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3473,6.0,172.8
1994,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,4199,5.0,119.1
1994,97,193.0,White,2,Southern,Mostly Rural,62.0,4162,12.0,288.3
1994,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,12236,37.0,302.4
1994,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,47405,77.0,162.4
1994,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,12705,59.0,464.4
1994,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,45124,220.0,487.5
1994,102,203.0,Woodford,11,Central,Mostly Rural,54.9,6263,8.0,127.7
1995,1,1.0,Adams,8,Central,Mostly Urban,32.6,15117,56.0,370.4
1995,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2255,23.0,1020.0
1995,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3314,32.0,965.6
1995,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,5411,9.0,166.3
1995,5,9.0,Brown,8,Central,Mostly Urban,41.1,1155,3.0,259.7
1995,6,11.0,Bureau,13,Central,Mostly Rural,57.4,8189,18.0,219.8
1995,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1284,1.0,77.9
1995,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4008,7.0,174.7
1995,9,17.0,Cass,8,Central,Mostly Rural,52.1,2952,7.0,237.1
1995,10,19.0,Champaign,6,Central,Mostly Urban,12.7,21434,76.0,354.6
1995,11,21.0,Christian,4,Central,Mostly Urban,43.5,7799,10.0,128.2
1995,12,23.0,Clark,5,Southern,Mostly Rural,59.5,3837,4.0,104.2
1995,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3507,5.0,142.6
1995,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,6479,33.0,509.3
1995,15,29.0,Coles,5,Central,Mostly Urban,24.3,9168,33.0,359.9
1995,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,842836,1477.0,175.2
1995,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4473,3.0,67.1
1995,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2277,13.0,570.9
1995,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,10933,19.0,173.8
1995,20,39.0,De Witt,6,Central,Mostly Urban,48.8,3504,3.0,85.6
1995,21,41.0,Douglas,6,Central,Mostly Rural,61.6,3988,4.0,100.3
1995,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,109409,134.0,122.5
1995,23,45.0,Edgar,5,Central,Mostly Rural,51.8,4630,8.0,172.8
1995,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1715,2.0,116.6
1995,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,5934,21.0,353.9
1995,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,4483,6.0,133.8
1995,27,53.0,Ford,11,Central,Mostly Urban,41.8,3441,6.0,174.4
1995,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,9635,52.0,539.7
1995,29,57.0,Fulton,9,Central,Mostly Rural,60.0,8967,67.0,747.2
1995,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1594,7.0,439.1
1995,31,61.0,Greene,7,Central,Mostly Rural,70.8,3451,32.0,927.3
1995,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,5780,4.0,69.2
1995,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,2231,6.0,268.9
1995,34,67.0,Hancock,9,Central,Mostly Rural,71.0,4817,8.0,166.1
1995,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1200,10.0,833.3
1995,36,71.0,Henderson,9,Central,Mostly Rural,99.7,1813,4.0,220.6
1995,37,73.0,Henry,14,Central,Mostly Rural,50.3,10603,18.0,169.8
1995,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,7271,9.0,123.8
1995,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,8489,60.0,706.8
1995,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2179,3.0,137.7
1995,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,7851,45.0,573.2
1995,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,4007,33.0,823.6
1995,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5077,10.0,197.0
1995,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2290,10.0,436.7
1995,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,42805,89.0,207.9
1995,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,17755,102.0,574.5
1995,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5494,7.0,127.4
1995,48,95.0,Knox,9,Central,Mostly Urban,24.3,12493,54.0,432.2
1995,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,69073,109.0,157.8
1995,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,23556,70.0,297.2
1995,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,4149,5.0,120.5
1995,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,6817,13.0,190.7
1995,53,105.0,Livingston,11,Central,Mostly Urban,40.8,7912,11.0,139.0
1995,54,107.0,Logan,11,Central,Mostly Urban,39.9,6092,2.0,32.8
1995,55,109.0,McDonough,9,Central,Mostly Urban,29.5,6047,21.0,347.3
1995,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,26313,43.0,163.4
1995,57,113.0,McLean,11,Central,Mostly Urban,16.5,18607,60.0,322.5
1995,58,115.0,Macon,6,Central,Mostly Urban,15.3,22576,55.0,243.6
1995,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,10865,20.0,184.1
1995,60,119.0,Madison,3,Southern,Mostly Urban,13.3,47314,129.0,272.6
1995,61,121.0,Marion,4,Southern,Mostly Urban,45.1,8961,31.0,345.9
1995,62,123.0,Marshall,10,Central,Completely Rural,100.0,3073,8.0,260.3
1995,63,125.0,Mason,8,Central,Mostly Rural,77.5,3592,5.0,139.2
1995,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3535,18.0,509.2
1995,65,129.0,Menard,8,Central,Mostly Rural,75.7,2172,0.0,0.0
1995,66,131.0,Mercer,14,Central,Mostly Rural,77.8,3497,12.0,343.2
1995,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,4365,4.0,91.6
1995,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,6868,6.0,87.4
1995,69,137.0,Morgan,7,Central,Mostly Urban,36.2,7439,47.0,631.8
1995,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3269,6.0,183.5
1995,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,8903,26.0,292.0
1995,72,143.0,Peoria,10,Central,Mostly Urban,14.6,33878,325.0,959.3
1995,73,145.0,Perry,20,Southern,Mostly Urban,43.6,4634,22.0,474.8
1995,74,147.0,Piatt,6,Central,Mostly Rural,67.7,3276,1.0,30.5
1995,75,149.0,Pike,8,Central,Mostly Rural,72.3,4256,13.0,305.5
1995,76,151.0,Pope,1,Southern,Completely Rural,100.0,1010,7.0,693.1
1995,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,1733,15.0,865.6
1995,78,155.0,Putnam,10,Central,Completely Rural,100.0,1211,1.0,82.6
1995,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,6740,21.0,311.6
1995,80,159.0,Richland,2,Southern,Mostly Urban,43.5,3656,9.0,246.2
1995,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,29489,165.0,559.5
1995,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,44193,169.0,382.4
1995,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6551,30.0,457.9
1995,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,33369,76.0,227.8
1995,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1863,2.0,107.4
1995,86,171.0,Scott,7,Central,Completely Rural,100.0,1222,1.0,81.8
1995,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5112,20.0,391.2
1995,88,175.0,Stark,10,Central,Completely Rural,100.0,1570,0.0,0.0
1995,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,10110,36.0,356.1
1995,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,23688,92.0,388.4
1995,91,181.0,Union,1,Southern,Mostly Rural,65.9,4148,20.0,482.2
1995,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,17830,74.0,415.0
1995,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,2767,6.0,216.8
1995,94,187.0,Warren,9,Central,Mostly Urban,45.5,4077,18.0,441.5
1995,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3440,10.0,290.7
1995,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,4178,15.0,359.0
1995,97,193.0,White,2,Southern,Mostly Rural,62.0,4134,6.0,145.1
1995,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,12283,51.0,415.2
1995,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,48916,67.0,137.0
1995,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,12786,94.0,735.2
1995,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,45334,241.0,531.6
1995,102,203.0,Woodford,11,Central,Mostly Rural,54.9,6334,11.0,173.7
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,15003,54.0,359.9
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2197,24.0,1092.4
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3309,19.0,574.2
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,5556,10.0,180.0
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,1144,5.0,437.1
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,8065,21.0,260.4
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1281,4.0,312.3
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4036,8.0,198.2
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,2931,22.0,750.6
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,21766,71.0,326.2
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,7738,11.0,142.2
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,3821,5.0,130.9
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3535,7.0,198.0
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,6512,29.0,445.3
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,9147,26.0,284.2
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,836286,1645.0,196.7
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4470,3.0,67.1
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2279,14.0,614.3
