year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,total,total_rate
1997,15,29.0,Coles,5,Central,Mostly Urban,24.3,53371,0.0,0.0
1997,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5322117,204.0,3.8
1997,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20782,1.0,4.8
1997,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11186,0.0,0.0
1997,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,85078,4.0,4.7
1997,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16757,0.0,0.0
1997,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19909,0.0,0.0
1997,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,874404,22.0,2.5
1997,23,45.0,Edgar,5,Central,Mostly Rural,51.8,20090,2.0,10.0
1997,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7076,0.0,0.0
1997,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,33704,0.0,0.0
1997,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21929,0.0,0.0
1997,27,53.0,Ford,11,Central,Mostly Urban,41.8,14274,2.0,14.0
1997,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,39624,0.0,0.0
1997,29,57.0,Fulton,9,Central,Mostly Rural,60.0,38616,0.0,0.0
1997,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6544,0.0,0.0
1997,31,61.0,Greene,7,Central,Mostly Rural,70.8,15066,0.0,0.0
1997,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,36263,0.0,0.0
1997,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8674,2.0,23.1
1997,34,67.0,Hancock,9,Central,Mostly Rural,71.0,20594,1.0,4.9
1997,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4914,0.0,0.0
1997,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8353,0.0,0.0
1997,37,73.0,Henry,14,Central,Mostly Rural,50.3,50830,0.0,0.0
1997,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,31603,0.0,0.0
1997,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,60607,2.0,3.3
1997,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,10412,0.0,0.0
1997,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,39654,4.0,10.1
1997,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21448,0.0,0.0
1997,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22249,1.0,4.5
1997,44,87.0,Johnson,1,Southern,Completely Rural,100.0,12637,0.0,0.0
1997,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,376725,8.0,2.1
1997,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,102951,0.0,0.0
1997,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,49153,1.0,2.0
1997,48,95.0,Knox,9,Central,Mostly Urban,24.3,56081,0.0,0.0
1997,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,609714,9.0,1.5
1997,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110956,0.0,0.0
1997,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,15831,0.0,0.0
1997,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36222,0.0,0.0
1997,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39774,6.0,15.1
1997,54,107.0,Logan,11,Central,Mostly Urban,39.9,31043,0.0,0.0
1997,55,109.0,McDonough,9,Central,Mostly Urban,29.5,33382,4.0,12.0
1997,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,242449,1.0,0.4
1997,57,113.0,McLean,11,Central,Mostly Urban,16.5,144342,8.0,5.5
1997,58,115.0,Macon,6,Central,Mostly Urban,15.3,115706,6.0,5.2
1997,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48866,0.0,0.0
1997,60,119.0,Madison,3,Southern,Mostly Urban,13.3,258533,7.0,2.7
1997,61,121.0,Marion,4,Southern,Mostly Urban,45.1,42062,1.0,2.4
1997,62,123.0,Marshall,10,Central,Completely Rural,100.0,13033,0.0,0.0
1997,63,125.0,Mason,8,Central,Mostly Rural,77.5,16297,1.0,6.1
1997,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15364,0.0,0.0
1997,65,129.0,Menard,8,Central,Mostly Rural,75.7,12246,0.0,0.0
1997,66,131.0,Mercer,14,Central,Mostly Rural,77.8,17011,0.0,0.0
1997,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,25889,0.0,0.0
1997,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31072,0.0,0.0
1997,69,137.0,Morgan,7,Central,Mostly Urban,36.2,36793,2.0,5.4
1997,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14221,0.0,0.0
1997,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,50074,0.0,0.0
1997,72,143.0,Peoria,10,Central,Mostly Urban,14.6,184384,69.0,37.4
1997,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21374,0.0,0.0
1997,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16311,0.0,0.0
1997,75,149.0,Pike,8,Central,Mostly Rural,72.3,17594,0.0,0.0
1997,76,151.0,Pope,1,Southern,Completely Rural,100.0,4391,0.0,0.0
1997,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7334,0.0,0.0
1997,78,155.0,Putnam,10,Central,Completely Rural,100.0,5965,0.0,0.0
1997,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33795,0.0,0.0
1997,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16513,0.0,0.0
1997,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,149937,6.0,4.0
1997,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,260631,4.0,1.5
1997,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26897,0.0,0.0
1997,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,189638,19.0,10.0
1997,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7442,0.0,0.0
1997,86,171.0,Scott,7,Central,Completely Rural,100.0,5543,0.0,0.0
1997,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23022,0.0,0.0
1997,88,175.0,Stark,10,Central,Completely Rural,100.0,6405,0.0,0.0
1997,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49308,2.0,4.1
1997,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128021,5.0,3.9
1997,91,181.0,Union,1,Southern,Mostly Rural,65.9,18307,0.0,0.0
1997,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,85274,9.0,10.6
1997,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13030,0.0,0.0
1997,94,187.0,Warren,9,Central,Mostly Urban,45.5,18971,0.0,0.0
1997,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15283,1.0,6.5
1997,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17152,0.0,0.0
1997,97,193.0,White,2,Southern,Mostly Rural,62.0,15580,0.0,0.0
1997,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60859,0.0,0.0
1997,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,450816,1.0,0.2
1997,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,61194,1.0,1.6
1997,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,273489,0.0,0.0
1997,102,203.0,Woodford,11,Central,Mostly Rural,54.9,34781,0.0,0.0
1998,1,1.0,Adams,8,Central,Mostly Urban,32.6,68681,1.0,1.5
1998,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9632,0.0,0.0
1998,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17588,0.0,0.0
1998,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,39864,1.0,2.5
1998,5,9.0,Brown,8,Central,Mostly Urban,41.1,6922,0.0,0.0
1998,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35621,0.0,0.0
1998,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5092,0.0,0.0
1998,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16959,1.0,5.9
1998,9,17.0,Cass,8,Central,Mostly Rural,52.1,13735,0.0,0.0
1998,10,19.0,Champaign,6,Central,Mostly Urban,12.7,177004,32.0,18.1
1998,11,21.0,Christian,4,Central,Mostly Urban,43.5,35523,0.0,0.0
1998,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16949,0.0,0.0
1998,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14723,0.0,0.0
1998,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35589,0.0,0.0
1998,15,29.0,Coles,5,Central,Mostly Urban,24.3,53455,0.0,0.0
1998,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5345537,156.0,2.9
1998,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20717,1.0,4.8
1998,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11170,0.0,0.0
1998,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,86402,6.0,6.9
1998,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16781,0.0,0.0
1998,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19918,1.0,5.0
1998,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,886168,18.0,2.0
1998,23,45.0,Edgar,5,Central,Mostly Rural,51.8,20020,0.0,0.0
1998,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7020,0.0,0.0
1998,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,33910,2.0,5.9
1998,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21894,2.0,9.1
1998,27,53.0,Ford,11,Central,Mostly Urban,41.8,14223,0.0,0.0
1998,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,39334,0.0,0.0
1998,29,57.0,Fulton,9,Central,Mostly Rural,60.0,38454,0.0,0.0
1998,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6512,0.0,0.0
1998,31,61.0,Greene,7,Central,Mostly Rural,70.8,14982,3.0,20.0
1998,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,36732,0.0,0.0
1998,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8695,0.0,0.0
1998,34,67.0,Hancock,9,Central,Mostly Rural,71.0,20523,0.0,0.0
1998,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4863,0.0,0.0
1998,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8292,0.0,0.0
1998,37,73.0,Henry,14,Central,Mostly Rural,50.3,50789,0.0,0.0
1998,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,31494,0.0,0.0
1998,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,60304,3.0,5.0
1998,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,10387,1.0,9.6
1998,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,39695,21.0,52.9
1998,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21662,0.0,0.0
1998,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22132,0.0,0.0
1998,44,87.0,Johnson,1,Southern,Completely Rural,100.0,12931,0.0,0.0
1998,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,386103,4.0,1.0
1998,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,103222,0.0,0.0
1998,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,51025,0.0,0.0
1998,48,95.0,Knox,9,Central,Mostly Urban,24.3,56114,0.0,0.0
1998,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,621618,8.0,1.3
1998,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,111422,1.0,0.9
1998,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,15683,0.0,0.0
1998,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36214,0.0,0.0
1998,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39610,3.0,7.6
1998,54,107.0,Logan,11,Central,Mostly Urban,39.9,31465,0.0,0.0
1998,55,109.0,McDonough,9,Central,Mostly Urban,29.5,33341,3.0,9.0
1998,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,248529,2.0,0.8
1998,57,113.0,McLean,11,Central,Mostly Urban,16.5,146526,3.0,2.0
1998,58,115.0,Macon,6,Central,Mostly Urban,15.3,115453,1.0,0.9
1998,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48732,0.0,0.0
1998,60,119.0,Madison,3,Southern,Mostly Urban,13.3,258700,9.0,3.5
1998,61,121.0,Marion,4,Southern,Mostly Urban,45.1,41896,0.0,0.0
1998,62,123.0,Marshall,10,Central,Completely Rural,100.0,13105,0.0,0.0
1998,63,125.0,Mason,8,Central,Mostly Rural,77.5,16194,0.0,0.0
1998,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15378,0.0,0.0
1998,65,129.0,Menard,8,Central,Mostly Rural,75.7,12281,0.0,0.0
1998,66,131.0,Mercer,14,Central,Mostly Rural,77.8,16979,0.0,0.0
1998,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,26664,2.0,7.5
1998,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31053,0.0,0.0
1998,69,137.0,Morgan,7,Central,Mostly Urban,36.2,36617,0.0,0.0
1998,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14179,0.0,0.0
1998,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,50368,1.0,2.0
1998,72,143.0,Peoria,10,Central,Mostly Urban,14.6,184006,89.0,48.4
1998,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21273,0.0,0.0
1998,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16231,0.0,0.0
1998,75,149.0,Pike,8,Central,Mostly Rural,72.3,17590,0.0,0.0
1998,76,151.0,Pope,1,Southern,Completely Rural,100.0,4370,0.0,0.0
1998,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7426,0.0,0.0
1998,78,155.0,Putnam,10,Central,Completely Rural,100.0,5992,0.0,0.0
1998,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33687,0.0,0.0
1998,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16387,0.0,0.0
1998,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,150027,1.0,0.7
1998,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,258286,0.0,0.0
1998,83,165.0,Saline,1,Southern,Mostly Urban,43.7,26946,0.0,0.0
1998,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,189441,2.0,1.1
1998,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7333,0.0,0.0
1998,86,171.0,Scott,7,Central,Completely Rural,100.0,5541,0.0,0.0
1998,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23072,0.0,0.0
1998,88,175.0,Stark,10,Central,Completely Rural,100.0,6415,0.0,0.0
1998,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49195,1.0,2.0
1998,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128327,7.0,5.5
1998,91,181.0,Union,1,Southern,Mostly Rural,65.9,18272,0.0,0.0
1998,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,84996,5.0,5.9
1998,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,12966,0.0,0.0
1998,94,187.0,Warren,9,Central,Mostly Urban,45.5,18958,0.0,0.0
1998,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15240,0.0,0.0
1998,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17108,1.0,5.8
1998,97,193.0,White,2,Southern,Mostly Rural,62.0,15469,1.0,6.5
1998,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60719,0.0,0.0
1998,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,467549,5.0,1.1
1998,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,61372,0.0,0.0
1998,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,275161,0.0,0.0
1998,102,203.0,Woodford,11,Central,Mostly Rural,54.9,35144,0.0,0.0
1999,1,1.0,Adams,8,Central,Mostly Urban,32.6,68430,2.0,2.9
1999,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9621,0.0,0.0
1999,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17532,0.0,0.0
1999,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,40844,0.0,0.0
1999,5,9.0,Brown,8,Central,Mostly Urban,41.1,6948,0.0,0.0
1999,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35527,1.0,2.8
1999,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5093,0.0,0.0
1999,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16813,0.0,0.0
1999,9,17.0,Cass,8,Central,Mostly Rural,52.1,13795,0.0,0.0
1999,10,19.0,Champaign,6,Central,Mostly Urban,12.7,178652,49.0,27.4
1999,11,21.0,Christian,4,Central,Mostly Urban,43.5,35398,0.0,0.0
1999,12,23.0,Clark,5,Southern,Mostly Rural,59.5,17011,0.0,0.0
1999,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14575,0.0,0.0
1999,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35533,0.0,0.0
1999,15,29.0,Coles,5,Central,Mostly Urban,24.3,53447,0.0,0.0
1999,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5365344,143.0,2.7
1999,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20623,0.0,0.0
1999,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11186,0.0,0.0
